ClinName,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvRt30,FrLvRt35,FrLvRt40,FrLvTx30,FrLvTx35,FrLvTx40,FrCnCy30,FrCnCy35,FrCnCy40,FrEmTr30,FrEmTr35,FrEmTr40,FrMgPg30,FrMgPg35,FrMgPg40,FrMbLv30,FrMbLv35,FrMbLv40,CrTr30,CrTr35,CrTr40,CrLvTr30,CrLvTr35,CrLvTr40,CrEmTr30,CrEmTr35,CrEmTr40,FdTr30,FdTr35,FdTr40,FdLvTr30,FdLvTr35,FdLvTr40,CdTr30,CdTr35,CdTr40,CdLvTr30,CdLvTr35,CdLvTr40,FdCdEms30,FdCdEms35,FdCdEms40
ALTA BATES MEDICAL CENTER,BERKELEY,CALIFORNIA,Yes,Yes,No,Yes,Yes,99%,1%,0%,18%,0%,35%,14%,1%,6%,24%,1%,19%,27,33,29,40.7,42.4,17.2,40.7,33.3,10.3,(22.2 - 59.3),(17.2 - 49.4),(0.0 - 21.4),45.8,34.4,13.6,45.8,34.4,13.6,11.1,3.0,24.1,4.2,4.5,4.8,6/11,6/14,1/5,6/11,6/11,1/3,5,4,2,0/5,0/4,0/2,3.2,3.5,3.0,0,4,30,,1/4,26.7,0,1,4,,0/1,0/4,,4.4,4.1
UNIVERSITY OF COLORADO HEALTH SCIENCES CENTER,DENVER,COLORADO,Yes,Yes,No,Yes,No,78%,22%,0%,14%,0%,40%,22%,1%,5%,10%,3%,19%,32,30,7,28.1,33.3,4/7,28.1,16.7,2/7,(12.5 - 43.7),(3.3 - 30.0),,28.1,19.2,2/4,28.1,20.0,2/4,0.0,13.3,3/7,4.3,4.4,7.3,7/9,4/10,1/4,7/9,3/5,1/2,0,1,0,,0/1,,,2.0,,0,0,3,,,3/3,0,0,0,,,,,,4.0
CONCEPTIONS:  REPRODUCTIVE ASSOCIATES,LITTLETON,COLORADO,Yes,Yes,Yes,Yes,No,99%,1%,0%,35%,0%,25%,1%,5%,56%,10%,2%,1%,74,75,39,36.5,40.0,23.1,32.4,37.3,7.7,(21.8 - 43.1),(26.4 - 48.3),(0.0 - 16.1),36.4,41.8,9.4,36.9,41.8,9.4,10.8,10.7,17.9,3.5,4.0,4.1,59.3,56.7,1/9,58.3,42.9,1/3,16,11,7,4/16,1/11,0/7,3.8,3.4,2.4,2,6,19,0/2,4/6,10/19,0,3,7,,0/3,2/7,3.0,3.1,3.4
COLORADO SPRINGS CENTER FOR REPRODUCTIVE HEALTH,COLORADO SPRINGS,COLORADO,Yes,Yes,No,Yes,No,72%,16%,12%,0%,0%,24%,32%,0%,3%,12%,27%,2%,26,13,4,30.8,1/13,0/4,26.9,1/13,0/4,(9.9 - 44.0),,,30.4,1/12,0/3,33.3,1/8,0/3,11.5,1/13,1/4,4.0,4.0,3.3,4/8,0/1,,3/7,0/1,,7,4,2,3/7,1/4,0/2,4.7,5.8,6.0,1,0,1,0/1,,0/1,1,0,0,1/1,,,4.5,,6.0
COLORADO IVF AT ROSE,DENVER,COLORADO,Yes,Yes,Yes,Yes,No,91%,9%,0%,22%,0%,30%,13%,0%,19%,17%,5%,16%,78,39,2,35.9,38.5,0/2,33.3,38.5,0/2,(22.9 - 43.8),(23.2 - 53.7),,36.6,40.5,0/1,38.2,42.9,0/1,9.0,5.1,1/2,3.3,3.5,1.0,60.7,6/15,,65.4,5/15,,5,3,0,2/5,1/3,,3.6,3.7,,2,3,4,1/2,1/3,3/4,0,1,1,,0/1,1/1,2.5,3.3,4.0
COLORADO CENTER FOR REPRODUCTIVE MEDICINE,ENGLEWOOD,COLORADO,Yes,Yes,Yes,Yes,Yes,98%,<1%,1%,26%,0%,21%,20%,3%,11%,13%,32%,0%,180,186,110,57.8,50.5,27.3,52.2,40.9,20.0,(44.9 - 59.5),(33.8 - 47.9),(12.5 - 27.5),57.3,51.7,23.7,57.7,51.7,23.7,8.9,21.0,15.5,4.1,4.2,4.5,61.5,44.7,23.3,56.4,47.4,27.3,31,28,22,29.0,14.3,36.4,4.0,3.3,3.8,10,15,52,8/10,11/15,57.7,2,1,4,1/2,1/1,0/4,4.3,4.1,4.0
YALE UNIVERSITY IVF PROGRAM,NEW HAVEN,CONNECTICUT,Yes,Yes,No,Yes,No,99%,<1%,<1%,22%,0%,27%,6%,0%,7%,38%,12%,10%,111,103,25,25.2,9.7,12.0,23.4,6.8,4.0,(15.5 - 31.3),(1.9 - 11.7),(0.0 - 11.7),25.7,7.8,5.0,27.7,8.6,1/15,9.0,12.6,20.0,4.1,3.9,3.4,42.9,4/10,0/3,38.5,3/7,0/1,6,11,7,0/6,0/11,0/7,4.0,3.7,3.1,5,7,32,0/5,3/7,21.9,2,2,14,0/2,0/2,0/14,3.6,3.2,3.9
"MICHAEL P. DOYLE, M.D",NORWALK,CONNECTICUT,Yes,Yes,No,Yes,Yes,100%,0%,0%,57%,0%,27%,17%,0%,5%,22%,6%,23%,62,53,26,46.8,47.2,23.1,40.3,39.6,15.4,(28.1 - 52.5),(26.5 - 52.8),(1.5 - 29.3),40.3,39.6,15.4,42.4,39.6,15.4,0.0,0.0,0.0,5.0,4.4,4.5,20.7,48.0,0/6,20.0,52.4,0/4,3,5,1,0/3,1/5,0/1,3.0,3.2,3.0,2,3,5,1/2,1/3,4/5,0,0,0,,,,4.5,4.7,3.8
"FRANCES W. GINSBURG, M.D.",STAMFORD,CONNECTICUT,Yes,Yes,No,No,No,100%,0%,0%,46%,0%,27%,3%,0%,3%,28%,3%,36%,12,13,10,4/12,2/13,1/10,3/12,1/13,1/10,,,,3/12,1/13,1/10,3/12,1/13,1/10,0/12,0/13,0/10,4.1,4.2,3.8,3/4,1/2,0/1,3/3,1/1,0/1,2,1,1,1/2,0/1,0/1,6.5,3.0,5.0,0,0,0,,,,0,0,0,,,,,,
HARTFORD FERTILITY & REPRODUCTIVE ENDOCRINOLOGY,HARTFORD,CONNECTICUT,Yes,No,Yes,Yes,No,95%,5%,0%,0%,0%,48%,10%,2%,22%,0%,12%,6%,18,25,1,5/18,12.0,0/1,3/18,4.0,0/1,,(0.0 - 11.7),,3/17,1/18,0/1,3/17,1/18,0/1,1/18,28.0,0/1,4.7,3.9,6.0,2/5,0/3,,1/3,0/1,,1,2,0,0/1,0/2,,2.0,4.0,,0,0,1,,,0/1,0,0,0,,,,,,3.0
THE GEORGE WASHINGTON UNIVERSITY MEDICAL CENTER,WASHINGTON,DISTRICT OF COLUMBIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,18%,0%,34%,18%,3%,3%,9%,7%,26%,95,85,87,27.4,22.4,6.9,22.1,10.6,4.6,(13.8 - 30.4),(4.0 - 17.1),(0.2 - 9.0),25.3,12.5,6.3,25.9,13.6,7.0,12.6,15.3,27.6,3.8,3.6,3.5,34.6,4/19,0/6,33.3,4/9,0/4,0,4,4,,0/4,0/4,,3.8,3.5,1,2,6,0/1,0/2,0/6,0,0,0,,,,4.0,3.0,4.2
REPRODUCTIVE SCIENCE CENTER OF,WASHINGTON,DISTRICT OF COLUMBIA,Yes,No,No,No,No,94%,6%,0%,13%,0%,49%,9%,1%,5%,19%,1%,16%,128,99,24,43.0,27.3,8.3,38.3,22.2,4.2,(29.9 - 46.7),(14.0 - 30.4),(0.0 - 12.2),48.5,31.4,1/13,52.7,32.8,1/12,21.1,29.3,45.8,3.7,4.2,4.2,25.5,44.4,0/2,26.5,50.0,0/1,0,1,0,,0/1,,,5.0,,0,0,0,,,,0,0,0,,,,,,
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,Yes,Yes,No,Yes,Yes,95%,1%,4%,32%,1%,27%,21%,0%,13%,32%,5%,2%,108,68,16,40.7,30.9,1/16,38.0,25.0,0/16,(28.8 - 47.1),(14.7 - 35.3),,39.4,26.6,0/14,43.6,28.3,0/14,3.7,5.9,2/16,4.1,3.8,4.4,38.6,33.3,0/1,36.6,6/17,,42,22,6,28.6,18.2,0/6,4.3,4.2,3.3,0,6,10,,2/6,4/10,1,2,6,0/1,1/2,1/6,4.0,4.1,4.0
"ELIEZER J. LIVNAT, M.D.",PLANTATION,FLORIDA,Yes,No,No,No,No,100%,0%,0%,0%,0%,84%,0%,0%,8%,0%,8%,0%,6,3,2,3/6,0/3,0/2,3/6,0/3,0/2,,,,3/6,0/1,,3/6,0/1,,0/6,2/3,2/2,4.5,6.0,,1/3,,,1/3,,,1,1,0,0/1,0/1,,4.0,6.0,,0,0,0,,,,0,0,0,,,,,,
THE INFERTILITY CENTER OF DAYTONA,ORMOND BEACH,FLORIDA,Yes,Yes,No,No,No,100%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,2,0,0,1/2,,,0/2,,,,,,0/2,,,0/2,,,0/2,,,2.5,,,0/1,,,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
SOUTHERN ILLINOIS UNIVERSITY ART PROGRAM,SPRINGFIELD,ILLINOIS,Yes,Yes,No,Yes,Yes,83%,17%,0%,0%,0%,25%,7%,0%,36%,18%,14%,0%,20,4,0,20.0,0/4,,20.0,0/4,,(2.5 - 37.5),,,20.0,0/4,,20.0,0/4,,0.0,0/4,,4.0,3.5,,1/4,,,1/4,,,0,0,0,,,,,,,0,0,4,,,0/4,0,0,0,,,,,,2.3
CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY,PLANTATION,FLORIDA,Yes,Yes,No,Yes,Yes,88%,12%,0%,52%,0%,36%,11%,8%,9%,30%,4%,2%,44,29,12,22.7,20.7,4/12,15.9,20.7,3/12,(5.1 - 26.7),(5.9 - 35.4),,16.7,22.2,3/11,17.1,22.2,3/11,4.5,6.9,1/12,3.7,3.9,4.7,4/10,2/6,1/4,3/7,2/6,1/3,3,1,0,2/3,0/1,,2.7,3.0,,1,1,2,0/1,1/1,0/2,0,0,0,,,,4.0,5.0,2.5
BOCA FERTILITY,BOCA RATON,FLORIDA,Yes,Yes,No,Yes,No,100%,0%,0%,8%,0%,35%,7%,0%,28%,27%,0%,3%,31,20,15,38.7,55.0,1/15,35.5,45.0,1/15,(18.6 - 52.3),(23.2 - 66.8),,42.3,9/18,1/12,47.8,9/15,1/11,16.1,10.0,3/15,3.9,4.7,3.7,5/12,5/11,0/1,4/11,3/9,0/1,2,4,0,1/2,1/4,,3.0,4.5,,0,1,1,,0/1,1/1,0,0,0,,,,,6.0,5.0
CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE,ORLANDO,FLORIDA,Yes,No,Yes,Yes,No,99%,1%,0%,27%,0%,37%,17%,2%,3%,22%,0%,19%,118,65,13,40.7,27.7,1/13,32.2,20.0,0/13,(23.8 - 40.6),(10.3 - 29.7),,35.8,23.2,0/9,37.6,25.0,0/9,10.2,13.8,4/13,3.2,3.2,3.8,45.8,4/18,0/1,47.4,2/13,,10,11,4,3/10,3/11,0/4,3.3,2.6,3.8,1,1,1,0/1,0/1,1/1,1,0,0,0/1,,,3.0,4.0,3.0
NORTHWEST CENTER FOR INFERTILITY,MARGATE,FLORIDA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,50%,1%,29%,21%,1%,7%,25%,14%,3%,159,113,46,50.9,45.1,17.4,42.8,36.3,13.0,(35.1 - 50.5),(27.4 - 45.1),(3.3 - 22.8),45.3,41.8,20.7,46.3,41.8,22.2,5.7,13.3,37.0,3.5,3.6,3.7,42.0,35.3,2/8,44.1,41.5,1/6,12,6,3,4/12,0/6,1/3,4.1,3.3,3.7,2,8,20,0/2,7/8,40.0,0,0,0,,,,4.0,3.4,4.0
GENETICS AND IVF OF FLORIDA,WEST PALM BEACH,FLORIDA,No,Yes,No,No,No,100%,0%,0%,16%,0%,35%,14%,0%,2%,9%,12%,28%,15,14,3,1/15,1/14,0/3,1/15,1/14,0/3,,,,1/14,1/12,0/1,1/14,1/9,0/1,1/15,2/14,2/3,3.6,3.6,3.0,0/1,1/1,,0/1,1/1,,5,5,0,2/5,0/5,,3.6,3.2,,0,0,0,,,,0,0,0,,,,,,
FERTILITY & IVF CENTER OF MIAMI,MIAMI,FLORIDA,Yes,No,Yes,Yes,Yes,91%,9%,0%,29%,0%,21%,5%,4%,14%,19%,23%,14%,54,60,14,33.3,26.7,0/14,25.9,21.7,0/14,(14.2 - 37.6),(11.2 - 32.1),,28.6,27.1,0/12,29.2,28.9,0/12,9.3,20.0,2/14,5.3,5.8,3.4,9/18,6/16,,6/14,5/13,,2,0,2,1/2,,0/2,3.5,,8.0,2,2,14,0/2,0/2,7/14,0,0,0,,,,8.5,6.0,7.2
"SPECIALISTS IN REPRODUCTIVE MEDICINE AND SURGERY, P.A.",FORT MYERS,FLORIDA,Yes,No,Yes,Yes,No,100%,0%,0%,34%,0%,34%,15%,2%,12%,31%,4%,2%,24,15,2,37.5,5/15,1/2,16.7,4/15,1/2,(1.8 - 31.6),,,18.2,4/12,1/2,19.0,4/12,1/2,8.3,3/15,0/2,3.5,3.8,2.5,1/9,1/5,1/1,1/4,0/4,1/1,5,2,0,0/5,1/2,,2.2,3.0,,0,1,1,,1/1,1/1,0,0,0,,,,,3.0,4.0
ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM,TAMPA,FLORIDA,Yes,Yes,Yes,Yes,No,91%,7%,2%,27%,0%,35%,12%,2%,3%,18%,18%,12%,116,71,35,38.8,38.0,14.3,33.6,32.4,5.7,(25.0 - 42.2),(21.5 - 43.3),(0.0 - 13.4),36.1,40.4,7.1,36.4,40.4,7.1,6.9,19.7,20.0,4.8,4.5,4.9,66.7,33.3,1/5,66.7,34.8,0/2,6,2,3,0/6,0/2,0/3,3.5,5.0,3.3,0,0,6,,,3/6,0,0,0,,,,,,4.3
MEMORIAL HOSPITAL JACKSONVILLE,JACKSONVILLE,FLORIDA,Yes,Yes,Yes,Yes,No,38%,35%,27%,9%,0%,34%,34%,2%,11%,8%,3%,8%,33,23,10,24.2,17.4,1/10,9.1,13.0,1/10,(0.0 - 18.9),(0.0 - 26.8),,10.3,3/19,1/8,10.3,3/18,1/7,12.1,17.4,2/10,4.4,4.7,4.9,3/8,1/4,0/1,0/3,1/3,0/1,5,4,2,0/5,0/4,0/2,4.6,3.3,4.0,1,2,3,0/1,1/2,0/3,0,0,0,,,,2.0,6.0,4.7
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,GULF BREEZE,FLORIDA,Yes,No,No,No,No,100%,0%,0%,39%,0%,43%,19%,0%,0%,21%,17%,0%,15,17,1,2/15,4/17,0/1,2/15,4/17,0/1,,,,2/14,4/12,,2/10,4/11,,1/15,5/17,1/1,5.4,6.6,,0/2,2/4,,0/2,2/4,,7,1,0,1/7,0/1,,3.4,4.0,,0,0,0,,,,1,0,3,1/1,,1/3,4.0,,3.0
UNIVERSITY OF FLORIDA-SHANDS HOSPITAL,GAINESVILLE,FLORIDA,Yes,No,Yes,Yes,Yes,100%,0%,0%,21%,0%,35%,20%,0%,3%,15%,22%,5%,41,35,10,34.1,25.7,2/10,34.1,22.9,1/10,(19.6 - 48.7),(8.9 - 36.8),,35.0,23.5,1/9,36.8,24.2,1/9,2.4,2.9,1/10,3.3,3.3,4.1,4/14,2/9,0/2,3/14,1/8,0/1,6,2,4,0/6,0/2,1/4,3.3,2.5,3.8,5,4,15,1/5,0/4,5/15,0,1,0,,1/1,,3.4,3.2,3.3
REPRODUCTIVE MEDICINE & FERTILITY CENTER,ORLANDO,FLORIDA,Yes,No,Yes,Yes,No,97%,3%,0%,20%,0%,37%,0%,2%,22%,23%,4%,12%,10,18,7,4/10,6/18,0/7,4/10,6/18,0/7,,,,4/9,6/17,0/4,4/8,6/17,0/4,1/10,1/18,3/7,3.5,3.8,4.8,1/4,4/6,,1/4,3/6,,3,4,1,1/3,2/4,0/1,4.3,3.3,4.0,0,0,5,,,1/5,0,0,0,,,,,,3.4
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,MIAMI,FLORIDA,Yes,Yes,No,Yes,No,64%,36%,0%,28%,1%,20%,6%,7%,10%,28%,23%,6%,61,63,39,31.1,15.9,7.7,27.9,14.3,7.7,(16.6 - 39.1),(5.6 - 22.9),(0.0 - 16.1),29.8,16.7,10.3,32.1,17.3,10.7,6.6,14.3,25.6,5.8,5.0,5.5,5/19,6/10,1/3,3/17,4/9,0/3,4,3,2,1/4,0/3,0/2,4.0,4.3,4.5,1,2,13,1/1,0/2,6/13,0,0,0,,,,6.0,6.5,6.4
CHR-FLORIDA,CLEARWATER,FLORIDA,Yes,Yes,Yes,Yes,No,95%,5%,0%,31%,0%,33%,10%,2%,17%,28%,10%,0%,46,36,13,45.7,33.3,0/13,32.6,30.6,0/13,(19.1 - 46.2),(15.5 - 45.6),,32.6,30.6,0/13,35.7,35.5,0/12,0.0,0.0,0/13,3.9,3.6,2.7,57.1,4/12,,8/15,2/11,,2,0,0,0/2,,,3.5,,,2,1,1,0/2,0/1,0/1,0,0,0,,,,4.5,6.0,5.0
"REENA JABAMONI, M.D.",OAK BROOK,ILLINOIS,Yes,Yes,No,Yes,No,95%,5%,0%,8%,0%,5%,26%,5%,10%,3%,23%,28%,23,13,2,34.8,2/13,0/2,30.4,1/13,0/2,(11.6 - 49.2),,,30.4,1/13,0/2,33.3,1/12,0/2,0.0,0/13,0/2,4.6,3.9,3.0,3/8,1/2,,3/7,1/1,,0,0,0,,,,,,,1,0,0,0/1,,,0,0,0,,,,1.0,,
"ADVANCED REPRODUCTIVE CENTER, LTD.",ROCKFORD,ILLINOIS,Yes,No,Yes,No,No,92%,8%,0%,32%,0%,31%,14%,0%,7%,31%,10%,7%,19,2,4,5/19,0/2,1/4,4/19,0/2,0/4,,,,4/17,0/1,0/3,4/17,,0/3,2/19,1/2,1/4,3.5,,4.0,2/5,,0/1,1/4,,,0,1,0,,0/1,,,3.0,,0,0,0,,,,0,0,0,,,,,,
TOTAL FERTILITY CARE-EAST TENNESSEE STATE UNIVERSITY,JOHNSON CITY,TENNESSEE,Yes,No,No,No,No,100%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,0%,1,1,0,0/1,0/1,,0/1,0/1,,,,,0/1,0/1,,,0/1,,0/1,0/1,,,5.0,,,,,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
MEDICAL COLLEGE OF VIRGINIA,RICHMOND,VIRGINIA,Yes,Yes,No,No,No,96%,<1%,3%,32%,0%,28%,12%,0%,0%,49%,2%,9%,9,17,5,2/9,5/17,0/5,2/9,4/17,0/5,,,,2/8,4/12,0/2,2/8,4/12,0/2,1/9,5/17,3/5,4.1,4.3,3.5,1/2,2/5,,1/2,2/4,,4,0,5,0/4,,1/5,4.0,,3.8,0,0,0,,,,0,0,0,,,,,,
AUGUSTA REPRODUCTIVE BIOLOGY ASSOCIATES,AUGUSTA,GEORGIA,Yes,No,No,Yes,No,100%,0%,0%,32%,0%,27%,15%,0%,8%,34%,16%,0%,35,19,6,14.3,3/19,0/6,14.3,2/19,0/6,(2.7 - 25.9),,,15.2,2/18,0/6,18.5,2/12,0/4,5.7,1/19,0/6,2.6,2.8,3.0,3/5,1/3,,3/5,0/2,,11,2,1,3/11,1/2,0/1,1.7,2.5,1.0,1,0,0,0/1,,,0,0,0,,,,3.0,,
MEDICAL COLLEGE OF GEORGIA,AUGUSTA,GEORGIA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,0%,56%,21%,0%,17%,0%,6%,0%,23,12,5,26.1,0/12,0/5,21.7,0/12,0/5,(4.9 - 38.6),,,25.0,0/7,0/4,25.0,0/7,0/4,13.0,5/12,1/5,4.8,3.9,4.3,1/6,,,1/5,,,7,0,3,0/7,,0/3,3.9,,3.0,0,1,1,,0/1,0/1,0,0,0,,,,,5.0,2.0
EMORY CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,ATLANTA,GEORGIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,57%,0%,32%,22%,1%,15%,16%,10%,4%,62,35,12,27.4,20.0,3/12,21.0,20.0,3/12,(10.8 - 31.1),(6.7 - 33.3),,27.7,29.2,3/8,29.5,30.4,3/8,24.2,31.4,4/12,3.0,3.3,4.4,8/17,1/7,3/3,5/13,1/7,2/3,12,3,0,3/12,1/3,,3.0,3.0,,0,5,2,,3/5,1/2,0,0,0,,,,,2.8,3.5
PACIFIC IVF INSTITUTE,HONOLULU,HAWAII,Yes,No,No,No,No,100%,0%,0%,23%,0%,33%,38%,0%,4%,21%,1%,3%,71,83,60,29.6,25.3,15.0,19.7,21.7,5.0,(10.5 - 29.0),(12.8 - 30.6),(0.0 - 10.5),24.6,25.7,6.5,25.0,26.5,6.7,19.7,15.7,23.3,4.7,5.2,4.6,38.1,52.4,3/9,7/14,9/18,1/3,22,18,8,31.8,6/18,1/8,4.2,4.4,5.1,0,0,0,,,,0,2,4,,1/2,1/4,,5.0,4.0
OAK BROOK FERTILITY CENTER,OAK BROOK,ILLINOIS,Yes,Yes,Yes,Yes,Yes,89%,2%,9%,39%,0%,25%,26%,0%,26%,17%,6%,0%,21,16,9,33.3,4/16,1/9,28.6,3/16,1/9,(9.2 - 47.9),,,28.6,3/15,1/9,30.0,3/13,1/9,0.0,1/16,0/9,4.0,3.4,4.4,3/7,1/4,1/1,2/6,1/3,1/1,2,1,1,0/2,1/1,0/1,3.5,4.0,4.0,2,2,6,1/2,1/2,1/6,3,0,3,0/3,,0/3,4.4,3.0,3.3
RUSH-PRESBYTERIAN - SAINT LUKE'S MEDICAL CENTER,CHICAGO,ILLINOIS,Yes,Yes,Yes,No,No,83%,11%,6%,15%,1%,34%,20%,1%,24%,18%,3%,0%,101,72,42,31.7,19.4,7.1,22.8,12.5,4.8,(14.6 - 31.0),(4.9 - 20.1),(0.0 - 11.2),24.5,15.8,6.5,26.4,18.8,8.7,6.9,20.8,26.2,5.4,4.3,3.8,50.0,3/14,0/3,39.1,1/9,0/2,9,2,0,0/9,0/2,,2.6,5.0,,0,0,0,,,,0,0,0,,,,,,
HIGHLAND PARK HOSPITAL,HIGHLAND PARK,ILLINOIS,Yes,Yes,No,Yes,No,99%,1%,0%,70%,0%,17%,10%,0%,24%,35%,14%,0%,105,123,43,53.3,44.7,20.9,43.8,36.6,14.0,(34.3 - 53.3),(28.1 - 45.1),(3.6 - 24.3),46.5,43.3,20.7,46.5,44.1,21.4,5.7,15.4,32.6,4.6,4.5,5.3,62.5,40.0,3/9,60.9,33.3,0/6,13,5,4,3/13,3/5,1/4,4.2,4.4,3.8,1,2,11,0/1,1/2,4/11,0,0,0,,,,4.0,4.5,4.6
"REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES, S.C.",SPRINGFIELD,ILLINOIS,Yes,No,No,No,No,99%,1%,0%,28%,0%,39%,14%,9%,17%,13%,6%,2%,47,21,13,12.8,4.8,0/13,12.8,4.8,0/13,(3.2 - 22.3),(0.0 - 13.9),,14.6,1/19,0/12,16.2,1/17,0/8,12.8,9.5,1/13,4.3,3.7,4.0,2/6,0/1,,1/6,0/1,,5,2,0,0/5,0/2,,3.2,5.0,,0,0,0,,,,0,0,0,,,,,,
IVF ILLINOIS,CHICAGO,ILLINOIS,Yes,Yes,Yes,Yes,No,99%,<1%,<1%,40%,0%,27%,10%,1%,21%,22%,3%,16%,292,262,137,28.8,21.0,13.1,21.9,17.2,5.1,(17.2 - 26.7),(12.6 - 21.7),(1.4 - 8.8),24.0,19.7,6.2,25.3,20.8,7.1,8.6,13.0,17.5,3.1,3.1,2.7,25.0,20.0,1/18,29.7,24.4,0/7,30,10,8,10.0,3/10,1/8,3.0,2.6,2.4,3,1,18,2/3,0/1,7/18,0,0,0,,,,3.7,3.0,3.1
NORTHWESTERN UNIVERSITY PRENTICE WOMEN'S HOSPITAL,CHICAGO,ILLINOIS,Yes,Yes,No,Yes,Yes,100%,0%,0%,24%,0%,28%,12%,1%,21%,22%,1%,15%,49,66,4,20.4,15.2,0/4,12.2,10.6,0/4,(3.1 - 21.4),(3.2 - 18.0),,13.3,11.1,0/3,16.2,11.9,0/2,8.2,4.5,1/4,3.8,4.2,4.5,3/10,1/10,,1/6,0/7,,26,13,2,19.2,0/13,0/2,3.7,5.7,1.5,0,0,2,,,0/2,0,1,0,,0/1,,,5.0,4.5
MIDWEST FERTILITY CENTER,DOWNERS GROVE,ILLINOIS,Yes,Yes,Yes,Yes,No,100%,0%,0%,11%,0%,16%,34%,4%,6%,31%,8%,1%,85,47,16,18.8,27.7,3/16,15.3,25.5,2/16,(7.6 - 22.9),(13.1 - 38.0),,20.0,30.0,2/8,22.4,32.4,2/6,23.5,14.9,8/16,3.5,3.5,2.7,8/16,4/13,0/3,6/13,4/12,0/2,3,0,0,0/3,,,2.3,,,0,2,0,,1/2,,0,0,0,,,,,4.5,
HINSDALE CENTER FOR REPRODUCTION,HINSDALE,ILLINOIS,Yes,No,Yes,Yes,No,100%,0%,0%,12%,0%,33%,26%,11%,19%,7%,4%,0%,46,31,1,28.3,22.6,0/1,23.9,16.1,0/1,(11.6 - 36.2),(3.2 - 29.1),,24.4,21.7,0/1,29.7,23.8,0/1,2.2,25.8,0/1,4.4,4.3,6.0,7/13,3/7,,6/11,2/5,,11,7,3,3/11,0/7,2/3,4.1,3.4,4.3,0,0,1,,,0/1,0,0,0,,,,,,3.0
ADVANCED INSTITUTE OF FERTILITY,ARLINGTON HEIGHTS,ILLINOIS,Yes,Yes,No,Yes,No,91%,7%,2%,61%,0%,6%,17%,8%,11%,44%,14%,0%,21,22,13,28.6,13.6,2/13,19.0,13.6,0/13,(2.3 - 35.8),(0.0 - 28.0),,20.0,3/19,0/13,4/18,3/18,0/12,4.8,13.6,0/13,4.5,4.0,5.0,2/6,0/3,1/2,2/4,0/3,,2,2,1,0/2,0/2,0/1,4.5,4.0,3.0,0,2,0,,1/2,,0,0,2,,,1/2,,4.5,3.0
FERTILITY CENTERS OF ILLINOIS,GLENVIEW,ILLINOIS,Yes,Yes,No,Yes,No,99%,<1%,<1%,54%,0%,23%,17%,2%,32%,20%,2%,4%,168,119,20,35.7,22.7,10.0,34.5,17.6,5.0,(27.3 - 41.7),(10.8 - 24.5),(0.0 - 14.6),36.0,19.3,1/17,38.4,20.6,1/13,4.2,8.4,15.0,4.0,3.5,3.9,51.7,22.2,0/2,48.3,28.6,0/1,63,36,6,19.0,25.0,0/6,4.2,4.2,3.8,2,5,11,0/2,4/5,3/11,7,4,13,1/7,2/4,5/13,4.2,3.7,4.0
REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES,INDIANAPOLIS,INDIANA,Yes,No,No,No,No,22%,39%,39%,17%,0%,17%,55%,0%,22%,0%,6%,0%,9,5,4,1/9,2/5,0/4,1/9,1/5,0/4,,,,1/6,1/4,0/3,1/6,1/4,0/3,3/9,1/5,1/4,2.3,3.3,1.7,1/1,1/2,,1/1,1/1,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
RESEARCH MEDICAL CENTER ART PROGRAM,KANSAS CITY,MISSOURI,Yes,No,No,No,No,33%,67%,0%,0%,0%,27%,53%,0%,20%,0%,0%,0%,5,8,2,0/5,1/8,0/2,0/5,1/8,0/2,,,,0/4,1/7,0/2,0/4,1/6,0/2,1/5,1/8,0/2,4.3,3.3,2.5,,0/1,,,0/1,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
