PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
REPRODUCTIVE ENDOCRINE ASSOCIATES,SAN DIEGO,SAN DIEGO,CALIFORNIA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,50%,0%,14%,39%,11%,0%,11%,25%,0%,9,5,5,1,4/9,2/5,0/5,1/1,3/9,2/5,0/5,0/1,,,,,3/9,2/5,0/5,0/1,3/8,2/3,0/4,0/1,0/9,0/5,0/5,0/1,4.8,4.3,5.8,6.0,1/4,1/2,,0/1,0/4,0/2,,0/1,1/3,1/2,,,0,0,0,2,,,,1/2,,,,3.5,2,0,0,4,0/2,,,2/4,0,0,0,0,,,,,4.0,,,4.8
SHARP FERTILITY CENTER,SAN DIEGO,SAN DIEGO,CALIFORNIA,Yes,Yes,Yes,Yes,No,81%,8%,0%,10%,58%,0%,28%,4%,2%,19%,3%,29%,15%,45,46,33,31,37.8,32.6,24.2,9.7,33.3,28.3,12.1,6.5,(19.6 - 47.1),(15.2 - 41.3),(1.0 - 23.3),(0.0 - 15.1),34.9,31.7,12.5,8.0,34.9,31.7,12.5,8.0,4.4,10.9,3.0,19.4,4.7,5.0,4.9,4.3,6/17,3/15,3/8,1/3,2/17,2/15,0/8,0/3,7/15,5/13,2/4,1/2,23,26,12,10,21.7,15.4,2/12,0/10,4.6,4.4,5.1,5.1,1,2,3,11,0/1,0/2,0/3,2/11,0,0,1,10,,,1/1,1/10,4.0,5.0,5.5,4.2
SMOTRICH CENTER FOR REPRODUCTIVE ENHANCEMENT,SAN DIEGO,SAN DIEGO,CALIFORNIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,28%,0%,13%,17%,0%,30%,10%,30%,0%,9,5,2,2,0/9,1/5,0/2,0/2,0/9,1/5,0/2,0/2,,,,,0/9,1/4,0/2,0/2,0/9,1/4,0/2,0/2,0/9,1/5,0/2,0/2,4.7,5.3,6.0,3.5,,0/1,,,,0/1,,,,0/1,,,1,0,0,0,0/1,,,,6.0,,,,1,0,1,5,0/1,,0/1,0/5,0,0,0,2,,,,0/2,4.0,,4.0,3.9
ASTARTE FERTILITY CENTER,SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,Yes,Yes,Yes,Yes,No,84%,0%,3%,13%,50%,0%,29%,25%,0%,24%,8%,14%,0%,33,27,30,25,33.3,37.0,20.0,12.0,30.3,37.0,20.0,0.0,(14.6 - 46.0),(18.8 - 55.3),(5.7 - 34.3),,33.3,41.7,27.3,0/16,34.5,41.7,27.3,0/16,9.1,11.1,26.7,36.0,3.8,4.0,3.1,3.6,2/11,0/10,0/6,0/3,1/11,4/10,0/6,0/3,2/10,4/10,0/6,,0,0,3,0,,,0/3,,,,3.7,,0,2,0,13,,1/2,,7/13,0,0,0,1,,,,0/1,,3.5,,3.9
PACIFIC FERTILITY CENTER-SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,64%,0%,24%,14%,2%,23%,8%,29%,<1%,207,168,149,76,47.8,41.1,31.5,14.5,40.6,36.3,26.8,7.9,(33.9 - 47.3),(29.0 - 43.6),(19.7 - 34.0),(1.8 - 14.0),40.6,36.5,26.8,7.9,41.6,38.4,29.2,8.8,0.0,0.6,0.0,0.0,4.4,4.9,5.1,5.2,29.3,31.9,14.9,2/11,23.2,18.8,14.9,0/11,47.6,42.6,30.0,1/6,44,22,14,9,11.4,27.3,2/14,2/9,4.7,5.1,4.6,5.8,3,8,17,66,1/3,5/8,12/17,62.1,3,2,3,25,0/3,0/2,0/3,12.0,6.2,5.5,5.5,5.1
SAN FRANCISCO CENTER FOR REPRODUCTIVE MEDICINE,SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,Yes,Yes,Yes,Yes,No,>99%,<1%,0%,0%,39%,0%,20%,6%,1%,34%,13%,4%,22%,61,46,57,78,47.5,47.8,22.8,19.2,44.3,41.3,17.5,7.7,(31.8 - 56.7),(27.1 - 55.5),(7.7 - 27.4),(1.8 - 13.6),52.9,51.4,24.4,9.7,52.9,51.4,25.0,10.2,16.4,19.6,28.1,20.5,4.0,4.5,4.9,5.2,27.6,22.7,2/13,2/15,6.9,22.7,0/13,0/15,33.3,10/19,1/10,0/6,11,5,8,9,3/11,1/5,3/8,0/9,4.3,5.4,5.4,3.3,2,4,10,42,2/2,1/4,4/10,35.7,1,3,0,24,1/1,0/3,,29.2,3.3,2.9,3.3,3.8
"SIMON HENDERSON, M.D.",SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,Yes,Yes,Yes,Yes,No,96%,0%,0%,4%,28%,0%,19%,13%,1%,10%,46%,10%,1%,13,18,20,16,2/13,3/18,0.0,1/16,1/13,2/18,0.0,1/16,,,,,1/13,2/14,0/16,1/10,1/12,2/14,0/16,1/10,0/13,4/18,,6/16,6.2,6.9,5.8,5.7,0/2,0/3,,0/1,0/2,0/3,,0/1,0/1,0/2,,0/1,1,3,0,1,0/1,1/3,,0/1,4.0,3.0,,4.0,0,0,1,2,,,0/1,0/2,0,0,1,1,,,1/1,0/1,,,3.0,5.3
UNIVERSITY OF CALIFORNIA SAN FRANCISCO IVF PROGRAM,SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,Yes,Yes,No,Yes,No,>99%,0%,0%,<1%,47%,0%,23%,8%,1%,33%,3%,24%,8%,86,77,97,39,32.6,33.8,25.8,7.7,29.1,24.7,19.6,5.1,(19.5 - 38.7),(15.0 - 34.3),(11.7 - 27.5),(0.0 - 12.1),37.3,33.3,23.5,6.3,42.4,35.8,26.0,6.7,22.1,26.0,16.5,17.9,2.5,2.9,3.4,4.0,25.0,23.1,24.0,1/3,7.1,0.0,4.0,0/3,28.0,3/19,4/19,1/2,35,44,46,11,20.0,15.9,19.6,1/11,2.8,2.8,2.9,4.5,8,8,6,35,4/8,6/8,4/6,31.4,2,0,1,24,2/2,,0/1,29.2,2.2,2.5,2.1,2.4
"CARMELO S. SGARLATA, M.D.",SAN JOSE,SAN JOSE,CALIFORNIA,No,No,No,No,No,70%,23%,0%,7%,10%,0%,41%,28%,0%,16%,9%,0%,6%,8,12,7,3,2/8,2/12,2/7,0/3,1/8,2/12,2/7,0/3,,,,,1/7,2/9,2/6,0/2,1/7,2/9,2/6,0/2,1/8,3/12,1/7,1/3,4.0,4.2,3.8,4.5,1/2,2/2,1/2,,0/2,0/2,0/2,,1/1,1/2,1/2,,1,0,0,0,0/1,,,,2.0,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
REPRODUCTIVE SCIENCE CENTER OF THE BAY AREA,SAN RAMON,SAN RAMON,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,80%,18%,0%,2%,22%,0%,19%,16%,4%,14%,38%,1%,8%,62,48,37,20,35.5,39.6,32.4,35.0,29.0,31.3,24.3,30.0,(17.7 - 40.3),(18.1 - 44.4),(10.5 - 38.1),(9.9 - 50.1),33.3,36.6,29.0,6/17,34.0,36.6,30.0,6/15,12.9,14.6,16.2,15.0,3.7,4.2,5.0,6.2,31.8,5/19,3/12,2/7,13.6,3/19,1/12,0/7,9/18,8/15,3/9,1/6,19,13,12,4,3/19,4/13,3/12,1/4,3.5,4.2,3.9,6.3,13,6,16,45,5/13,3/6,9/16,55.6,7,7,7,23,4/7,2/7,1/7,43.5,3.6,3.5,3.6,3.5
CENTER FOR ASSISTED REPRODUCTIVE MEDICINE,SANTA MONICA,SANTA MONICA,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,85%,9%,<1%,6%,55%,1%,14%,6%,3%,33%,14%,7%,23%,90,68,100,137,38.9,33.8,31.0,12.4,36.7,29.4,19.0,7.3,(26.7 - 46.6),(18.6 - 40.2),(11.3 - 26.7),(2.9 - 11.7),38.4,32.8,21.1,9.2,38.8,35.7,21.6,10.3,4.4,10.3,10.0,20.4,4.1,4.1,4.6,3.9,40.0,43.5,6.5,1/17,14.3,4.3,3.2,0/17,48.5,50.0,3/19,1/10,39,25,17,15,15.4,12.0,1/17,2/15,4.1,3.6,2.7,3.8,2,5,11,51,0/2,2/5,4/11,37.3,0,1,6,33,,0/1,2/6,27.3,3.5,3.7,3.9,3.6
PARKER-ROSENMAN-RODI GYN & INFERTILITY MEDICAL GROUP,SANTA MONICA,SANTA MONICA,CALIFORNIA,Yes,Yes,Yes,No,No,100%,0%,0%,0%,22%,0%,40%,9%,2%,18%,27%,2%,2%,10,11,7,9,3/10,4/11,1/7,1/9,3/10,3/11,0/7,1/9,,,,,3/10,3/10,0/6,1/9,3/8,3/10,0/4,1/9,0/10,1/11,1/7,0/9,3.1,4.1,3.5,5.3,1/3,1/4,0/1,0/1,0/3,0/4,0/1,0/1,1/3,1/3,,0/1,5,0,2,0,3/5,,2/2,,3.4,,4.0,,0,0,0,0,,,,,0,0,0,1,,,,0/1,,,,3.0
"NORTH BAY FERTILITY CENTER, INC.",SANTA ROSA,SANTA ROSA,CALIFORNIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,31%,0%,14%,5%,1%,16%,33%,22%,9%,33,25,27,18,36.4,40.0,7.4,4/18,30.3,32.0,7.4,4/18,(14.6 - 46.0),(13.7 - 50.3),(0.0 - 17.3),,33.3,32.0,8.0,4/17,34.5,34.8,8.3,4/17,9.1,0.0,7.4,1/18,3.5,5.4,4.7,6.4,3/12,3/10,2/2,2/4,0/12,1/10,0/2,0/4,3/10,4/8,2/2,1/4,2,3,1,2,1/2,2/3,0/1,0/2,5.5,3.7,5.0,4.0,11,5,5,47,3/11,5/5,2/5,40.4,2,0,1,6,1/2,,0/1,3/6,3.3,2.8,4.3,2.9
VALLEY CENTER FOR REPRODUCTIVE HEALTH,SHERMAN OAKS,SHERMAN OAKS,CALIFORNIA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,55%,0%,17%,25%,0%,33%,25%,0%,0%,5,5,0,1,3/5,0/5,,0/1,3/5,0/5,,0/1,,,,,3/5,0/5,,0/1,3/5,0/5,,0/1,0/5,0/5,,0/1,3.6,5.2,,5.0,2/3,,,,0/3,,,,2/3,,,,0,1,0,0,,0/1,,,,2.0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
STANFORD UNIVERSITY IVF/ART PROGRAM,STANFORD,STANFORD,CALIFORNIA,Yes,Yes,No,No,No,85%,3%,0%,12%,31%,<1%,20%,9%,1%,29%,5%,7%,29%,64,56,80,60,39.1,30.4,22.5,10.0,31.3,21.4,10.0,3.3,(19.9 - 42.6),(10.7 - 32.2),(3.4 - 16.6),(0.0 - 7.9),33.3,26.7,11.1,3.8,34.5,27.9,11.6,4.0,6.3,19.6,10.0,11.7,4.6,4.6,5.0,4.8,40.0,6/17,3/18,2/6,8.0,0/17,0/18,0/6,35.0,5/12,3/8,1/2,5,0,3,0,0/5,,0/3,,2.2,,2.3,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
CENTER FOR HUMAN REPRODUCTION - LOS ANGELES,TARZANA,TARZANA,CALIFORNIA,Yes,Yes,No,Yes,No,96%,1%,<1%,3%,48%,0%,20%,9%,3%,32%,12%,3%,21%,68,44,44,38,54.4,36.4,27.3,21.1,48.5,34.1,13.6,10.5,(36.7 - 60.4),(20.1 - 48.1),(3.5 - 23.8),(0.8 - 20.3),48.5,34.1,14.3,10.8,50.0,35.7,15.4,12.1,0.0,0.0,4.5,2.6,3.9,3.7,3.8,3.3,37.8,9/16,3/12,1/8,21.6,1/16,1/12,0/8,48.5,9/15,3/6,0/4,4,0,0,3,0/4,,,1/3,2.8,,,3.7,0,0,3,32,,,3/3,50.0,0,0,0,0,,,,,,,5.0,4.4
THE FERTILITY INSTITUTES,TARZANA,TARZANA,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,88%,4%,2%,6%,39%,0%,34%,13%,2%,36%,10%,1%,4%,39,14,27,4,41.0,4/14,29.6,0/4,35.9,4/14,25.9,0/4,(20.8 - 51.0),,(9.4 - 42.5),,35.9,4/13,26.9,0/2,37.8,4/13,26.9,0/2,0.0,1/14,3.7,2/4,5.3,4.2,4.4,2.5,2/16,1/4,1/8,,4/16,1/4,0/8,,6/14,2/4,1/7,,4,2,2,0,0/4,1/2,0/2,,5.0,4.5,4.5,,0,0,2,1,,,1/2,0/1,0,0,0,0,,,,,,,5.0,6.0
INFERTILITY AND GYNECOLOGY INSTITUTE,TARZANA,TARZANA,CALIFORNIA,Yes,Yes,Yes,Yes,No,83%,0%,0%,17%,25%,0%,39%,19%,0%,22%,8%,7%,5%,18,17,11,2,10/18,3/17,5/11,1/2,9/18,2/17,4/11,1/2,,,,,9/15,2/14,4/10,1/2,9/15,2/14,4/10,1/2,3/18,3/17,1/11,0/2,4.4,4.4,4.4,4.5,4/10,0/3,2/5,0/1,3/10,1/3,0/5,0/1,5/9,1/2,1/4,0/1,1,1,1,0,0/1,0/1,0/1,,3.0,1.0,3.0,,0,0,0,4,,,,3/4,0,0,0,1,,,,0/1,,,,3.8
GREATER VALLEY CENTER FOR REPRODUCTIVE MEDICINE,THOUSAND OAKS,THOUSAND OAKS,CALIFORNIA,Yes,Yes,No,Yes,No,97%,0%,0%,3%,21%,0%,18%,35%,6%,8%,8%,25%,0%,10,10,7,6,4/10,2/10,4/7,0/6,4/10,2/10,3/7,0/6,,,,,4/8,2/7,3/7,0/6,4/8,2/7,3/7,0/6,2/10,3/10,0/7,0/6,4.6,5.3,3.7,6.5,2/4,0/2,2/4,,0/4,0/2,0/4,,2/4,0/2,2/3,,1,0,0,1,0/1,,,0/1,4.0,,,5.0,1,1,0,5,0/1,1/1,,1/5,0,0,0,2,,,,1/2,8.0,6.0,,5.3
PACIFIC COAST REPRODUCTIVE CENTER,TORRANCE,TORRANCE,CALIFORNIA,Yes,No,Yes,Yes,No,99%,<1%,<1%,0%,36%,0%,35%,12%,2%,22%,6%,23%,0%,65,37,27,30,49.2,35.1,37.0,20.0,46.2,32.4,29.6,20.0,(34.0 - 58.3),(17.3 - 47.5),(12.4 - 46.9),(5.7 - 34.3),46.2,32.4,29.6,20.0,46.2,32.4,29.6,20.0,0.0,0.0,0.0,0.0,5.1,4.9,5.3,5.8,28.1,3/13,3/10,2/6,28.1,5/13,4/10,0/6,46.7,5/12,6/8,2/6,8,5,2,3,3/8,0/5,1/2,0/3,6.0,6.0,7.0,4.3,2,0,3,5,0/2,,1/3,4/5,0,0,0,0,,,,,5.5,,4.7,5.2
SAN ANTONIO FERTILITY CENTER,UPLAND,UPLAND,CALIFORNIA,Yes,Yes,No,Yes,No,94%,0%,6%,0%,29%,0%,46%,0%,0%,12%,25%,17%,0%,5,2,7,3,0/5,1/2,0/7,0/3,0/5,0/2,0/7,0/3,,,,,0/4,0/2,0/7,0/3,0/4,0/2,0/5,0/2,1/5,0/2,0/7,0/3,3.3,5.0,5.0,1.5,,1/1,,,,0/1,,,,,,,3,1,1,0,1/3,0/1,0/1,,4.0,4.0,3.0,,1,0,0,1,0/1,,,0/1,0,0,0,0,,,,,4.0,,,5.0
COLORADO SPRINGS CENTER FOR REPRODUCTIVE HEALTH,COLORADO SPRINGS,COLORADO SPRINGS,COLORADO,Yes,Yes,No,No,No,95%,0%,0%,5%,0%,0%,24%,29%,9%,6%,6%,26%,0%,11,8,0,1,2/11,1/8,,0/1,2/11,1/8,,0/1,,,,,2/11,1/7,,0/1,2/6,1/6,,0/1,0/11,1/8,,0/1,4.2,3.5,,3.0,1/2,0/1,,,0/2,0/1,,,1/2,0/1,,,8,1,1,1,3/8,1/1,0/1,0/1,4.0,4.0,2.0,4.0,0,0,0,0,,,,,0,0,0,1,,,,1/1,,,,6.0
"COLORADO REPRODUCTIVE ENDOCRINOLOGY, P.C.",DENVER,DENVER,COLORADO,Yes,Yes,Yes,Yes,No,89%,11%,0%,0%,19%,0%,23%,18%,2%,8%,23%,1%,27%,57,23,30,12,36.8,13.0,40.0,1/12,35.1,4.3,30.0,0/12,(22.7 - 47.5),(0.0 - 12.7),(13.6 - 46.4),,37.0,1/19,33.3,0/10,40.0,1/17,34.6,0/9,5.3,17.4,10.0,2/12,2.8,2.8,3.4,2.9,14.3,0/3,6/12,0/1,19.0,0/3,1/12,0/1,25.0,0/1,7/9,,17,2,2,1,2/17,0/2,0/2,0/1,2.8,3.0,5.5,6.0,2,2,5,6,0/2,1/2,1/5,2/6,3,0,3,3,0/3,,0/3,0/3,3.0,3.0,3.1,3.2
COLORADO CENTER FOR REPRODUCTIVE MEDICINE,ENGLEWOOD,ENGLEWOOD,COLORADO,Yes,Yes,Yes,Yes,No,99%,0%,1%,0%,31%,0%,21%,17%,2%,12%,15%,33%,<1%,204,139,125,89,68.6,51.8,42.4,30.3,59.3,46.8,31.2,20.2,(52.6 - 66.1),(38.5 - 55.1),(23.1 - 39.3),(11.9 - 28.6),63.7,59.1,41.9,33.3,65.1,59.1,42.4,34.0,6.9,20.9,25.6,39.3,3.6,3.5,3.9,4.4,37.1,34.7,26.4,22.2,17.9,9.7,7.5,3.7,52.1,41.5,33.3,5/18,31,11,13,11,38.7,3/11,1/13,0/11,3.7,4.3,4.2,4.5,9,16,30,45,6/9,11/16,43.3,57.8,4,1,6,20,2/4,1/1,2/6,40.0,3.6,3.7,3.9,3.8
ROCKY MOUNTAIN CENTER FOR REPRODUCTIVE MEDICINE,FORT COLLINS,FORT COLLINS,COLORADO,Yes,Yes,No,Yes,No,100%,0%,0%,0%,54%,0%,41%,16%,0%,35%,8%,0%,0%,17,5,1,5,11/17,1/5,0/1,0/5,11/17,1/5,0/1,0/5,,,,,11/17,1/5,0/1,0/3,11/16,1/4,0/1,0/3,0/17,0/5,0/1,2/5,4.4,5.3,6.0,3.7,5/11,0/1,,,5/11,1/1,,,10/11,1/1,,,5,2,0,0,1/5,0/2,,,3.6,2.5,,,0,0,0,1,,,,0/1,0,0,0,1,,,,0/1,,,,4.5
UNIVERSITY OF CONNECTICUT HEALTH CENTER,FARMINGTON,FARMINGTON,CONNECTICUT,Yes,Yes,Yes,Yes,Yes,>99%,0%,0%,<1%,42%,0%,30%,16%,1%,22%,19%,<1%,12%,186,127,95,45,35.5,27.6,22.1,17.8,29.6,24.4,14.7,4.4,(23.0 - 36.1),(16.9 - 31.9),(7.6 - 21.9),(0.0 - 10.5),34.6,33.7,21.9,6.5,37.2,36.5,24.1,6.9,14.5,27.6,32.6,31.1,3.4,3.7,3.8,4.0,34.8,17.1,14.3,3/8,13.6,14.3,4.8,0/8,49.1,25.8,2/14,1/2,29,16,7,1,20.7,3/16,0/7,0/1,3.5,3.1,2.1,3.0,4,4,4,16,1/4,2/4,2/4,7/16,0,0,1,2,,,0/1,0/2,3.5,3.8,4.6,3.6
HARTFORD FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,HARTFORD,HARTFORD,CONNECTICUT,Yes,No,Yes,Yes,No,98%,2%,0%,0%,0%,0%,33%,17%,4%,1%,29%,6%,10%,22,14,15,3,31.8,2/14,4/15,1/3,27.3,1/14,2/15,1/3,(8.7 - 45.9),,,,28.6,1/12,2/12,1/2,28.6,1/12,2/12,1/2,4.5,2/14,3/15,1/3,4.2,4.3,3.7,3.5,3/7,0/2,0/4,0/1,2/7,1/2,0/4,0/1,5/6,1/1,0/2,0/1,5,1,1,2,0/5,0/1,0/1,0/2,3.0,4.0,4.0,3.5,0,1,2,3,,0/1,1/2,1/3,0,0,0,0,,,,,,4.0,4.5,5.3
YALE UNIVERSITY IVF PROGRAM,NEW HAVEN,NEW HAVEN,CONNECTICUT,Yes,Yes,Yes,Yes,No,>99%,0%,<1%,0%,18%,0%,40%,15%,1%,23%,7%,4%,10%,162,86,75,66,24.7,16.3,14.7,4.5,23.5,12.8,14.7,4.5,(16.9 - 30.0),(5.7 - 19.8),(6.7 - 22.7),(0.0 - 9.6),25.5,13.8,17.7,5.8,28.8,14.5,21.6,7.9,8.0,7.0,17.3,21.2,3.5,3.5,3.6,3.2,30.0,4/14,2/11,0/3,10.0,3/14,0/11,1/3,34.2,4/11,1/11,1/3,10,6,1,2,2/10,0/6,0/1,0/2,3.5,3.8,5.0,3.0,1,3,0,10,0/1,0/3,,1/10,1,0,0,5,0/1,,,0/5,2.5,4.3,,3.5
"MICHAEL B. DOYLE, M.D.",NORWALK,NORWALK,CONNECTICUT,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,37%,0%,32%,6%,1%,21%,8%,1%,30%,82,51,25,22,39.0,37.3,36.0,18.2,35.4,31.4,28.0,13.6,(25.0 - 45.7),(18.6 - 44.1),(10.4 - 45.6),(0.0 - 28.0),35.4,31.4,28.0,14.3,35.8,32.0,28.0,14.3,0.0,0.0,0.0,4.5,5.2,4.9,4.6,4.6,37.5,4/19,0/9,1/4,15.6,0/19,0/9,0/4,51.7,3/16,0/7,1/3,1,1,2,0,0/1,0/1,0/2,,5.0,4.0,3.5,,0,0,2,2,,,0/2,1/2,0,0,0,0,,,,,,,5.0,5.0
NEW ENGLAND FERTILITY INSTITUTE,STAMFORD,STAMFORD,CONNECTICUT,Yes,Yes,Yes,Yes,No,99%,0%,0%,1%,40%,0%,27%,5%,1%,25%,7%,4%,31%,120,65,67,44,55.0,47.7,52.2,27.3,43.3,43.1,34.3,13.6,(34.5 - 52.2),(31.0 - 55.1),(23.0 - 45.7),(3.5 - 23.8),44.1,45.9,37.1,16.7,44.4,46.7,37.1,17.6,1.7,6.2,7.5,18.2,4.0,4.1,4.2,3.9,27.3,16.1,22.9,1/12,4.5,19.4,0.0,0/12,38.5,35.7,26.1,1/6,31,10,11,16,32.3,3/10,3/11,2/16,3.1,2.8,3.2,2.9,0,2,2,20,,1/2,0/2,50.0,0,0,0,0,,,,,,3.5,3.0,3.9
THE STAMFORD HOSPITAL,STAMFORD,STAMFORD,CONNECTICUT,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,41%,0%,34%,7%,5%,23%,16%,0%,14%,16,10,11,9,8/16,2/10,2/11,1/9,8/16,2/10,1/11,0/9,,,,,8/16,2/10,1/8,0/7,8/16,2/9,1/8,0/6,0/16,0/10,3/11,2/9,3.6,3.7,3.3,3.2,2/8,0/2,0/2,0/1,2/8,2/2,1/2,0/1,3/8,2/2,1/1,,0,4,0,4,,0/4,,0/4,,3.3,,3.0,0,1,0,0,,0/1,,,0,1,0,0,,1/1,,,,3.5,,
COLUMBIA HOSPITAL FOR WOMEN ART PROGRAM,,WASHINTON,DISTRICT OF COLUMBIA,Yes,Yes,No,Yes,Yes,98%,1%,1%,<1%,35%,0%,32%,14%,3%,24%,23%,0%,4%,78,67,64,58,25.6,20.9,14.1,10.3,20.5,19.4,9.4,3.4,(11.6 - 29.5),(9.9 - 28.9),(2.2 - 16.5),(0.0 - 8.1),21.6,22.0,11.8,4.8,22.2,23.6,14.3,5.4,5.1,11.9,20.3,27.6,5.0,4.3,3.9,4.6,40.0,2/14,1/9,2/6,15.0,3/14,1/9,0/6,9/16,5/13,1/6,1/2,20,6,5,0,10.0,2/6,1/5,,3.9,4.3,4.8,,1,9,5,15,0/1,3/9,3/5,5/15,2,1,1,10,0/2,0/1,0/1,3/10,3.0,5.5,4.3,4.1
THE GEORGE WASHINGTON UNIVERSITY MEDICAL CENTER,,WASHINTON,DISTRICT OF COLUMBIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,45%,0%,19%,13%,2%,21%,3%,6%,36%,53,59,51,51,22.6,22.0,9.8,5.9,18.9,15.3,7.8,5.9,(8.3 - 29.4),(6.1 - 24.4),(0.5 - 15.2),(0.0 - 12.3),18.9,17.3,9.5,7.3,19.6,18.4,9.8,8.1,0.0,11.9,17.6,19.6,3.8,3.7,4.0,3.0,5/12,0/13,2/5,0/3,2/12,1/13,0/5,0/3,5/10,1/9,2/4,0/3,1,2,0,1,0/1,0/2,,0/1,4.0,4.5,,3.0,0,2,0,8,,0/2,,6/8,0,0,0,0,,,,,,4.0,,4.0
"THE CENTER FOR HUMAN REPRODUCTION - DELEWARE, P.A.",NEWARK,NEWARK,DELAWARE,Yes,Yes,Yes,Yes,No,97%,<1%,2%,<1%,29%,4%,25%,21%,1%,26%,6%,20%,1%,110,59,61,36,16.4,11.9,3.3,5.6,11.8,10.2,1.6,2.8,(5.8 - 17.9),(2.5 - 17.9),(0.0 - 4.8),(0.0 - 8.1),13.8,14.3,2.9,3.6,14.9,16.2,3.2,4.5,14.5,28.8,42.6,22.2,4.2,3.7,3.2,3.5,5/18,2/7,1/2,1/2,3/18,1/7,0/2,0/2,7/13,1/6,0/1,0/1,25,9,4,2,16.0,0/9,0/4,0/2,3.8,2.8,3.0,3.0,2,1,3,7,1/2,0/1,1/3,2/7,1,1,0,1,0/1,0/1,,0/1,4.0,4.0,2.7,4.5
REPRODUCTIVE ASSOCIATES OF DELAWARE,WILMINGTON,WILMINGTON,DELAWARE,No,No,No,No,No,100%,0%,0%,0%,48%,0%,24%,28%,0%,48%,0%,0%,0%,13,5,7,0,2/13,1/5,1/7,,0/13,1/5,1/7,,,,,,0/10,1/4,1/5,,0/10,1/3,1/4,,3/13,1/5,2/7,,3.2,3.3,3.5,,0/2,0/1,0/1,,0/2,0/1,0/1,,,0/1,0/1,,3,0,0,0,1/3,,,,3.0,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
BOCA FERTILITY,BOCA RATON,BOCA RATON,FLORIDA,Yes,Yes,No,No,No,100%,0%,0%,0%,14%,0%,50%,9%,1%,21%,19%,0%,0%,23,10,16,9,34.8,6/10,3/16,3/9,21.7,5/10,3/16,2/9,(4.9 - 38.6),,,,22.7,5/10,3/15,2/7,5/18,5/10,3/14,2/7,4.3,0/10,1/16,2/9,3.9,4.1,4.4,3.1,2/8,2/6,1/3,0/3,1/8,0/6,0/3,0/3,2/5,2/5,1/3,0/2,5,4,0,0,1/5,0/4,,,3.4,3.0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
