Clinic_Name,Clinic_City,Clinic_State,SART_Member,Single_Women,Surrogates,Donor_Eggs_Shared,IVF_Rate,GIFT_Rate,ZIFT_Rate,ICSI_Rate,Diag_TubalRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Number_Cycles_LT35,Number_Cycles_35to39,Number_Cycles_GT39,Preg_Per_Cycle_LT35,Preg_Per_Cycle_35to39,Preg_Per_Cycle_GT39,Preg_Per_Cycle_Conf,Live_Births_Cycle_LT35,Live_Births_Cycle_35to39,Live_Births_Cycle_GT39,Live_Birthsr_Cycle_Conf,Live_Births_Retrv_LT35,Live_Births_Retrv_35to39,Live_Births_Retrv_GT39,Live_Births_Retrv_Conf,Live_Births_Trans_LT35,Live_Births_Trans_35to39,Live_Births_Trans_GT39,Live_Births_Trans_Conf,Cancel_LT35,Cancel_35to39,Cancel_GT39,AVG_Embryos_LT35,AVG_Embryos_35to39,AVG_Embryos_GT39,MultBirth_TW_LT35,MultBirth_TW_35to39,MultBirth_TW_GT39,MultBirth_TR_LT35,MultBirth_TR_35to39,MultBirth_TRW_GT39,Num_Transfer_LT35,Num_Transfer_35to39,Num_Transfer_GT39,Live_Births_TX_LT35,Live_Births_TX_35to39,Live_Births_TX_GT39,AVG_Num_TX_LT35,AVG_Num_TX_35to39,AVG_Num_TX_GT39,Num_Fresh_TX_LT35,Num_Fresh_TX_35to39,Num_Fresh_TX_GT39,Live_TX_LT35,Live_TX_35_39,Live_TX_GT39,AVG_TX_LT35,AVG_TX_35to39,AVG_TX_GT39
"REPRODUCTIVE GENETICS CENTER, IN VITRO",DENVER,COLORADO,YES,YES,YES,0%,100%,0%,0%,3%,64%,15%,0%,9%,9%,3%,   20,    6,    3,35.0,0/6,1/3,,35.0,0/6,0/3,,7/19,0/6,0/3,,7/17,0/6,0/2,,5.0,0/6,0/3,4.1,3.5,5.0,4/17,0/6,0/2,0/17,0/6,0/2,2,2,0,0/2,0/2,,3.5,4.0,,0,0,0,,,,,,
UNIVERSITY OF COLORADO HEALTH SCIENCES CENTER,DENVER,COLORADO,YES,YES,YES,0%,76%,24%,0%,14%,31%,29%,4%,26%,3%,7%,   35,   29,    8,17.1,3.5,0/8,9.1 (2.9-15.3),11.4,3.5,0/8,6.5 (1.1-11.9),11.8,4.4,0/5,7.0 (1.2-12.8),12.1,1/19,0/4,,0.0,3.5,3/8,3.6,3.7,8.3,3.0,0/19,0/4,3.0,1/19,0/4,3,0,0,0/3,,,6.7,,,0,1,2,,1/1,1/2,,4.0,4.5
COLORADO CENTER FOR REPRODUCTIVE MEDICINE,ENGLEWOOD,COLORADO,YES,YES,YES,0%,100%,0%,0%,30%,34%,21%,1%,20%,14%,10%,  139,  155,   91,61.9,61.9,35.2,57.1 (52.1-62.0),58.3,50.3,24.2,49.3 (44.3-54.3),65.9,57.8,31.0,56.7 (51.4-61.9),65.9,57.8,31.0,56.7 (51.4-61.9),11.5,12.9,22.0,4.5,4.4,4.6,30.9,19.3,4.2,8.9,5.2,2.8,30,21,5,33.3,33.3,2/5,3.8,3.2,4.6,3,21,54,1/3,76.2,64.8,5.0,4.1,4.4
CONCEPTIONS WOMEN'S HEALTH AND FERTILITY SPECIALISTS,LITTLETON,COLORADO,YES,YES,YES,0%,99%,<1%,<1%,5%,35%,8%,1%,16%,33%,7%,   81,   92,   40,28.4,39.1,7.5,28.5 (22.5-34.5),22.2,35.9,0.0,23.1 (17.7-28.6),23.7,41.3,0.0,25.7 (19.9-31.6),25.7,42.3,0.0,27.1 (20.9-33.2),13.6,15.2,22.5,3.3,4.0,3.2,8.6,6.4,0.0,2.9,3.9,0.0,18,9,2,3/18,2/9,0/2,3.2,2.9,3.5,3,9,20,2/3,3/9,50.0,4.3,3.6,3.9
HARTFORD FERTILITY AND REPRODUCTIVE,HARTFORD,CONNECTICUT,YES,NO,YES,0%,77%,19%,4%,0%,28%,13%,13%,2%,43%,1%,   20,   26,    1,30.0,26.9,0/1,,25.0,23.1,0/1,,25.0,26.1,0/1,,25.0,26.1,0/1,,0.0,11.5,0/1,4.6,4.7,4.0,10.0,0.0,0/1,0.0,0.0,0/1,5,1,0,1/5,0/1,,4.2,6.0,,0,0,1,,,0/1,,,6.0
YALE UNIVERSITY SCHOOL OF MEDICINE,NEW HAVEN,CONNECTICUT,YES,YES,YES,0%,99%,0%,1%,23%,31%,4%,4%,48%,1%,12%,   64,   71,   33,23.4,19.7,3.0,18.4 (12.5-24.3),15.6,18.3,3.0,14.3 (9.0-19.6),17.5,19.4,3.7,15.7 (9.9-21.5),18.2,21.7,4.2,16.9 (10.7-23.1),10.9,5.6,18.2,3.8,3.6,3.6,3.6,5.0,0.0,1.8,1.7,0.0,14,7,17,0/14,0/7,1/17,3.9,3.1,4.7,8,5,22,2/8,0/5,9.1,4.4,3.4,4.3
NEW ENGLAND FERTILITY INSTITUTE,STAMFORD,CONNECTICUT,YES,YES,YES,10%,100%,0%,0%,20%,28%,9%,1%,23%,5%,34%,  144,   98,   36,52.1,53.1,36.1,49.6 (43.7-55.4),44.4,40.8,25.0,39.6 (33.9-45.4),44.4,40.8,25.0,39.6 (33.9-45.4),44.4,41.2,26.5,39.8 (34.0-45.5),0.0,0.0,0.0,4.1,4.1,4.3,13.9,12.4,0.0,2.1,3.1,0.0,6,6,1,1/6,0/6,0/1,2.8,3.0,1.0,3,5,14,1/3,2/5,8/14,3.3,4.0,4.1
COLUMBIA HOSPITAL FOR WOMEN MEDICAL CENTER,WASHINGTON,D.C.,YES,YES,NO,0%,100%,0%,0%,15%,42%,18%,17%,17%,2%,4%,   65,   98,   74,27.7,22.5,13.5,23.5 (17.5 -29.4),24.6,17.4,9.5,19.5 (13.9-25.2),28.1,20.0,11.9,22.3 (16.0-28.6),30.8,21.8,13.7,24.8 (17.9-31.6),10.8,13.3,18.9,4.4,4.0,4.0,5.8,5.1,2.0,1.9,1.3,0.0,11,6,3,0/11,0/6,0/3,3.2,2.0,3.3,3,1,23,0/3,0/1,34.8,4.0,5.5,4.6
GEORGE WASHINGTON UNIVERISITY IVF PROGRAM,WASHINGTON,D.C.,YES,YES,YES,5%,100%,0%,0%,8%,36%,17%,2%,13%,25%,7%,   99,   97,   63,27.3,24.7,11.1,23.5 (18.2-28.7),20.2,15.5,4.8,15.7 (11.2-20.3),21.1,18.5,5.2,17.3 (12.3-22.2),22.0,20.8,5.6,18.5 (13.2-23.8),4.0,16.5,7.9,3.7,3.4,3.6,9.9,6.9,0.0,1.1,0.0,0.0,2,0,1,0/2,,0/1,3.0,,4.0,3,3,4,0/3,2/3,1/4,3.3,4.3,4.3
REPRODUCTIVE ENDOCRINE AND FERTILITY CENTER OF DELAWARE,NEWARK,DELAWARE,YES,YES,NO,0%,97%,1%,2%,26%,39%,18%,2%,26%,14%,1%,  96,  72,  42,28.1,13.9,0.0,17.9 (12.9-23.0),27.1,12.5,0.0,17.0 (12.0 - 21.9),32.9,15.3,0.0,20.6 (14.8 - 26.4),34.2,16.1,0.0,21.5 (15.5 - 27.5),17.7,18.1,45.2,4.6,4.5,3.6,13.2,3.6,0.0,2.6,1.8,0.0,22,9,3,18.2,1/9,1/3,2.9,2.4,1.7,3,4,7,0/3,1/4,3/7,5.0,5.8,5.3
FERTILITY INSTITUTE OF BOCA RATON,BOCA RATON,FLORIDA,YES,YES,NO,0%,100%,0%,0%,,39%,4%,0%,8%,45%,4%,   28,   17,    6,42.9,7/17,1/6,37.5 (24.5-50.6),35.7,6/17,1/6,32.1 (19.4-44.9),38.5,6/14,1/5,36.7 (22.5-50.9),45.5,6/13,1/5,41.1 (26.1-56.2),7.1,3/17,1/6,3.7,4.4,5.4,18.2,2/13,1/5,4.6,0/13,0/5,5,6,1,1/5,1/6,0/1,4.4,3.7,7.0,0,1,0,,0/1,,,4.0,
CENTER FOR HUMAN REPRODUCTION OF FLORIDA,CLEARWATER,FLORIDA,YES,NO,NO,0%,95%,5%,0%,9%,53%,1%,5%,19%,8%,3%,   43,   21,   15,18.6,38.1,1/15,23.5 (14.0-32.9),18.6,28.6,1/15,20.0 (11.0-29.1),18.6,28.6,1/15,20.0 (11.0-29.1),22.2,6/17,1/10,23.7 (13.3-34.2),0,0,0/15,4.3,4.6,3.0,5.6,1/17,0/10,8.3,0/17,0/10,0,0,0,,,,,,,0,0,0,,,,,,
WOMEN'S HEALTH CARE AND REPRODUCTIVE SERVICES,FORT MYERS,FLORIDA,YES,NO,YES,0%,100%,0%,0%,0%,48%,15%,0%,32%,5%,0%,   34,   18,    3,20.6,5/18,0/3,,20.6,3/18,0/3,,22.6,3/16,0/3,,25.0,3/16,0/3,,8.8,2/18,0/3,4.3,3.9,4.3,7.1,3/16,0/3,3.6,0/16,0/3,11,6,0,1/11,2/6,,4.2,3.5,,0,2,3,,1/2,1/3,,4.0,2.0
PARK AVENUE WOMEN'S CENTER,GAINESVILLE,FLORIDA,YES,NO,YES,75%,100%,0%,0%,12%,26%,35%,12%,21%,3%,3%,   42,   28,    7,23.8,7.1,1/7,16.1 (7.8-24.4),21.4,7.1,0/7,12.4 (5.7-19.1),23.7,9.1,0/5,14.2 (6.5-21.9),26.5,9.5,0/5,15.6 (7.4-23.8),9.5,21.4,2/7,3.6,3.5,2.4,8.8,4.8,0/5,0.0,0.0,0/5,3,3,2,0/3,0/3,0/2,3.0,4.0,2.5,3,3,14,0/3,1/3,2/14,3.3,3.0,3.3
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,GULF BREEZE,FLORIDA,YES,NO,NO,0%,60%,40%,0%,2%,44%,40%,8%,4%,4%,0%,   32,   15,    1,21.9,1/15,1/1,,21.9,0/15,1/1,,29.2,0/14,0/1,,35.0,0/11,0/1,,25.0,1/15,0/1,5.0,5.0,8.0,15.0,0/11,0/1,0.0,0/11,0/1,6,3,0,1/6,0/3,,4.3,5.0,,0,0,0,,,,,,
FIRST COAST ASSISTED FERTILITY,JACKSONVILLE,FLORIDA,YES,YES,YES,0%,34%,54%,12%,5%,25%,23%,0%,9%,22%,21%,   45,   37,    8,37.8,16.2,1/8,25.5 (16.7-34.3),33.3,13.5,1/8,22.4 (13.9-31.0),35.7,15.6,1/7,24.6 (15.3-33.9),40.5,16.7,1/7,27.2 (17.3-37.1),15.6,16.2,1/8,4.7,5.5,6.6,16.2,3.3,0/7,2.7,3.3,0/7,10,6,2,2/10,0/6,0/2,3.5,4.2,2.0,1,3,2,0/1,0/3,1/2,4.0,8.0,5.0
IVF FLORIDA,MARGATE,FLORIDA,YES,YES,YES,94%,100%,0%,0%,44%,35%,15%,0%,17%,25%,8%,  140, 121,  29,38.6,30.6,17.2,31.9 (26.5 - 37.2),30.7,22.3,10.3,24.0 (19.2 - 28.9),34.1,24.8,12.5,26.9 (21.5 - 32.2),34.4,26.5,14.3,27.9 (22.3 - 33.5),10.0,9.9,17.2,3.7,3.6,3.8,12.0,11.8,4.8,0.8,0,0,10,2,2,2/10,0/2,0/2,3.1,4,2,0,2,25,,1/2,28.0,,3.5,3.8
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,MIAMI,FLORIDA,YES,YES,YES,0%,59%,41%,0%,26%,24%,9%,3%,10%,38%,16%,   47,   70,   41,29.8,17.1,7.3,21.2 (14.2-28.1),14.9,7.1,4.9,10.3 (5.0-15.6),16.7,8.1,8.0,12.0 (6.0-18.1),18.0,8.6,8.3,12.9 (6.4-19.3),10.6,11.4,39.0,4.9,5.8,5.6,5.1,1.7,0.0,2.6,0.0,0.0,5,2,1,1/5,0/2,0/1,4.4,4.5,2.0,1,2,9,0/1,1/2,5/9,5.0,9.5,6.4
ARNOLD PALMER HOSPITAL FERTILITY CENTER,ORLANDO,FLORIDA,YES,YES,NO,0%,100%,0%,0%,19%,23%,8%,7%,38%,13%,11%,   60,   43,   25,25.0,25.6,8.0,22.1 (15.0-29.3),18.3,20.9,4.0,16.7 (10.3-23.1),22.0,29.0,1/16,21.7 (13.6-29.8),29.7,39.1,1/13,28.6 (18.5-38.6),16.7,27.9,36.0,3.0,3.0,3.8,0.0,13.0,0/13,2.7,0.0,0/13,14,6,3,3/14,3/6,1/3,3.1,2.3,3.3,2,0,4,1/2,,3/4,3.5,,3.5
CENTER FOR INFERTILITY AND REPRODUCTIVE MEDICINE,ORLANDO,FLORIDA,YES,NO,NO,0%,100%,0%,0%,4%,42%,21%,0%,12%,0%,25%,   83,   43,   16,33.7,30.2,1/16,27.5 (20.4-34.7),26.5,23.3,1/16,21.7 (15.0-28.3),31.9,28.6,1/14,26.2 (18.5-34.0),32.8,30.3,1/12,27.5 (19.4-35.7),16.9,18.6,3/16,3.1,3.7,3.6,10.5,6.1,0/12,1.5,0.0,1/12,16,10,5,1/16,1/10,1/5,3.3,3.8,2.4,0,1,1,,1/1,1/1,,3.0,4.0
REPRODUCTIVE MEDICINE AND FERTILITY CENTER,ORLANDO,FLORIDA,YES,NO,NO,0%,100%,0%,0%,,57%,0%,0%,21%,14%,8%,   11,   13,    3,4/11,1/13,1/3,,4/11,1/13,1/3,,4/10,1/9,1/2,,4/9,1/7,1/2,,1/11,4/13,1/3,3.1,2.4,3.5,0/9,0/7,0/2,0/9,0/7,0/2,4,3,0,1/4,0/3,,2.8,3.0,,3,0,4,0/3,,2/4,3.0,,3.0
UNIVERSITY OF MIAMI IVF PROGRAM,PEMBROKE PINES,FLORIDA,YES,,,,74%,26%,0%,,44%,18%,1%,13%,18%,6%,   34,   38,   10,38.2,18.4,1/10,26.0 (16.7-35.4),17.7,13.2,0/10,12.9 (5.8-19.9),17.7,14.7,0/10,13.4 (6.1-20.7),26.1,5/19,0/7,20.1 (9.8-30.4),0.0,13.2,0/10,6.0,4.4,4.4,13.0,1/19,0/7,0.0,0/19,0/7,0,0,0,,,,,,,0,0,2,,,0/2,,,7.0
CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY,PLANTATION,FLORIDA,YES,YES,YES,50%,82%,18%,0%,5%,38%,12%,7%,24%,8%,11%,   45,   19,   12,26.7,6/19,2/12,26.6 (16.3-37.0),24.4,3/19,1/12,18.4 (9.7-27.2),26.8,3/18,1/7,20.9 (11.0-30.9),28.2,3/18,1/6,22.0 (11.5-32.4),8.9,1/19,5/12,3.8,3.4,5.5,0.0,0/18,0/6,5.1,1/18,0/6,5,1,0,0/5,0/1,,3.4,3.0,,1,0.0,2,1/1,,2/2,3.0,,2.5
FLORIDA INSTITUTE OF FERTILITY,PLANTATION,FLORIDA,YES,YES,NO,0%,100%,0%,0%,0%,65%,15%,0%,0%,12%,8%,    9,   10,    3,2/9,4/10,1/3,,2/9,3/10,0/3,,2/9,3/8,0/3,,2/9,3/8,0/3,,0/9,2/10,0/3,3.8,4.5,5.6,0/8,2/8,0/3,1/8,0/8,0/3,3,1,0,1/3,0/1,,4.9,4.0,,0,0,0,,,,,,
TAMPA IVF CENTER,TAMPA,FLORIDA,YES,YES,YES,0%,74%,25%,1%,6%,49%,16%,16%,9%,0%,10%,   28,   34,    7,28.6,14.7,0/7,18.4 (9.6-27.2),28.6,14.7,0/7,18.4 (9.6-27.2),32.0,17.2,0/5,20.9 (11.2-30.7),34.8,18.5,0/4,,10.7,14.7,2/7,4.9,4.7,2.0,17.4,0.0,0/4,4.4,3.7,0/4,3,2,1,0/3,0/2,0/1,2.0,1.5,2.0,0,0,2,,,0/2,,,2.0
UNIVERSITY COMMUNITY HOSPITAL ART,TAMPA,FLORIDA,YES,YES,YES,0%,91%,7%,2%,16%,41%,13%,2%,23%,8%,13%,  78,  50,  34,34.6,38.0,14.7,32.2 (35.1 - 39.4),28.2,26.0,2.9,22.9 (16.4 - 29.3),30.1,30.2,4.2,25.5 (18.4 - 32.5),30.6,31.0,4.2,26.0 (18.8 - 33.2),6.4,14.0,29.4,5.0,4.8,4.7,12.3,15.9,0,4.1,2.3,0,7,6,1,0/7,0/6,0/1,2.8,2.8,3.0,1,2,6,0/1,2/2,0/6,4.0,4.0,5.8
REPRODUCTIVE BIOLOGY ASSOCIATES IVF PROGRAM,ATLANTA,GEORGIA,YES,YES,YES,75%,100%,0%,0%,23%,22%,13%,9%,26%,6%,24%,  400,  277,  162,39.0,27.8,13.0,30.3 (27.2-33.3),34.5,21.7,8.0,25.1 (22.2-28.0),39.1,26.9,12.2,29.9 (26.5-33.2),40.6,28.2,13.0,31.2 (27.7-34.6),11.8,19.5,34.0,3.4,3.4,3.3,12.1,8.5,1.0,4.7,0.0,0.0,95,69,36,19.0,14.5,8.3,3.2,2.7,3.1,15,15,39,5/15,4/15,46.2,2.8,3.5,3.1
AUGUSTA REPRODUCTIVE BIOLOGY ASSOCIATES,AUGUSTA,GEORGIA,YES,NO,YES,0%,100%,0%,0%,,29%,4%,1%,30%,35%,1%,   41,   22,    8,31.7,13.6,1/8,21.7 (12.4-31.1),26.8,9.1,1/8,17.9 (9.3-26.5),28.2,10.0,1/8,18.8 (9.8-27.9),35.5,2/13,1/8,24.1 (12.8-35.4),4.9,9.1,0/8,2.7,2.8,2.9,9.7,1/13,0/8,0.0,0/13,0/8,6,4,0,3/6,0/4,,1.7,2.0,,0,0,0,,,,,,
MEDICAL COLLEGE OF GEORGIA IVF PROGRAM,AUGUSTA,GEORGIA,YES,YES,NO,0%,100%,0%,0%,,64%,15%,0%,7%,12%,2%,   40,   20,    6,10.0,10.0,0/6,8.2 (1.8-14.6),7.5,10.0,0/6,7.1 (1.0-13.1),10.7,2/15,0/3,,11.5,2/11,0/2,,30.0,25.0,3/6,3.9,3.6,1.0,3.9,1/11,0/2,0.0,0/11,0/2,0,0,0,,,,,,,0,0,0,,,,,,
PACIFIC IN VITRO FERTILIZATION INSTITUTE,HONOLULU,HAWAII,YES,YES,NO,0%,100%,0%,0%,30%,38%,25%,1%,22%,7%,7%,   77,  111,   70,32.5,27.0,12.9,27.0 (21.2-32.8),29.9,22.5,7.1,23.1 (17.6-28.5),33.8,26.6,10.4,27.0 (20.7-33.3),34.3,26.6,10.6,29.1 (22.6-35.5),11.7,15.3,31.4,5.2,5.4,4.8,17.9,11.7,0.0,3.0,1.1,0.0,23,16,5,17.4,2/16,2/5,4.6,3.9,5.2,0,0,0,,,,,,
ADVANCED INSTITUTE OF FERTILITY,ARLINGTON HEIGHTS,ILLINOIS,YES,YES,YES,0%,88%,12%,0%,38%,34%,15%,2%,24%,18%,7%,  128,   99,   30,30.5,24.2,16.7,25.7 (20.4-31.1),23.4,21.2,10.0,20.2 (15.4-25.1),28.0,25.3,3/19,24.8 (18.9-30.8),28.9,25.6,3/18,25.5 (19.4-31.6),16.4,16.2,36.7,4.1,4.3,4.1,5.8,4.9,1/18,2.9,2.4,0/18,62,36,16,21.0,8.3,3/16,3.3,3.0,3.2,2,8,7,0/2,4/8,5/7,2.5,3.5,3.7
CENTER FOR HUMAN REPRODUCTIVE IVF PROGRAM,CHICAGO,ILLINOIS,YES,YES,YES,6%,98%,1%,1%,43%,35%,18%,2%,22%,22%,1%,  394,  269,  114,16.2,16.4,7.0,14.6 (12.2-17.1),14.2,12.6,5.3,12.0 (9.8-14.3),16.4,15.8,7.3,14.6 (11.8-17.3),17.6,17.0,8.1,15.7 (12.7-18.6),13.5,20.1,28.1,4.5,4.5,3.8,4.7,4.0,0.0,0.6,1.5,0.0,116,52,11,15.5,15.4,1/11,4.0,3.9,4.1,10,8,15,4/10,1/8,3/15,4.3,3.5,4.3
IVF ILLINOIS,CHICAGO,ILLINOIS,YES,YES,YES,0%,100%,0%,0%,40%,25%,25%,0%,30%,5%,15%,  241,  206,  109,28.2,23.8,6.4,22.7 (19.2-26.2),22.8,16.0,4.6,17.1 (14.0-20.2),23.5,17.4,4.9,17.9 (14.7-21.2),28.2,21.4,7.5,21.8 (18.0-25.7),13.3,20.4,29.4,3.0,2.5,2.4,7.2,1.0,0.0,1.3,0.0,0.0,17,13,2,2/17,1/13,0/2,3.5,3.0,2.5,2,2,7,0/2,1/2,1/7,3.0,3.0,3.3
PRENTICE WOMEN'S HOSPITAL,CHICAGO,ILLINOIS,YES,YES,NO,0%,95%,4%,1%,9%,36%,7%,19%,28%,3%,7%,   77,   33,   24,18.2,12.1,8.3,14.2 (8.3-20.2),10.4,9.1,4.2,8.8 (3.9-13.7),12.1,11.5,1/19,10.7 (4.7-16.7),14.6,12.5,1/15,12.4 (5.6-19.2),6.5,15.2,16.7,3.6,3.8,3.8,1.8,8.3,0/15,0.0,0.0,0/15,13,5,2,3/13,2/5,0/2,3.9,3.6,4.0,2,0,0,1/2,,,4.0,,
RUSH-PRESBYTERIAN-ST.LUKE'S MEDICAL CENTER,CHICAGO,ILLINOIS,YES,YES,YES,,55%,21%,24%,,27%,23%,2%,10%,30%,8%,  183,  119,   86,21.3,10.9,12.8,16.0 (12.4-19.7),16.4,6.7,7.0,11.2 (8.1-14.3),20.0,8.2,10.7,14.1 (10.3-17.9),22.6,9.1,12.8,16.0 (11.7-20.2),18.0,17.7,34.9,5.2,4.9,4.7,4.5,2.3,2.1,3.0,0.0,0.0,5,2,1,0/5,0/2,0/1,5.2,4.5,1.0,1,1,1,0/1,0/1,0/1,7.0,4.0,6.0
UNIVERISTY OF CHICAGO IVF PROGRAM,CHICAGO,ILLINOIS,YES,YES,YES,0%,93%,2%,5%,18%,50%,6%,2%,14%,17%,11%,   64,   51,   16,28.1,21.6,1/16,21.8 (15.0-28.7),25.0,17.7,1/16,19.0 (12.5-25.5),30.8,20.0,1/10,23.2 (15.3-31.0),34.0,22.0,1/9,25.6 (17.0-34.1),18.8,9.8,37.5,4.1,4.3,4.2,8.5,2.4,0/9,0.0,0.0,0/9,8,1,3,0/8,0/1,0/3,3.8,1.0,2.0,1,0,1,1/1,,0/1,5.0,,4.0
MIDWEST INFERTILITY CENTER,DOWNERS GROVE,ILLINOIS,YES,YES,NO,0%,100%,0%,0%,0%,8%,49%,3%,28%,12%,0%,   61,   33,   23,34.4,21.2,13.0,25.8 (18.0-33.7),26.2,18.2,8.7,20.2 (12.9-27.4),31.4,25.0,2/11,26.7 (17.2-36.2),40.0,28.6,2/10,32.3 (21.5-43.1),16.4,27.3,52.2,3.9,3.5,3.3,5.3,4.8,1/10,5.0,0.0,0/10,2,1,0,0/2,0/1,,4.5,4.0,,0,2,0,,1/2,,,5.5,
HIGHLAND PARK HOSPITAL FERTILITY CENTER,HIGHLAND PARK,ILLINOIS,YES,YES,NO,0%,97%,3%,0%,42%,15%,12%,15%,51%,4%,3%,   90,   90,   53,46.7,37.8,17.0,38.1 (31.9-44.4),44.4,33.3,11.3,34.5 (28.4-40.6),48.8,37.0,13.6,38.2 (31.7-44.7),50.0,40.0,14.6,40.0 (33.3-46.8),8.9,8.9,17.0,3.9,4.6,4.5,20.0,16.0,0.0,8.8,2.7,0.0,10,10,2,0/10,3/10,0/2,3.6,2.9,1.5,0,4,7,,2/4,2/7,,4.0,4.1
HINSDALE CENTER FOR REPRODUCTION,HINSDALE,ILLINOIS,YES,NO,YES,0%,100%,0%,0%,5%,13%,18%,0%,6%,63%,0%,   43,   23,   11,39.5,34.8,0/11,30.7 (21.0-40.4),30.2,26.1,0/11,23.3 (14.3-32.3),32.5,30.0,0/9,25.8 (15.9-35.6),36.1,6/19,0/8,28.0,7.0,13.0,2/11,4.3,4.4,4.0,22.2,3/19,0/8,0.0,0/19,0/8,4,1,1,2/4,0/1,0/1,3.3,6.0,3.0,0,0,0,,,,,,
OAK BROOK FERTILITY CENTER,OAK BROOK,ILLINOIS,YES,YES,YES,27%,69%,0%,31%,12%,35%,25%,12%,19%,5%,4%,   36,   24,   21,25.0,20.8,4.8,19.9 (11.0-28.8),25.0,16.7,0.0,17.5 (9.1-25.9),26.5,17.4,0/19,18.4 (9.6-27.2),28.1,18.2,0/11,19.5 (10.3-28.7),2.8,4.2,9.5,6.6,4.3,4.4,3.1,0.0,0/11,3.1,0.0,0/11,2,2,2,0/2,0/2,0/2,4.5,2.5,3.5,2,3,10,0/2,0/3,2/10,5.5,3.3,5.1
CENTER FOR FERTILITY AND REPRODUCTIVE MEDICINE/,PARK RIDGE,ILLINOIS,YES,YES,NO,0%,100%,0%,0%,12%,13%,29%,3%,6%,41%,8%,  136,   62,   43,26.5,24.2,11.6,23.0 (17.6-28.4),21.3,16.1,9.3,17.3 (12.4-22.1),22.5,18.2,11.4,19.0 (13.7-24.3),25.4,19.2,12.5,20.9 (15.1-26.6),5.1,11.3,18.6,3.8,3.9,3.4,7.0,0.0,0.0,1.8,1.9,0.0,53,39,14,15.1,28.2,4/14,4.1,3.8,4.0,8,5,13,1/8,2/5,5/13,4.2,3.6,4.2
ROCKFORD HEALTH SYSTEMS,ROCKFORD,ILLINOIS,YES,YES,NO,0%,92%,2%,6%,19%,28%,12%,26%,27%,7%,0%,   57,   39,    5,36.8,15.4,0/5,22.5 (15.4-29.5),29.8,7.7,0/5,16.5 (10.3-22.7),30.9,8.8,0/5,17.4 (10.8-24.0),33.3,10.0,0/5,17.8 (11.1-24.5),3.5,12.8,0/5,3.8,3.7,3.6,5.9,3.3,0/5,0.0,3.3,0/5,22,9,0,18.2,0/9,,3.1,3.8,,0,0,2,,,1/2,,,2.0
"REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES, S.C.",SPRINGFIELD,ILLINOIS,YES,NO,NO,0%,100%,0%,0%,10%,35%,30%,13%,17%,5%,0%,   26,   20,    8,38.5,10.0,0/8,21.3 (11.5-31.1),26.9,0.0,0/8,12.4 (4.5-20.2),30.4,0/17,0/8,14.0 (5.3-22.6),30.4,0/16,0/5,14.0 (5.3-22.6),11.5,15.0,0/8,,,,4.4,0/16,0/5,0.0,0/16,0/5,5,2,0,0/5,0/2,,,,,0,0,0,,,,,,
"ASSOCIATED FERTILITY AND GYNECOLOGY, P.C",FORT WAYNE,INDIANA,YES,NO,NO,0%,100%,0%,0%,0%,43%,24%,0%,4%,29%,0%,   38,   22,    6,29.0,13.6,2/6,24.2 (13.4-35.0),29.0,13.6,1/6,21.2 (11.3-31.2),37.9,3/16,1/3,,40.7,3/12,1/3,,23.7,25.0,3/6,2.4,2.7,3.3,14.8,1/12,0/3,7.4,0/12,0/3,0,0,0,,,,,,,0,0,0,,,,,,
ADVANCED FERTILITY INSTITUTE,INDIANAPOLIS,INDIANA,YES,YES,YES,,98%,2%,0%,19%,33%,16%,1%,28%,19%,3%,  178,   95,   41,26.4,21.1,4.9,20.6 (16.2-25.0),22.5,14.7,2.4,16.1 (12.2-20.0),24.8,17.7,3.3,18.4 (13.9-22.9),26.7,19.4,3.9,19.9 (15.1-24.7),10.1,16.8,26.8,4.6,4.5,3.2,9.3,6.9,0.0,0.7,0.0,0.0,18,11,0,2/18,0/11,,3.8,4.6,,9,5,11,2/9,1/5,3/11,3.9,3.8,4.5
INDIANAPOLIS FERTILITY CENTER IVF PROGRAM,INDIANAPOLIS,INDIANA,YES,YES,NO,0%,38%,45%,17%,17%,13%,30%,2%,13%,42%,0%,  340,  219,   97,35.3,26.0,12.4,27.8 (24.5-31.2),31.8,18.3,4.1,21.9 (18.9-24.9),35.4,22.9,5.8,25.6 (22.1-29.0),36.2,24.5,6.5,26.7 (23.0-30.3),10.3,20.1,28.9,3.6,3.8,3.9,12.4,8.0,1.6,3.4,1.8,0.0,49,31,13,16.3,9.7,0/13,3.5,4.1,3.4,7,9,12,3/7,3/9,6/12,3.6,3.9,4.2
