PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Male,Ovulat,Endo,Uterin,Other,Unkno,MDFirst,MDMiddle,Mdlast,MDSuffix,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,FdEms30,FdEms35,FdEms40,FdEms45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,CdEms30,CdEms35,CdEms40,CdEms45,CurrClinName1,CurrClinName2,DonorEgg,DnrEmbryo,Single,Gest,Cryo,SART,Accred
"BRIAN SU, M.D.",,MONTEREY PARK,CA,100%,0%,0%,0%,34%,0%,33%,25%,20%,8%,3%,8%,3%,Brian,C.,Su,", M.D.",9,4,14,2,4/9,3/4,4/14,0/2,4/9,3/4,2/14,0/2,,,,,4/7,3/4,2/12,0/1,4/7,3/4,2/12,,2/9,0/4,2/14,1/2,3.4,3.5,4.3,,3/4,1/3,1/4,,0/4,1/3,0/4,,3/4,1/3,1/2,,2,0,1,0,0/2,,0/1,,3.0,,4.0,,1,1,1,1,1/1,0/1,1/1,0/1,4.0,3.0,4.0,4.0,0,0,0,0,,,,,,,,,"Brian Su, M.D.",,Yes,Yes,No,Yes,Yes,Yes,Yes
REPRODUCTIVE SPECIALTY MEDICAL CENTER,,NEWPORT BEACH,CA,79%,18%,0%,3%,36%,0%,6%,18%,14%,20%,6%,36%,0%,Beth,A.,Ary,", M.D.",13,7,11,2,7/13,3/7,4/11,0/2,7/13,2/7,3/11,0/2,,,,,7/13,2/7,3/11,0/1,7/12,2/7,3/11,0/1,0/13,0/7,0/11,1/2,5.8,5.6,5.2,3.0,2/7,1/3,1/4,,4/7,0/3,0/4,,6/7,1/2,1/3,,1,0,0,0,0/1,,,,6.0,,,,0,2,3,9,,0/2,2/3,6/9,,4.5,5.7,4.7,0,0,0,1,,,,0/1,,,,3.0,Reproductive Specialty Medical Center,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,,NEWPORT BEACH,CA,99%,<1%,0%,<1%,62%,0%,16%,26%,9%,17%,3%,23%,6%,Robert,E.,Anderson,", M.D.",55,36,32,27,34.5,41.7,21.9,18.5,34.5,27.8,18.8,7.4,(22.0 - 47.1),(13.1 - 42.4),(5.2 - 32.3),(0.0 - 17.3),37.3,30.3,22.2,9.5,38.8,32.3,25.0,2/18,7.3,8.3,15.6,22.2,3.5,3.8,4.0,3.8,6/19,1/15,2/7,1/5,6/19,2/15,0/7,0/5,10/19,2/10,1/6,1/2,21,11,15,8,4.8,1/11,1/15,0/8,3.8,3.6,3.6,4.8,5,1,3,15,2/5,0/1,0/3,6/15,3.6,4.0,2.7,3.7,0,1,0,9,,0/1,,3/9,,1.0,,3.8,Southern California Center For Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTHRIDGE CENTER FOR REPRODUCTIVE MEDICINE,,NORTHRIDGE,CA,100%,0%,0%,0%,63%,0%,17%,30%,24%,15%,0%,0%,14%,Jirair,B.,Konialian,", M.D.",48,15,8,11,14.6,1/15,1/8,2/11,12.5,1/15,0/8,1/11,(3.1 - 21.9),,,,17.1,1/11,0/8,1/8,17.6,1/10,0/7,1/8,27.1,4/15,0/8,3/11,3.7,3.5,3.6,2.5,1/7,0/1,0/1,0/2,0/7,0/1,0/1,0/2,1/6,0/1,,0/1,0,1,0,1,,0/1,,0/1,,3.0,,5.0,2,1,2,6,0/2,1/1,1/2,4/6,4.5,3.0,5.0,4.5,0,0,0,1,,,,0/1,,,,8.0,Northridge Center for Reproductive Medicine,,Yes,No,Yes,Yes,Yes,No,No
"SUSAN P. WILLMAN, M.D.",,ORINDA,CA,99%,1%,0%,0%,39%,0%,12%,15%,3%,10%,1%,35%,24%,Susan,P.,Willman,", M.D.",16,19,15,22,5/16,3/19,6/15,9.1,5/16,3/19,5/15,9.1,,,,(0.0 - 21.1),5/13,3/17,5/13,2/17,5/13,3/17,5/12,2/16,3/16,2/19,2/15,22.7,4.5,5.1,5.1,5.5,1/5,2/3,1/6,1/2,2/5,0/3,1/6,0/2,2/5,1/3,0/5,0/2,4,3,2,2,2/4,0/3,0/2,0/2,4.8,3.7,4.5,4.0,2,4,1,11,1/2,2/4,0/1,5/11,4.5,4.0,4.0,4.3,0,3,0,7,,1/3,,1/7,,4.0,,3.7,"Susan P. Willman, M.D.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NOVA IN VITRO FERTILIZATION,,PALO ALTO,CA,100%,0%,0%,0%,22%,0%,31%,35%,2%,7%,2%,4%,19%,Francis,F.,Polansky,", M.D.",38,30,23,15,31.6,43.3,47.8,4/15,23.7,26.7,34.8,1/15,(10.2 - 37.2),(10.8 - 42.5),(15.3 - 54.2),,25.0,32.0,36.4,1/10,25.7,32.0,40.0,1/9,5.3,16.7,4.3,5/15,4.4,4.6,4.1,4.2,3/12,5/13,3/11,1/4,3/12,0/13,0/11,0/4,4/9,4/8,2/8,1/1,4,0,0,1,0/4,,,1/1,3.0,,,4.0,1,3,4,11,0/1,1/3,1/4,3/11,2.0,4.0,2.8,3.0,0,0,2,6,,,0/2,1/6,,,2.5,3.2,Nova In Vitro Fertilization,,Yes,No,Yes,No,Yes,Yes,Yes
HUNTINGTON REPRODUCTIVE CENTER,,PASADENA,CA,95%,<1%,4%,<1%,63%,<1%,14%,26%,26%,9%,10%,13%,2%,Joel,H.,Batzofin,", M.D.",178,90,115,84,35.4,41.1,30.4,19.0,31.5,33.3,23.5,15.5,(24.6 - 38.3),(23.6 - 43.1),(15.7 - 31.2),(7.7 - 23.2),31.6,33.7,24.5,16.3,33.3,34.9,26.0,16.7,0.6,1.1,4.3,4.8,3.6,4.0,3.6,3.6,33.3,37.8,11.4,2/16,12.7,8.1,8.6,1/16,46.4,40.0,14.8,1/13,20,11,5,19,30.0,5/11,0/5,5/19,3.2,4.0,3.2,2.6,5,7,14,82,1/5,3/7,4/14,47.6,2.8,4.0,3.6,3.4,2,3,3,20,0/2,1/3,1/3,15.0,1.5,4.3,2.7,3.2,Huntington Reproductive Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTH STATE WOMEN'S CENTER,,REDDING,CA,95%,5%,0%,0%,26%,0%,18%,32%,9%,5%,0%,27%,9%,Robert,A.,Greene,", M.D.",10,6,2,1,2/10,0/6,1/2,0/1,2/10,0/6,1/2,0/1,,,,,2/10,0/5,1/2,,2/9,0/3,1/2,,0/10,1/6,0/2,1/1,2.8,4.3,4.0,,0/2,,1/1,,0/2,,0/1,,0/2,,1/1,,2,1,0,0,0/2,1/1,,,3.0,6.0,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Specialty Care for Women,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE PARTNERS-REDONDO BEACH,,REDONDO BEACH,CA,94%,6%,0%,0%,49%,0%,19%,31%,6%,14%,6%,13%,11%,Bill,,Yee,", M.D.",62,35,50,49,43.5,54.3,40.0,28.6,38.7,48.6,30.0,18.4,(26.6 - 50.8),(32.0 - 65.1),(17.3 - 42.7),(7.5 - 29.2),42.9,53.1,34.9,23.1,43.6,53.1,34.9,24.3,9.7,8.6,14.0,20.4,3.3,3.9,4.4,5.3,18.5,3/19,30.0,2/14,14.8,2/19,10.0,1/14,29.2,5/17,5/15,1/9,9,5,14,4,2/9,2/5,4/14,0/4,3.7,3.6,4.1,6.0,3,0,3,16,1/3,,2/3,9/16,2.3,,2.3,3.5,1,0,3,10,1/1,,1/3,5/10,4.0,,4.3,3.2,Reproductive Partners-Redondo Beach,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,,ROSEVILLE,CA,99%,0%,0%,<1%,42%,0%,31%,18%,10%,9%,1%,28%,3%,Carlos,E.,Soto-Albors,", M.D.",117,68,65,31,35.0,44.1,15.4,9.7,29.1,33.8,9.2,9.7,(20.8 - 37.3),(22.6 - 45.1),(2.2 - 16.3),(0.0 - 20.1),30.1,37.1,10.2,10.7,30.6,37.7,11.1,11.1,3.4,8.8,9.2,9.7,3.9,4.0,4.5,3.9,36.6,30.0,2/10,2/3,7.3,10.0,0/10,0/3,41.2,39.1,1/6,1/3,23,10,10,3,39.1,2/10,2/10,1/3,4.5,4.9,2.9,3.7,9,2,14,38,4/9,1/2,10/14,39.5,3.9,4.0,3.6,3.4,1,1,1,16,0/1,0/1,0/1,5/16,6.0,5.0,4.0,5.0,Northern California Fertility Medical Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"UNIVERSITY OF CALIFORNIA, DAVIS",ASSISTED REPRODUCTIVE TECHNOLOGY PROGRAM,SACRAMENTO,CA,97%,3%,0%,0%,10%,0%,52%,7%,7%,3%,5%,4%,22%,Stephen,P.,Boyers,", M.D.",20,24,25,4,35.0,20.8,40.0,1/4,15.0,8.3,32.0,1/4,(0.0 - 30.6),(0.0 - 19.4),(13.7 - 50.3),,3/17,9.5,38.1,1/1,3/17,10.0,38.1,1/1,15.0,12.5,16.0,3/4,3.7,4.4,4.1,5.0,0/7,1/5,2/10,1/1,1/7,0/5,1/10,0/1,0/3,1/2,3/8,1/1,6,4,4,3,0/6,0/4,2/4,0/3,4.8,3.5,4.8,4.0,0,0,1,4,,,1/1,2/4,,,4.0,3.3,0,0,0,1,,,,0/1,,,,5.0,"University of California, Davis Assisted Reproductive Technology Program",,Yes,No,Yes,No,Yes,Yes,Yes
IGO MEDICAL GROUP OF SAN DIEGO,,SAN DIEGO,CA,98%,0%,0%,2%,35%,0%,38%,18%,9%,22%,3%,7%,3%,Benito,,Villanueva,", M.D.",25,9,12,8,20.0,1/9,0/12,1/8,12.0,1/9,0/12,0/8,(0.0 - 24.7),,,,13.6,1/5,0/8,0/7,14.3,1/5,0/6,0/5,12.0,4/9,4/12,1/8,4.5,4.4,2.7,3.2,3/5,0/1,,0/1,0/5,0/1,,0/1,0/3,0/1,,,4,0,0,0,0/4,,,,4.8,,,,1,0,1,1,0/1,,0/1,0/1,4.0,,5.0,5.0,0,1,0,1,,0/1,,1/1,,6.0,,5.0,IGO Medical Group of San Diego,,Yes,No,Yes,Yes,Yes,Yes,Pending
INFERTILITY CLINIC,"NAVAL MEDICAL CENTER, SAN DIEGO",SAN DIEGO,CA,100%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Thomas,J.,Kim,", M.D.",2,0,0,0,1/2,,,,1/2,,,,,,,,1/2,,,,1/2,,,,0/2,,,,2.5,,,,1/1,,,,0/1,,,,1/1,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Infertility Clinic, Naval Medical Center, San Diego",,No,No,Yes,No,Yes,Yes,Yes
"MINH N. HO, M.D., FACOG",,SAN DIEGO,CA,100%,0%,0%,0%,31%,0%,35%,29%,6%,6%,0%,0%,24%,Minh,N.,Ho,", M.D.",6,4,0,3,2/6,2/4,,0/3,2/6,2/4,,0/3,,,,,2/6,2/4,,0/3,2/6,2/4,,0/3,0/6,0/4,,0/3,3.7,4.5,,3.7,0/2,0/2,,,1/2,0/2,,,1/2,0/2,,,1,1,0,0,1/1,0/1,,,3.0,4.0,,,0,0,0,1,,,,0/1,,,,4.0,0,0,0,0,,,,,,,,,"Minh N. Ho, M.D., FACOG",,Yes,No,Yes,Yes,Yes,No,Yes
REPRODUCTIVE ENDOCRINE ASSOCIATES,,SAN DIEGO,CA,100%,0%,0%,0%,66%,0%,37%,4%,14%,19%,14%,12%,0%,Steven,A.,Brody,", M.D.",17,10,8,3,10/17,2/10,2/8,1/3,8/17,1/10,2/8,0/3,,,,,8/17,1/10,2/8,0/3,8/17,1/10,2/8,0/3,0/17,0/10,0/8,0/3,4.6,4.2,5.3,4.3,1/10,0/2,0/2,0/1,3/10,0/2,1/2,0/1,3/8,0/1,1/2,,1,1,1,2,0/1,0/1,0/1,0/2,3.0,5.0,4.0,4.0,1,0,0,6,1/1,,,2/6,4.0,,,5.0,0,0,0,0,,,,,,,,,Reproductive Endocrine Associates,,Yes,No,Yes,Yes,Yes,Yes,Yes
SHARP FERTILITY CENTER,DR. WILLIAM HUMMEL & DR. MICHAEL KETTEL PHYSICIANS GROUP,SAN DIEGO,CA,96%,<1%,0%,3%,77%,0%,20%,15%,9%,9%,2%,35%,10%,Arlene,,Morales,", M.D.",103,50,54,35,32.0,36.0,22.2,2.9,27.2,28.0,13.0,0.0,(18.6 - 35.8),(15.6 - 40.4),(4.0 - 21.9),,30.1,31.1,14.9,0.0,31.1,31.1,15.6,0.0,9.7,10.0,13.0,14.3,3.2,3.3,3.5,3.5,21.2,5/18,7/12,0/1,15.2,0/18,0/12,0/1,32.1,3/14,2/7,,15,17,9,6,4/15,6/17,1/9,0/6,2.7,3.1,3.6,3.0,0,4,8,21,,1/4,5/8,57.1,,3.0,3.3,3.0,0,0,1,4,,,1/1,0/4,,,4.0,2.8,"Sharp Fertility Center, Dr. William Hummel & Dr. Michael Kettel Physicians Group",,Yes,No,Yes,Yes,Yes,Yes,Yes
SMOTRICH CENTER FOR REPRODUCTIVE ENHANCEMENT,,SAN DIEGO,CA,100%,0%,0%,0%,40%,0%,17%,14%,10%,6%,11%,42%,0%,David,B.,Smotrich,", M.D.",12,7,3,8,3/12,3/7,0/3,0/8,1/12,0/7,0/3,0/8,,,,,1/12,0/7,0/3,0/8,1/12,0/7,0/3,0/7,0/12,0/7,0/3,0/8,4.0,4.3,6.0,3.4,0/3,0/3,,,1/3,0/3,,,1/1,,,,3,0,1,2,0/3,,0/1,0/2,4.3,,4.0,4.5,1,0,1,3,0/1,,0/1,0/3,2.0,,5.0,4.3,0,0,1,3,,,0/1,0/3,,,4.0,2.3,Smotrich Center for Reproductive Enhancement,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ASTARTE FERTILITY CENTER,,SAN FRANCISCO,CA,90%,3%,<1%,7%,62%,0%,17%,25%,7%,25%,3%,23%,0%,Alex,J.,Steinleitner,", M.D.",30,17,41,28,16.7,9/17,22.0,17.9,16.7,6/17,14.6,10.7,(3.3 - 30.0),,(3.8 - 25.5),(0.0 - 22.2),16.7,6/17,15.0,11.1,19.2,6/15,15.4,12.0,0.0,0/17,2.4,3.6,3.5,3.2,3.9,5.2,2/5,2/9,0/9,1/5,0/5,0/9,0/9,0/5,2/5,2/6,0/6,0/3,2,2,1,4,1/2,0/2,1/1,0/4,3.0,2.5,8.0,1.5,2,3,6,25,0/2,3/3,3/6,20.0,3.5,3.3,3.5,3.5,1,0,0,0,1/1,,,,4.0,,,,Astarte Fertility Center,,Yes,No,Yes,Yes,Yes,Yes,Pending
PACIFIC FERTILITY CENTER-SAN FRANCISCO,,SAN FRANCISCO,CA,99%,<1%,0%,0%,64%,<1%,23%,23%,7%,7%,2%,31%,7%,Eldon,D.,Schriock,", M.D.",285,152,172,86,36.1,32.2,29.1,18.6,24.6,23.7,16.9,11.6,(19.6 - 29.6),(16.9 - 30.4),(11.3 - 22.5),(4.9 - 18.4),25.2,24.3,17.1,12.3,26.5,25.5,18.1,13.7,2.5,2.6,1.2,5.8,3.9,4.4,4.3,4.9,32.0,30.6,32.0,5/16,14.6,12.2,10.0,0/16,45.7,25.0,48.3,3/10,59,20,23,7,16.9,5.0,8.7,0/7,4.4,4.1,4.6,4.7,13,6,22,74,2/13,3/6,31.8,35.1,3.9,3.2,3.7,3.8,4,1,3,9,1/4,0/1,1/3,1/9,4.5,6.0,4.0,4.3,Pacific Fertility Center-San Francisco,,Yes,No,Yes,Yes,Yes,Yes,Yes
SAN FRANCISCO CENTER FOR REPRODUCTIVE MEDICINE,,SAN FRANCISCO,CA,99%,1%,0%,<1%,39%,0%,13%,35%,16%,5%,3%,6%,22%,Philip,E.,Chenette,", M.D.",65,52,74,77,27.7,44.2,35.1,14.3,24.6,40.4,28.4,9.1,(14.1 - 35.1),(27.0 - 53.7),(18.1 - 38.7),(2.7 - 15.5),28.1,45.7,35.0,12.5,28.1,45.7,35.0,12.5,12.3,11.5,18.9,27.3,3.8,4.2,4.6,5.3,4/18,30.4,7.7,1/11,4/18,13.0,11.5,0/11,5/16,38.1,23.8,1/7,22,12,9,12,22.7,5/12,4/9,2/12,3.3,2.9,3.1,3.6,1,1,18,40,1/1,0/1,5/18,30.0,2.0,3.0,3.3,3.3,0,0,9,25,,,4/9,16.0,,,3.3,3.0,San Francisco Center for Reproductive Medicine,,Yes,No,Yes,Yes,Yes,Yes,Yes
"SIMON HENDERSON, M.D.",,SAN FRANCISCO,CA,100%,0%,0%,0%,37%,0%,11%,7%,39%,10%,11%,22%,0%,Simon,R.,Henderson,", M.D., Ph.D.",12,13,10,19,5/12,4/13,0/10,3/19,4/12,4/13,0/10,2/19,,,,,4/11,4/9,0/7,2/13,4/11,4/9,0/7,2/13,1/12,4/13,3/10,6/19,4.4,6.0,6.4,6.8,3/5,0/4,,1/3,0/5,1/4,,0/3,2/4,1/4,,0/2,1,1,1,1,0/1,0/1,0/1,0/1,5.0,3.0,3.0,3.0,5,0,0,3,2/5,,,1/3,6.2,,,3.7,0,0,0,2,,,,0/2,,,,4.0,"Simon Henderson, M.D.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",IN VITRO FERTILIZATION PROGRAM,SAN FRANCISCO,CA,100%,0%,0%,0%,57%,0%,19%,34%,6%,6%,<1%,27%,7%,Robert,N.,Taylor,", M.D., Ph.D.",94,83,80,45,30.9,30.1,30.0,15.6,29.8,24.1,22.5,13.3,(20.5 - 39.0),(14.9 - 33.3),(13.3 - 31.7),(3.4 - 23.3),35.0,28.2,24.0,18.2,40.6,30.8,24.7,21.4,14.9,14.5,6.3,26.7,2.4,3.0,3.9,4.6,34.5,20.0,29.2,3/7,0.0,8.0,8.3,0/7,21.4,20.0,7/18,1/6,65,46,43,9,33.8,19.6,16.3,2/9,2.9,3.1,3.5,3.7,0,6,10,25,,2/6,8/10,64.0,,2.0,2.3,2.2,5,7,4,30,1/5,3/7,0/4,23.3,2.6,2.6,3.5,2.7,"University of California, San Francisco In Vitro Fertilization Program",,Yes,No,Yes,Yes,Yes,Yes,Yes
"CARMELO S. SGARLATA, M.D.",,SAN JOSE,CA,80%,17%,0%,3%,20%,0%,34%,15%,28%,11%,6%,0%,6%,Carmelo,S.,Sgarlata,", M.D.",15,9,11,5,4/15,2/9,1/11,0/5,4/15,1/9,0/11,0/5,,,,,4/14,1/9,0/7,0/5,4/14,1/9,0/7,0/5,1/15,0/9,4/11,0/5,4.1,3.9,4.1,5.0,1/4,0/2,0/1,,1/4,0/2,0/1,,2/4,0/1,,,4,3,0,0,0/4,0/3,,,2.8,1.7,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Carmelo S. Sgarlata, M.D.",,No,No,No,No,Yes,No,Yes
FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA,,SAN JOSE,CA,92%,7%,0%,1%,38%,0%,19%,38%,9%,15%,3%,11%,5%,G. David,,Adamson,", M.D.",98,72,70,36,35.7,34.7,27.1,8.3,35.7,29.2,21.4,8.3,(26.2 - 45.2),(18.7 - 39.7),(11.8 - 31.0),(0.0 - 17.4),38.9,33.3,24.2,9.7,39.3,36.2,24.6,10.3,8.2,12.5,11.4,13.9,3.9,4.3,4.6,3.7,37.1,28.0,5/19,0/3,14.3,12.0,1/19,1/3,48.6,42.9,4/15,1/3,5,4,1,2,0/5,1/4,0/1,0/2,2.2,3.3,1.0,2.5,0,1,4,7,,1/1,1/4,1/7,,5.0,5.0,3.6,0,0,1,1,,,0/1,0/1,,,2.0,3.0,Fertility Physicians of Northern California,,Yes,No,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCE CENTER OF THE BAY AREA,,SAN RAMON,CA,91%,7%,0%,2%,34%,0%,17%,24%,9%,14%,<1%,33%,3%,Louis,N.,Weckstein,", M.D.",102,70,68,30,33.3,37.1,30.9,13.3,30.4,31.4,19.1,13.3,(21.5 - 39.3),(20.6 - 42.3),(9.8 - 28.5),(1.2 - 25.5),34.1,40.7,25.5,20.0,36.0,40.7,26.5,4/19,10.8,22.9,25.0,33.3,2.9,3.4,4.6,6.0,52.9,26.9,4.8,0/4,8.8,15.4,4.8,0/4,58.1,40.9,2/13,0/4,19,20,7,5,5/19,5.0,1/7,1/5,3.2,3.2,4.0,3.8,5,15,10,54,1/5,6/15,5/10,38.9,3.0,3.8,3.9,3.2,4,5,7,22,0/4,0/5,0/7,13.6,2.5,1.8,3.9,3.7,Reproductive Science Center of the Bay Area,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR ASSISTED REPRODUCTIVE MEDICINE,,SANTA MONICA,CA,83%,13%,<1%,4%,51%,<1%,15%,32%,12%,7%,4%,5%,25%,Richard,P.,Marrs,", M.D.",90,96,90,129,35.6,35.4,28.9,15.5,28.9,28.1,24.4,8.5,(19.5 - 38.3),(19.1 - 37.1),(15.6 - 33.3),(3.7 - 13.3),30.6,30.7,26.5,10.4,30.6,31.4,27.5,11.0,5.6,8.3,7.8,17.8,3.7,3.9,4.1,4.7,25.0,20.6,11.5,15.0,21.9,2.9,7.7,5.0,42.3,29.6,18.2,1/11,29,21,14,14,37.9,14.3,2/14,3/14,3.4,3.4,3.6,3.1,0,3,4,52,,1/3,2/4,28.8,,4.0,4.0,3.9,2,0,6,38,1/2,,3/6,15.8,3.0,,3.7,3.1,Center for Assisted Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
PARKER-ROSENMAN-RODI GYNECOLOGY & INFERTILITY MEDICAL GROUP,,SANTA MONICA,CA,100%,0%,0%,0%,19%,0%,24%,12%,62%,2%,0%,0%,0%,Ingrid,A.,Rodi,", M.D.",8,3,12,9,4/8,1/3,2/12,6/9,3/8,1/3,1/12,2/9,,,,,3/8,1/3,1/12,2/9,3/6,1/3,1/10,2/8,0/8,0/3,0/12,0/9,3.5,4.7,5.2,6.3,2/4,1/1,1/2,1/6,1/4,0/1,0/2,0/6,3/3,1/1,1/1,1/2,9,0,4,2,1/9,,1/4,0/2,3.6,,2.5,3.5,0,0,0,0,,,,,,,,,0,0,0,2,,,,1/2,,,,3.5,Parker-Rosenman-Rodi Gynecology & Infertility Medical Group,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"NORTH BAY FERTILITY CENTER, INC.",,SANTA ROSA,CA,100%,0%,0%,0%,35%,0%,24%,21%,37%,4%,2%,5%,7%,Steven,T.,Dodge,", M.D.",30,18,18,12,33.3,7/18,4/18,2/12,26.7,7/18,3/18,1/12,(10.8 - 42.5),,,,26.7,7/16,3/16,1/10,27.6,7/15,3/15,1/10,0.0,2/18,2/18,2/12,2.7,4.3,5.4,5.5,3/10,4/7,2/4,1/2,0/10,0/7,0/4,0/2,2/8,4/7,1/3,1/1,14,5,4,3,4/14,1/5,1/4,2/3,3.9,4.0,5.5,4.3,2,5,3,17,1/2,1/5,2/3,6/17,4.0,2.6,3.3,2.8,0,0,0,4,,,,3/4,,,,3.8,"North Bay Fertility Center, Inc.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
VALLEY CENTER FOR REPRODUCTIVE HEALTH,,SHERMAN OAKS,CA,94%,0%,0%,6%,41%,0%,15%,45%,15%,15%,0%,0%,10%,Tina,B.,Koopersmith,", M.D.",7,5,3,2,3/7,1/5,1/3,0/2,2/7,0/5,1/3,0/2,,,,,2/6,0/5,1/3,0/2,2/5,0/5,1/3,0/2,1/7,0/5,0/3,0/2,3.0,4.0,4.3,5.5,2/3,0/1,1/1,,0/3,0/1,0/1,,2/2,,0/1,,0,0,0,0,,,,,,,,,0,0,1,1,,,1/1,1/1,,,2.0,2.0,0,0,0,0,,,,,,,,,Valley Center for Reproductive Health,,Yes,No,Yes,Yes,Yes,Yes,Yes
STANFORD UNIVERSITY IVF/ART PROGRAM,,STANFORD,CA,98%,<1%,0%,2%,40%,<1%,22%,23%,2%,12%,3%,14%,24%,Amin,,Milki,", M.D.",123,96,146,98,30.1,31.3,24.7,15.3,25.2,27.1,19.9,8.2,(17.5 - 32.9),(18.2 - 36.0),(13.4 - 26.3),(2.7 - 13.6),27.0,30.2,21.8,8.8,27.7,31.0,22.5,9.4,6.5,10.4,8.9,7.1,3.3,3.5,3.3,4.0,32.4,23.3,25.0,1/15,8.1,6.7,5.6,0/15,38.7,26.9,31.0,1/8,7,6,3,5,1/7,0/6,0/3,0/5,3.1,2.8,3.7,2.8,2,0,3,7,0/2,,2/3,1/7,5.0,,4.7,3.1,0,0,0,2,,,,0/2,,,,3.5,Stanford University IVF/ART Program,,Yes,No,Yes,No,Yes,Yes,Yes
CENTER FOR FERTILITY AND GYNECOLOGY,VERMESH / BEN-OZER CENTER FOR FERTILITY,TARZANA,CA,93%,1%,<1%,5%,49%,0%,13%,26%,18%,10%,6%,2%,25%,Michael,,Vermesh,", M.D.",95,58,64,52,52.6,53.4,34.4,28.8,50.5,46.6,25.0,17.3,(40.5 - 60.6),(33.7 - 59.4),(14.4 - 35.6),(7.0 - 27.6),51.1,48.2,25.4,17.6,54.5,50.0,27.1,18.8,1.1,3.4,1.6,1.9,3.9,4.1,3.9,4.0,16.0,38.7,27.3,1/15,36.0,22.6,9.1,2/15,50.0,55.6,4/16,2/9,4,1,1,2,1/4,0/1,0/1,0/2,3.8,4.0,3.0,4.0,0,2,10,29,,0/2,6/10,65.5,,4.5,3.5,4.1,0,1,0,0,,0/1,,,,4.0,,,Center for Fertility and Gynecology Vermesh/Ben-Ozer Center for Fertility,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
INFERTILITY AND GYNECOLOGY INSTITUTE,,TARZANA,CA,90%,2%,0%,8%,26%,0%,26%,12%,6%,22%,1%,15%,18%,Paul,,Greenberg,", M.D.",20,14,11,5,40.0,9/14,3/11,0/5,35.0,8/14,3/11,0/5,(14.1 - 55.9),,,,7/19,8/14,3/11,0/5,7/19,8/14,3/11,0/4,5.0,0/14,0/11,0/5,3.4,4.2,3.8,4.3,1/8,3/9,2/3,,3/8,2/9,0/3,,1/7,4/8,2/3,,2,0,0,0,0/2,,,,2.0,,,,2,0,0,8,2/2,,,4/8,4.5,,,3.4,0,0,0,1,,,,0/1,,,,3.0,Infertility and Gynecology Institute,,Yes,No,Yes,Yes,Yes,Yes,Yes
