PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,,GULF BREEZE,FLORIDA,100%,0%,0%,0%,85%,0%,0%,5%,2%,9%,5%,0%,9%,0%,2%,5%,63%,"Robert C. Pyle, M.D.",15,7,13,5,0.333333333,0.571428571,0.384615385,0,0.266666667,0.428571429,0.230769231,0,=,=,=,=,0.266666667,0.428571429,0.272727273,0,0.285714286,0.428571429,0.272727273,0,0.285714286,0.428571429,0,0,0,0,0.153846154,0.2,3.4,4.4,3.6,2,0,0.5,0.6,=,0,0,0,=,0,0,1,=,3,1,0,1,0,0,=,0,2.7,3,=,2,4,2,0,0.5,3.8,4,Fertility Institute of Northwest Florida,Yes,Yes,No,Yes,Yes,Yes,Yes
ASSISTED FERTILITY PROGRAM OF NORTH FLORIDA,,JACKSONVILLE,FLORIDA,94%,2%,2%,2%,17%,0%,0%,9%,13%,36%,2%,6%,10%,2%,2%,14%,6%,"Shaykh M. Marwan, M.D.",25,8,10,2,28,0,0.1,0,24,0,0.1,0,-33.4,=,=,=,0.4,0,0.2,=,0.428571429,0,0.2,=,0.285714286,0,0,=,40,0.5,0.5,1,3,3,4,=,0.285714286,=,1,=,0,=,0,=,0.333333333,=,1,=,3,1,0,0,0,0,=,=,3,8,=,=,8,1,0.125,0,4.3,4,Assisted Fertility Program of North Florida,Yes,Yes,Yes,Yes,Yes,Yes,Pending
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,60%,0%,<1%,12%,5%,5%,6%,<1%,22%,5%,3%,11%,30%,"Kevin L. Winslow, M.D.",303,119,79,34,43.2,48.7,29.1,14.7,38.3,37,25.3,5.9,-11,-17.3,-19.2,-13.8,43.1,40.4,30.8,7.1,47.3,42.3,31.7,7.1,29,34.6,20.6,7.1,11.2,8.4,17.7,17.6,2.5,2.8,3.3,3.3,42,15.5,43.5,0.2,3.8,3.4,4.3,0,38.8,18.2,35,0,117,43,23,15,29.9,32.6,34.8,0.133333333,2.5,2.6,2.3,2.5,62,11,56.5,0.545454545,2.5,2.6,Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTH FLORIDA CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,9%,0%,0%,17%,11%,19%,3%,0%,4%,6%,4%,26%,10%,"Michael D. Fox, M.D.",26,16,2,1,38.5,0.4375,0,0,30.8,0.375,0,0,-35.5,=,=,=,30.8,0.375,0,=,32,0.4,0,=,24,0.333333333,0,=,0,0,0.5,1,3,3.4,3,=,0.1,0,=,=,0.1,0.142857143,=,=,0.25,0.166666667,=,=,6,1,0,0,0,0,=,=,3,3,=,=,14,2,0.5,0,2.5,2,Jacksonville Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE & GENETICS,,JUPITER,FLORIDA,100%,0%,0%,0%,51%,0%,0%,17%,2%,4%,4%,2%,30%,0%,15%,5%,21%,"Gene F. Manko, M.D.",20,9,8,2,50,0.333333333,0.125,0,40,0.333333333,0,0,-43,=,=,=,0.470588235,0.5,0,0,0.470588235,0.5,0,0,0.294117647,0.333333333,0,0,15,0.333333333,0.125,0.5,1.9,2,2.4,4,0.3,0.333333333,1,=,0,0,0,=,0.375,0.333333333,=,=,3,2,2,0,0.666666667,0.5,0,=,2,1.5,1.5,=,1,1,0,0,2,1,"Gene F. Manko, M.D., Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes
IVF FLORIDA,,MARGATE,FLORIDA,>99%,0%,<1%,0%,64%,0%,2%,15%,3%,9%,13%,3%,21%,15%,3%,9%,9%,"David I. Hoffman, M.D.",212,120,80,25,40.6,39.2,35,20,34.4,32.5,25,12,-12.8,-16.8,-19,-24.7,39,37.9,29.9,0.1875,41.7,38.6,31.3,0.1875,23.4,27.7,23.4,0.125,11.8,14.2,16.3,36,2.3,2.8,3.3,3.8,33.7,23.4,21.4,0.2,5.8,2.1,0,0,43.8,28.2,25,0.333333333,50,12,6,3,36,0.25,0.333333333,0.666666667,2.7,3.2,2.2,4,56,11,33.9,0.454545455,2.3,2.6,IVF Florida,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY AND REPRODUCTIVE MEDICINE CENTER FOR WOMEN,,MELBOURNE,FLORIDA,100%,0%,0%,0%,60%,0%,0%,7%,5%,5%,7%,1%,5%,0%,5%,37%,28%,"Diran Chamoun, M.D.",32,9,19,1,50,0.222222222,0.368421053,0,46.9,0.111111111,0.263157895,0,-34.6,=,=,=,51.7,0.125,0.3125,0,53.6,0.142857143,0.3125,0,25,0.142857143,0.25,0,9.4,0.111111111,0.157894737,0,2.5,2.4,3,2,0.4375,0,0,=,0.125,0,0.142857143,=,0.533333333,0,0.2,=,1,2,0,0,1,0.5,=,=,3,2,=,=,11,3,0.454545455,0.333333333,2.5,2,Fertility and Reproductive Medicine Center for Women,Yes,No,Yes,Yes,Yes,Yes,Yes
"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,100%,0%,0%,0%,73%,0%,<1%,8%,4%,7%,2%,<1%,21%,<1%,4%,15%,38%,"Michael H. Jacobs, M.D.",157,78,52,24,49.7,41,32.7,25,40.8,38.5,19.2,16.7,-15.4,-21.6,-21.4,-29.8,46.4,48.4,23.3,0.210526316,46.7,50.8,27,0.266666667,30.7,30.5,24.3,0.2,12.1,20.5,17.3,20.8,2.4,2.8,2.9,3.1,30.8,40.6,0.117647059,0.166666667,5.1,3.1,0,0,34.4,40,0.1,0.25,19,11,9,3,0.315789474,0.454545455,0.333333333,0.333333333,2.4,2.7,2.9,4.3,22,5,45.5,0.4,2.2,2.2,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
PALMETTO FERTILITY CENTER OF SOUTH FLORIDA,,MIAMI,FLORIDA,99%,0%,0%,1%,63%,0%,0%,16%,10%,10%,3%,0%,14%,3%,15%,12%,17%,"Michael D. Graubert, M.D.",53,23,15,2,41.5,43.5,0.2,0.5,34,39.1,0.2,0,-25.5,-39.9,=,=,36.7,39.1,0.214285714,0,39.1,42.9,0.230769231,0,28.3,23.8,0.153846154,0,7.5,0,0.066666667,0,2.5,3,2.7,2,22.7,0.4,0.333333333,0,13.6,0,0,0,0.277777778,0.444444444,0.333333333,=,10,2,2,0,0.4,0.5,0,=,2.5,2.5,3,=,6,2,0.666666667,0.5,2,2.5,Palmetto Fertility Center of South Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,MIAMI,FLORIDA,100%,0%,0%,0%,50%,0%,<1%,14%,2%,7%,7%,<1%,15%,7%,5%,15%,28%,"Maria Bustillo, M.D.",177,106,91,30,49.7,38.7,23.1,10,42.4,33,18.7,6.7,-14.6,-17.9,-16,-15.6,49.7,41.2,25.8,0.125,53.6,46.7,28.3,0.142857143,25,34.7,25,0.142857143,14.7,19.8,27.5,46.7,2.1,2,2.4,2.6,44.3,26.8,9.5,0,4.5,2.4,4.8,0,53.3,25.7,0.117647059,0,19,7,3,0,0.157894737,0.285714286,0,=,1.7,1.7,1.7,=,56,14,60.7,0.285714286,2.1,2.4,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"CENTER FOR REPRODUCTIVE MEDICINE, P.A.",,ORLANDO,FLORIDA,100%,0%,0%,0%,44%,<1%,<1%,14%,7%,1%,3%,<1%,9%,<1%,4%,28%,33%,"Randall A. Loy, M.D.",135,74,68,23,38.5,29.7,22.1,4.3,37,25.7,19.1,0,-16.3,-19.9,-18.7,-100,43.5,30.6,27.1,0,48.1,33.3,29.5,0,31.7,24.6,20.5,0,14.8,16.2,29.4,34.8,2.4,2.4,2.4,3.3,36.5,27.3,0.333333333,0,5.8,0,0,0,34,0.263157895,0.307692308,=,11,4,6,1,0,0.5,0.333333333,0,2.1,2,2.5,4,12,3,0.5,0.333333333,2.3,3,"Center for Reproductive Medicine, P.A.",Yes,Yes,No,No,Yes,Yes,Yes
REPRODUCTIVE MEDICINE AND FERTILITY CENTER,,ORLANDO,FLORIDA,100%,0%,0%,0%,95%,0%,1%,17%,15%,5%,11%,<1%,14%,0%,14%,13%,10%,"Mark L. Jutras, M.D.",48,17,23,6,41.7,0.411764706,34.8,0,37.5,0.352941176,26.1,0,-27.4,=,-35.9,=,37.5,0.461538462,27.3,0,38.3,0.461538462,27.3,0,21.3,0.384615385,27.3,0,0,0.235294118,4.3,0,2,2.1,2.2,2.2,35,0.142857143,0.125,=,5,0,0,=,0.444444444,0.166666667,0,=,3,5,1,0,0.333333333,0.6,0,=,1.7,2,1,=,5,3,0.8,0,2,1,Reproductive Medicine and Fertility Center,Yes,No,No,Yes,Yes,Yes,Yes
"NEW LEADERS IN INFERTILITY & ENDOCRINOLOGY, L.L.C.",,PENSACOLA,FLORIDA,100%,0%,0%,0%,75%,0%,0%,26%,0%,2%,9%,0%,35%,2%,3%,18%,5%,"Barry A. Ripps, M.D.",19,6,18,3,0.473684211,0.5,0.111111111,0,0.368421053,0.333333333,0,0,=,=,=,=,0.411764706,0.333333333,0,0,0.4375,0.333333333,0,0,0.125,0.333333333,0,0,0.105263158,0,0.388888889,0,3.1,4.2,4,5.7,0.333333333,0,0,=,0.222222222,0,0,=,0.714285714,0,=,=,2,2,1,0,0,0,0,=,3,3,2,=,0,3,=,0,=,3.3,"New Leaders in Infertility & Endocrinology, L.L.C.",Yes,Yes,No,Yes,Yes,Yes,Pending
FERTILITY CENTER OF SARASOTA ,"JULIO E. PABON, M.D., P.A.",SARASOTA,FLORIDA,100%,0%,0%,0%,51%,0%,5%,11%,8%,15%,6%,0%,12%,12%,1%,17%,18%,"Julio E. Pabon, M.D.",40,12,21,11,27.5,0.083333333,33.3,0.090909091,22.5,0.083333333,23.8,0,-25.8,=,-36.4,=,26.5,0.083333333,0.277777778,0,27.3,0.090909091,0.277777778,0,21.2,0.090909091,0.277777778,0,15,0,14.3,0.090909091,2.6,2.9,3.3,3,0.181818182,0,0,0,0,0,0,0,0.222222222,0,0,=,13,7,4,2,0.230769231,0.285714286,0,0,2.8,2.7,2.3,2,22,11,50,0.272727273,2,3.6,"Fertility Center and Applied Genetics of Florida, Inc., Julio E. Pabon, M.D., P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM AT UNIVERSITY COMMUNITY,"HOSPITAL, DRS. VERKAUF, BERNHISEL, TARANTINO, GOODMAN & YEKO",TAMPA,FLORIDA,100%,0%,0%,0%,35%,0%,<1%,17%,7%,8%,10%,<1%,18%,2%,15%,9%,14%,"Marc Bernhisel, M.D.",216,92,87,40,46.3,42.4,35.6,20,40.7,35.9,27.6,12.5,-13.1,-19.6,-18.8,-20.4,44.2,40.7,29.6,16.1,46.6,44,30.4,18.5,31.2,33.3,24.1,18.5,7.9,12,6.9,22.5,1.9,2.3,2.6,2.5,30,17.9,19.4,0,2,5.1,3.2,0,33,24.2,20.8,0,21,8,5,0,14.3,0.25,0.2,=,1.8,2.5,2.2,=,61,9,47.5,0.222222222,2,2,This clinic has undergone reorganization since 2003.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this clinic.,,,,,,,
UNIVERSITY OF SOUTH FLORIDA FERTILITY PROGRAM,,TAMPA,FLORIDA,100%,0%,0%,0%,0%,0%,14%,0%,14%,0%,0%,0%,0%,0%,0%,72%,14%,"James C. Mayer, M.D.",2,4,1,0,1,0,0,=,1,0,0,=,=,=,=,=,1,0,0,=,1,0,0,=,0.5,0,0,=,0,0,0,=,3,3,3,=,0,=,=,=,0.5,=,=,=,0.5,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,University of South Florida Fertility Program,Yes,No,Yes,Yes,Yes,No,None
F.I.R.S.T. ,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,86%,14%,0%,0%,43%,0%,5%,2%,4%,40%,1%,0%,6%,3%,1%,28%,15%,"Minna R. Selub, M.D.",16,7,11,5,0.1875,0.571428571,0.272727273,0,0.1875,0.428571429,0.272727273,0,=,=,=,=,0.1875,0.5,0.3,0,0.2,0.5,0.3,0,0.133333333,0.166666667,0.3,0,0,0.142857143,0.090909091,0.2,4.4,4.3,6.4,4.5,0,0,0,=,0.333333333,0.5,0,=,0.333333333,0.666666667,0,=,0,0,1,0,=,=,0,=,=,=,2,=,35,6,34.3,0,4.1,5.3,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes
WOMEN'S HEALTHCARE SPECIALISTS ,IVF MIAMI,WESTON,FLORIDA,100%,0%,0%,0%,49%,0%,5%,15%,4%,10%,2%,0%,23%,6%,11%,12%,17%,"Bernard Cantor, M.D.",21,7,3,3,28.6,0.285714286,0,0,23.8,0.142857143,0,0,-36.4,=,=,=,0.277777778,0.166666667,0,0,0.294117647,0.25,0,0,0.176470588,0,0,0,14.3,0.142857143,0,0,2.5,1.8,4,3.3,0.333333333,0,=,=,0,0.5,=,=,0.4,1,=,=,1,1,0,0,1,1,=,=,2,2,=,=,8,2,0.375,1,2.1,2.5,"Women's Healthcare Specialists, IVF Miami",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF ASSISTED REPRODUCTION & ENDOCRINOLOGY,,WINTER PARK,FLORIDA,100%,0%,0%,0%,46%,0%,0%,13%,11%,22%,4%,<1%,4%,2%,6%,11%,26%,"Mark P. Trolice, M.D.",26,23,21,8,34.6,47.8,9.5,0.375,26.9,47.8,4.8,0.375,-34.1,-40.8,-13.9,=,33.3,55,0.066666667,0.5,0.368421053,0.578947368,0.066666667,0.5,0.315789474,0.421052632,0.066666667,0.333333333,19.2,13,28.6,0.25,2.3,2.5,2.6,2.5,0.111111111,0.090909091,0,0.666666667,0,0.181818182,0,0,0.142857143,0.272727273,0,0.333333333,5,5,1,0,0,0.4,0,=,2,1.8,2,=,12,1,0.583333333,0,2.4,2,Fertility Center of Assisted Reproduction & Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,None
EMORY CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,,ATLANTA,GEORGIA,100%,0%,0%,0%,61%,0%,<1%,12%,0%,5%,5%,1%,13%,7%,5%,28%,24%,"Ana Murphy, M.D.",53,34,17,10,28.3,29.4,0.352941176,0.1,20.8,23.5,0.235294118,0,-21.9,-28.5,=,=,23.9,27.6,0.285714286,0,28.9,32,0.307692308,0,15.8,28,0.230769231,0,13.2,14.7,0.176470588,0.1,2.4,2.6,2.2,2.4,0.466666667,0.1,0.166666667,0,0.066666667,0,0,0,0.454545455,0.125,0.25,=,6,8,1,1,0.666666667,0.5,1,1,2.7,2.4,5,2,14,2,0.5,0,2.4,3,Emory Reproductive Center,Yes,No,Yes,Yes,Yes,Yes,Yes
GEORGIA REPRODUCTIVE SPECIALISTS,,ATLANTA,GEORGIA,100%,0%,0%,0%,48%,3%,<1%,14%,9%,0%,7%,0%,10%,14%,19%,15%,12%,"Mark Perloe, M.D.",180,66,29,7,35,28.8,31,0,27.2,21.2,20.7,0,-13,-19.8,-29.5,=,32.5,28.6,23.1,0,35,29.2,23.1,0,23.6,16.7,19.2,0,16.1,25.8,10.3,0.428571429,3,3.2,3.6,3,36.5,0.368421053,0.111111111,=,1.6,0.105263158,0,=,32.7,0.428571429,0.166666667,=,41,16,7,2,22,0.3125,0.571428571,0,2.3,2.3,2.9,2.5,22,10,54.5,0.3,4,2.8,Georgia Reproductive Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA,GEORGIA,100%,0%,0%,0%,70%,0%,<1%,9%,8%,14%,9%,2%,14%,3%,2%,21%,18%,"Joe B. Massey, M.D.",369,207,162,65,43.9,27.1,23.5,15.4,38.5,24.6,20.4,10.8,-9.9,-11.7,-12.4,-15.1,47.7,33.6,30.8,15.2,50.4,35.7,33.3,16.7,32.6,23.1,24.2,14.3,19.2,26.6,34,29.2,2.6,3,3.2,2.6,28.4,28.6,26.3,0,8,5.4,7.9,0.1,35.2,35.3,27.3,0.142857143,99,59,28,10,36.4,44.1,17.9,0.1,3.3,3.2,3.4,3.4,102,87,66.7,39.1,2.3,3.4,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,,AUGUSTA,GEORGIA,100%,0%,0%,0%,31%,0%,0%,44%,6%,0%,19%,0%,13%,0%,0%,6%,12%,"Adelina M. Emmi, M.D.",7,2,3,1,0.571428571,0,0.333333333,1,0.571428571,0,0.333333333,0,=,=,=,=,0.571428571,0,0.333333333,0,0.571428571,0,0.333333333,0,0.285714286,0,0.333333333,0,0,0,0,0,2.6,3,4,4,0.5,=,0,0,0,=,0,0,0.5,=,0,=,3,0,0,0,0.333333333,=,=,=,1.7,=,=,=,0,0,=,=,=,=,Reproductive Medicine and Infertility Associates,No,No,Yes,No,Yes,Yes,Yes
SERVY INSTITUTE FOR REPRODUCTIVE ENDOCRINOLOGY,,AUGUSTA,GEORGIA,100%,0%,0%,0%,17%,0%,0%,27%,0%,10%,0%,0%,18%,15%,28%,0%,2%,"Edouard Servy, M.D.",24,9,1,0,33.3,0.111111111,0,=,29.2,0.111111111,0,=,-36.4,=,=,=,31.8,0.142857143,0,=,33.3,0.142857143,0,=,28.6,0,0,=,8.3,0.222222222,0,=,2.7,2.9,4,=,0.25,1,=,=,0,0,=,=,0.142857143,1,=,=,3,0,0,0,0,=,=,=,2.3,=,=,=,1,0,0,=,3,=,Servy Institute For Reproductive Endocrinology,Yes,No,No,No,Yes,Yes,Yes
CENTRAL GEORGIA FERTILITY INSTITUTE,,MACON,GEORGIA,100%,0%,0%,0%,39%,0%,0%,12%,0%,7%,25%,0%,21%,2%,5%,19%,9%,"William J. Butler, M.D.",29,5,7,3,31,0.4,0.285714286,0,31,0.4,0.285714286,0,-33.7,=,=,=,36,0.666666667,0.285714286,0,37.5,1,0.285714286,0,16.7,0.5,0.285714286,0,13.8,0.4,0,0.666666667,2.9,3.5,3.3,3,0.333333333,0.5,0,=,0.222222222,0,0,=,0.555555556,0.5,0,=,6,1,0,0,0.5,1,=,=,2,2,=,=,0,1,=,0,=,4,Central Georgia Fertility Institute,No,No,Yes,No,Yes,Yes,Yes
ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,WOODSTOCK,GEORGIA,100%,0%,0%,0%,62%,0%,1%,13%,5%,14%,7%,1%,15%,2%,8%,19%,16%,"Andre L. Denis, M.D.",166,96,51,19,45.8,34.4,37.3,0.210526316,37.3,24,25.5,0.157894737,-14.7,-17.1,-24,=,40.8,30.3,29.5,0.2,45.3,33.8,31,0.25,24.1,11.8,23.8,0.166666667,8.4,20.8,13.7,0.210526316,2.6,2.7,3.2,3.1,43.4,48.5,0.157894737,0.25,2.6,3,0.052631579,0,46.8,65.2,0.230769231,0.333333333,36,16,5,3,25,0.4375,0.4,0,2.4,2.8,2,2,64,21,59.4,4.8,2.1,2.1,Atlanta Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PACIFIC IN VITRO FERTILIZATION INSTITUTE,,HONOLULU,HAWAII,100%,0%,0%,0%,45%,0%,0%,10%,2%,6%,5%,0%,10%,<1%,7%,28%,31%,"Thomas S. Kosasa, M.D.",51,50,50,32,47.1,28,12,6.3,43.1,26,10,0,-27.2,-24.4,-16.6,-100,45.8,27.7,13.5,0,48.9,31,13.9,0,24.4,9.5,8.3,0,5.9,6,26,12.5,2.7,3.3,3.7,3.9,50,0.571428571,0.333333333,0.5,4.2,0.142857143,0,0,50,0.692307692,0.4,=,12,23,7,4,0.5,30.4,0.571428571,0.25,2.3,2.7,3,2.5,13,0,0.692307692,=,2.5,=,Pacific In Vitro Fertilization Institute,Yes,Yes,Yes,Yes,Yes,Yes,Yes
HAWAII CENTER FOR REPRODUCTIVE MEDICINE & SURGERY,,KAILUA,HAWAII,100%,0%,0%,0%,33%,0%,<1%,12%,2%,8%,7%,2%,17%,<1%,3%,16%,32%,"Kenneth K.C. Vu, M.D.",65,42,86,39,27.7,19,11.6,2.6,26.2,14.3,9.3,2.6,-21.3,-21.2,-12.2,-7.5,27,15.4,10.1,3.2,29.8,16.7,11.1,3.6,17.5,13.9,8.3,0,3.1,7.1,8.1,20.5,2.7,3.3,3.4,3.6,0.333333333,0.125,0.3,1,0.055555556,0,0,0,0.411764706,0.166666667,0.25,1,16,7,8,1,0.1875,0,0,0,2.8,2.4,2.6,2,18,7,0.333333333,0,2.3,2.7,Hawaii Center for Reproductive Medicine & Surgery,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TRIPLER ARMY MEDICAL CENTER IVF INSTITUTE,,TRIPLER AMC,HAWAII,100%,0%,0%,0%,33%,0%,0%,24%,7%,24%,3%,0%,4%,0%,10%,14%,14%,"John L. Frattarelli, M.D.",7,8,4,2,0.714285714,0.5,0.5,1,0.714285714,0.5,0.5,0.5,=,=,=,=,0.714285714,0.5,0.5,0.5,0.714285714,0.5,0.5,0.5,0.285714286,0.5,0.5,0.5,0,0,0,0,2.1,2.6,3.5,3,0.6,0,0,0,0,0,0,0,0.6,0,0,0,3,4,0,1,0.666666667,0.5,=,1,2.3,2.3,=,2,0,0,=,=,=,=,Tripler Army Medical Center IVF Institute,No,No,Yes,No,Yes,Yes,Yes
IDAHO CENTER FOR REPRODUCTIVE MEDICINE,,BOISE,IDAHO,100%,0%,0%,0%,47%,0%,1%,8%,7%,16%,6%,1%,11%,1%,4%,22%,24%,"Russell A. Foulk, M.D.",79,31,30,16,54.4,38.7,33.3,0.1875,46.8,38.7,23.3,0.1875,-22,-34.3,-30.3,=,48.7,44.4,25,0.1875,49.3,44.4,26.9,0.230769231,28,37,19.2,0.153846154,3.8,12.9,6.7,0,3,2.9,3.5,3.4,27.9,0.083333333,0.2,0.333333333,14,0.083333333,0.1,0,43.2,0.166666667,0.285714286,0.333333333,33,9,14,2,24.2,0.555555556,0.357142857,0.5,2.7,2.9,2.7,2,33,23,72.7,52.2,2.9,3.2,Idaho Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RUSH--COPLEY CENTER FOR REPRODUCTIVE HEALTH,,AURORA,ILLINOIS,89%,<1%,10%,<1%,43%,0%,0%,15%,5%,5%,10%,4%,17%,17%,2%,9%,16%,"Zvi Binor, M.D.",68,37,26,15,23.5,13.5,15.4,0.133333333,17.6,10.8,7.7,0.066666667,-18.1,-20,-17.9,=,19,15.4,8.7,0.111111111,19.7,16,9.5,0.111111111,18,12,4.8,0.111111111,7.4,29.7,11.5,0.4,3.1,3.6,3.1,3.9,0.1875,0.4,0.25,0,0.0625,0,0,0,0.083333333,0.25,0.5,0,4,2,1,0,0,0,0,=,3.3,3.5,3,=,0,1,=,0,=,4,Rush--Copley Center for Reproductive Health,Yes,No,Yes,No,Yes,Yes,Yes
CHICAGO WOMEN'S WELLNESS CENTER,,CHICAGO,ILLINOIS,100%,0%,0%,0%,9%,1%,1%,18%,3%,31%,1%,2%,4%,7%,11%,21%,2%,"Jan Friberg, M.D.",12,14,16,9,0.166666667,0.285714286,0.4375,0.111111111,0.166666667,0.214285714,0.3125,0,=,=,=,=,0.2,0.3,0.384615385,0,0.2,0.428571429,0.454545455,0,0.1,0.285714286,0.272727273,0,0.166666667,0.285714286,0.1875,0.111111111,3.3,3.1,3.2,3.6,0,0.25,0.285714286,0,0.5,0,0.142857143,0,0.5,0.333333333,0.4,=,1,2,0,0,0,0,=,=,3,2,=,=,11,3,0,0.333333333,2.6,3,Chicago Women's Wellness Center,Yes,Yes,Yes,Yes,Yes,Yes,None
IVF LINCOLN PARK,,CHICAGO,ILLINOIS,100%,0%,0%,0%,81%,0%,0%,11%,20%,2%,5%,<1%,13%,3%,23%,10%,13%,"Aaron S. Lifchez, M.D.",932,456,447,172,34.8,25.7,15.4,11.6,28.9,21.9,11.2,7.6,-5.8,-7.6,-5.8,-7.9,34,26.3,14.1,9.4,35.4,27.9,16.4,10.9,22.2,17.6,13.1,9.2,15.1,16.7,20.8,19.8,2.2,2.2,2.2,2.2,37,37.6,14.5,15,2.2,0.9,5.8,5,37.2,37,20,0.153846154,110,48,19,8,24.5,18.8,0.052631579,0,2.3,2.4,2.8,2.1,83,19,49.4,0.157894737,2.2,2.2,IVF Lincoln Park,Yes,No,Yes,Yes,Yes,Yes,Yes
NORTHWESTERN UNIVERSITY,,CHICAGO,ILLINOIS,>99%,<1%,0%,0%,55%,<1%,<1%,9%,6%,16%,7%,2%,19%,4%,28%,3%,6%,"Edmond Confino, M.D.",200,133,106,51,50,42.9,32.1,19.6,43,33.8,20.8,13.7,-13.8,-15.7,-15.3,-18.9,46.5,39.5,24.7,18.4,48,41.7,25.3,18.9,28.5,29.6,20.7,18.9,7.5,14.3,16,25.5,2.2,2.4,2.9,3.5,35,28.1,17.7,0.2,5,0,0,0,40.7,28.9,18.2,0,60,31,23,3,31.7,25.8,30.4,0.333333333,2.8,2.6,3.1,3.3,42,19,38.1,0.421052632,2.1,2.7,Northwestern University,Yes,Yes,Yes,Yes,Yes,Yes,Yes
