PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,COOPER CITY,FLORIDA,100%,0%,0%,0%,50%,0%,11%,3%,25%,<1%,0%,10%,0%,0%,27%,23%,"Minna R. Selub, M.D.",32,12,19,8,15.6,0.333333333,0.105263158,0,9.4,0.333333333,0.052631579,0,-19.5,=,=,=,10.3,0.4,0.058823529,0,12,0.5,0.0625,0,9.4,0.166666667,0.105263158,0,5.1,4,4.3,3.4,0.2,0.25,0,=,0,0,0.5,=,0.333333333,0.25,1,=,4,1,2,0,0,0,0,=,5.8,3,3,=,29,2,24.1,0,5,6,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes
"SOUTHWEST FLORIDA FERTILITY CENTER, P.A.",,FORT MYERS,FLORIDA,100%,0%,0%,0%,11%,0%,15%,5%,0%,0%,0%,5%,25%,10%,15%,25%,"Jacob L. Glock, M.D.",9,1,2,4,0.444444444,0,0.5,0,0.444444444,0,0.5,0,=,=,=,=,0.444444444,0,0.5,0,0.444444444,0,0.5,0,0,0,0,0,3.7,4,4.5,4.3,0,=,1,=,0.25,=,0,=,0.25,=,1,=,0,0,0,0,=,=,=,=,=,=,=,=,1,0,1,=,4,=,"Southwest Florida Fertility Center, P.A.",Yes,No,Yes,Yes,Yes,Yes,No
"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, P.A.",,FORT MYERS,FLORIDA,100%,0%,0%,0%,32%,0%,15%,8%,10%,6%,0%,8%,0%,4%,30%,19%,"Craig R. Sweet, M.D.",27,14,8,2,51.9,0.357142857,0.25,0.5,44.4,0.142857143,0.125,0,-37.5,=,=,=,44.4,0.166666667,0.166666667,0,44.4,0.166666667,0.166666667,0,0,0.142857143,0.25,0.5,2.3,2.6,2.8,4,0.642857143,0.2,0.5,1,0,0.2,0,0,0.5,0.5,1,=,5,2,5,2,0,0,0,0,3.4,3,3,2,8,2,0.5,1,2.3,3.5,"Specialists In Reproductive Medicine & Surgery, P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF FLORIDA/PARK AVENUE WOMEN'S CENTER,,GAINESVILLE    ,FLORIDA,100%,0%,0%,0%,49%,0%,24%,7%,2%,19%,0%,18%,9%,4%,5%,12%,"R. Stan Williams, M.D.",38,17,21,7,42.1,0.352941176,33.3,0.142857143,36.8,0.352941176,23.8,0,-30.7,=,-36.4,=,38.9,0.4,25,0,41.2,0.428571429,0.294117647,0,5.3,0.117647059,4.8,0.142857143,2.7,2.9,2.5,1.3,0.4375,0.5,0.142857143,0,0.0625,0,0,0,0.285714286,0.5,0.2,=,3,1,2,1,0,0,0.5,0,2.3,4,2.5,3,14,0,0.285714286,=,2.6,=,University of Florida/Park Avenue Women's Center,Yes,Yes,No,Yes,Yes,Yes,Yes
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,,GULF BREEZE,FLORIDA,95%,5%,0%,0%,54%,0%,3%,1%,0%,4%,0%,13%,1%,0%,16%,62%,"Robert C. Pyle, M.D.",22,17,12,2,31.8,0.176470588,0.333333333,0,31.8,0.176470588,0.166666667,0,-38.9,=,=,=,0.368421053,0.3,0.222222222,0,0.368421053,0.3,0.222222222,0,13.6,0.411764706,0.25,0,3.9,3.8,4.2,4.5,0.428571429,0,0.25,=,0.142857143,0.333333333,0,=,0.571428571,0.333333333,0.5,=,6,3,2,0,0.333333333,0.333333333,0.5,=,4,4,3,=,2,4,0.5,0,2,3,Fertility Institute of Northwest Florida,Yes,Yes,No,Yes,Yes,Yes,Yes
ASSISTED FERTILITY PROGRAM OF NORTH FLORIDA,,JACKSONVILLE,FLORIDA,87%,13%,0%,0%,11%,0%,23%,10%,23%,18%,0%,6%,1%,0%,15%,4%,"Shaykh M. Marwan, M.D.",25,12,6,3,28,0.166666667,0.166666667,0.333333333,24,0.083333333,0.166666667,0,-33.4,=,=,=,28.6,0.166666667,0.2,0,28.6,0.166666667,0.2,0,16,0.5,0.166666667,0.333333333,3.5,4,3.4,3,0.142857143,0.5,0,0,0.142857143,0,1,0,0.333333333,1,0,=,4,1,0,0,0.25,0,=,=,2.8,3,=,=,16,1,0.1875,0,3.2,2,Assisted Fertility Program of North Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,>99%,<1%,0%,0%,50%,<1%,14%,8%,8%,8%,<1%,22%,1%,11%,8%,20%,"Kevin L. Winslow, M.D.",238,84,65,11,45.4,35.7,29.2,0.272727273,39.5,29.8,20,0.181818182,-12.4,-19.5,-19.4,=,43.3,33.3,23.6,0.2,48,35.7,26.5,0.2,8.8,10.7,15.4,0.090909091,2.5,2.7,2.9,3.4,33.3,36.7,0.210526316,0,5.6,13.3,0,0,37.2,52,0.307692308,0,83,32,14,0,30.1,21.9,0.214285714,=,2.6,2.5,2.9,=,34,18,44.1,0.222222222,2.6,2.8,Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTH FLORIDA GYNECOLOGIC SPECIALISTS,,JACKSONVILLE,FLORIDA,97%,1%,0%,2%,16%,0%,10%,16%,16%,1%,0%,8%,6%,1%,28%,14%,"Michael D. Fox, M.D.",42,14,8,0,57.1,0.428571429,0.375,=,50,0.357142857,0.25,=,-30.2,=,=,=,52.5,0.357142857,0.333333333,=,55.3,0.357142857,0.333333333,=,4.8,0,0.25,=,3.5,3.4,4.8,=,20.8,0,0.333333333,=,8.3,0,0,=,23.8,0,0.5,=,3,2,0,0,0.333333333,0.5,=,=,4,3,=,=,15,4,0.333333333,0,2.7,3,North Florida Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IVF FLORIDA ,MEMORIAL ADVANCED FERTILITY TREATMENT CENTER,MARGATE,FLORIDA,>99%,0%,<1%,0%,54%,<1%,21%,1%,8%,11%,<1%,20%,16%,2%,7%,13%,"David I. Hoffman, M.D.",232,117,103,42,47,26.5,26.2,21.4,39.7,20.5,21.4,11.9,-12.5,-14.6,-15.9,-19.6,44.7,24,30.1,17.2,47.2,25,30.1,18.5,11.2,14.5,29.1,31,2.3,2.7,3,3.5,26.6,29,22.2,0.333333333,1.8,22.6,14.8,0,27.2,50,45.5,0.4,31,15,6,7,25.8,0.266666667,0.333333333,0,2.9,3.5,3.7,3.4,61,1,34.4,1,2.5,3,"IVF Florida, Memorial Advanced Fertility Treatment Center",Yes,No,Yes,Yes,Yes,Yes,Yes
"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,>99%,<1%,0%,0%,56%,0%,13%,6%,10%,3%,1%,15%,2%,11%,17%,22%,"Michael H. Jacobs, M.D.",112,52,41,10,33.9,40.4,22,0.4,31.3,38.5,14.6,0.4,-17.1,-26.5,-21.7,=,35,42.6,20.7,0.8,35.7,45.5,21.4,0.8,10.7,9.6,29.3,0.5,3.3,3.4,3.5,3.2,36.8,42.9,0.444444444,0,2.6,9.5,0,0,28.6,35,0.166666667,0,5,0,1,1,0,=,0,1,3.2,=,4,5,26,6,42.3,0,3.7,2.5,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
PALMETTO FERTILITY CENTER OF SOUTH FLORIDA,,MIAMI,FLORIDA,100%,0%,0%,0%,50%,0%,8%,3%,3%,3%,7%,19%,0%,7%,30%,20%,"Michael D. Graubert, M.D.",30,15,10,1,40,0.4,0.3,0,36.7,0.4,0.3,0,-34.5,=,=,=,44,0.461538462,0.333333333,0,45.8,0.461538462,0.333333333,0,16.7,0.133333333,0.1,0,2.8,2.6,3.3,1,0.583333333,0.166666667,0,=,0.083333333,0,0,=,0.636363636,0.166666667,0,=,3,5,1,0,0.333333333,0.6,0,=,2,3.2,3,=,0,0,=,=,=,=,Palmetto Fertility Center of South Florida,Yes,No,Yes,Yes,Yes,Yes,No
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,MIAMI,FLORIDA,100%,0%,0%,0%,48%,0%,16%,2%,10%,6%,<1%,24%,10%,1%,8%,23%,"Maria Bustillo, M.D.",134,80,65,22,39.6,21.3,24.6,22.7,35.8,17.5,20,18.2,-16.2,-16.6,-19.4,-32.2,42.1,24.6,26,0.235294118,43.6,25.5,28.9,0.235294118,14.9,28.8,23.1,22.7,2.7,3,2.8,3.2,37.7,0.294117647,0.375,0,7.5,0,0,0,43.8,0.357142857,0.461538462,0,7,2,3,0,0.142857143,0,0.333333333,=,2,2,3,=,44,7,34.1,0.142857143,2.5,2.7,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WOMEN'S HEALTHCARE SPECIALISTS,IVF MIAMI,MIAMI BEACH,FLORIDA,100%,0%,0%,0%,56%,0%,22%,15%,9%,13%,0%,9%,0%,15%,6%,11%,"Bernard Cantor, M.D.",19,10,6,3,0.368421053,0.5,0.166666667,0,0.315789474,0.4,0.166666667,0,=,=,=,=,0.333333333,0.4,0.25,0,0.352941176,0.444444444,0.333333333,0,0.052631579,0,0.333333333,0.333333333,3.2,3.1,3.3,3,0.285714286,0,0,=,0.142857143,0,0,=,0.5,0,0,=,2,0,1,0,0,=,0,=,3,=,2,=,3,0,0.333333333,=,2.3,=,Women's Healthcare Specialists IVF Miami,Yes,No,Yes,Yes,Yes,Yes,Yes
"CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE, P.A.",,ORLANDO,FLORIDA,>99%,0%,<1%,0%,37%,<1%,10%,4%,1%,4%,<1%,8%,1%,4%,33%,34%,"Randall A. Loy, M.D.",175,83,72,24,36,27.7,27.8,20.8,32.6,26.5,22.2,20.8,-13.9,-19,-19.2,-32.5,40.4,33.8,25.8,0.277777778,43.5,36.1,27.1,0.3125,19.4,21.7,13.9,25,2.3,2.5,2.4,2.7,30.2,26.1,25,0.6,1.6,8.7,0,0,33.3,31.8,0.125,0.6,17,3,6,1,0.176470588,0.333333333,0.166666667,0,2.2,1.7,2.3,3,5,3,0.4,0.333333333,2.2,3,"Center for Infertility & Reproductive Medicine, P.A.",Yes,Yes,No,No,Yes,Yes,Yes
REPRODUCTIVE HEALTH INSTITUTE,,ORLANDO,FLORIDA,100%,0%,0%,0%,71%,0%,19%,3%,11%,5%,3%,3%,3%,5%,32%,16%,"Mark P. Trolice, M.D.",8,6,5,4,0.5,0.333333333,0,0.5,0.375,0,0,0.5,=,=,=,=,0.5,0,0,0.666666667,0.5,0,0,0.666666667,0.25,0,0.2,0.25,2.5,3.8,3.3,2.7,0,0.5,=,0,0,0,=,0,0,=,=,0,0,3,2,1,=,0,0.5,0,=,2.3,3,4,0,2,=,1,=,3.5,Reproductive Health Institute,Yes,Yes,No,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE AND FERTILITY CENTER,,ORLANDO,FLORIDA,100%,0%,0%,0%,96%,0%,15%,10%,9%,5%,2%,12%,0%,3%,24%,20%,"Mark L. Jutras, M.D.",44,26,14,4,52.3,50,0.357142857,0,47.7,46.2,0.357142857,0,-29.5,-38.3,=,=,47.7,48,0.384615385,0,48.8,52.2,0.416666667,0,0,3.8,0.071428571,0.25,2.2,2.5,3.3,2.7,43.5,0.230769231,0.4,=,8.7,0,0,=,47.6,0.166666667,0,=,7,2,0,0,0.428571429,0.5,=,=,2.4,2,=,=,15,2,0.4,0,2.3,2,Reproductive Medicine and Fertility Center,Yes,No,No,Yes,Yes,Yes,Yes
"FRANK C. RIGGALL, M.D., P.A.",,ORLANDO,FLORIDA,95%,3%,0%,2%,22%,0%,7%,5%,0%,5%,0%,25%,5%,23%,14%,16%,"Frank C. Riggall, M.D.",18,7,6,6,0.333333333,0.285714286,0,0.333333333,0.333333333,0.285714286,0,0.166666667,=,=,=,=,0.545454545,0.666666667,0,0.25,0.545454545,0.666666667,0,0.25,0.388888889,0.571428571,0.166666667,0.333333333,2.3,2.7,2.2,3,0,0,=,1,0.333333333,0,=,0,0.333333333,0,=,1,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"Frank C. Riggall, M.D., P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF FLORIDA--PENSACOLA,,PENSACOLA ,FLORIDA,100%,0%,0%,0%,50%,0%,32%,9%,0%,20%,0%,14%,0%,2%,9%,14%,"Barry A. Ripps, M.D.",21,12,2,3,38.1,0.25,0,0,23.8,0.166666667,0,0,-36.4,=,=,=,0.3125,0.222222222,0,0,0.3125,0.222222222,0,0,23.8,0.25,0,0,2.8,2.4,3.5,2.7,0.375,0,=,=,0.125,0,=,=,0.6,0,=,=,2,2,0,0,0,0,=,=,1.5,1.5,=,=,0,0,=,=,=,=,Clinic has undergone reorganization since 2000.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this clinic.,,,,,,,
"CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY, P.A.",,PLANTATION,FLORIDA,97%,0%,0%,3%,52%,0%,19%,0%,3%,3%,0%,14%,4%,7%,21%,29%,"Mick Abae, M.D.",35,14,14,3,37.1,0.214285714,0.285714286,0,37.1,0.071428571,0.285714286,0,-32.1,=,=,=,38.2,0.076923077,0.307692308,0,39.4,0.083333333,0.363636364,0,2.9,0.071428571,0.071428571,0,2.3,2.9,4.2,1.7,0.153846154,0.666666667,0.5,=,0.076923077,0,0.5,=,0.230769231,1,0.5,=,2,0,1,0,0,=,0,=,3,=,8,=,15,2,0.333333333,0,2.7,4,"Center for Advanced Reproductive Endocrinology, P.A.",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY INSTITUTE OF SOUTH FLORIDA,,PLANTATION,FLORIDA,100%,0%,0%,0%,33%,0%,26%,3%,0%,0%,3%,17%,3%,0%,31%,17%,"Edward H. Illions, M.D.",10,11,5,2,0.6,0.454545455,0.6,0,0.4,0.454545455,0.6,0,=,=,=,=,0.4,0.454545455,0.75,0,0.4,0.454545455,0.75,0,0,0,0.2,0,3,3.5,2.5,2,0.333333333,0.2,0,=,0.333333333,0.2,0,=,0.5,0.4,0,=,1,0,0,0,0,=,=,=,4,=,=,=,2,1,0.5,0,5.5,6,Clinic has undergone reorganization since 2000.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this clinic.,,,,,,,
FERTILITY CENTER OF SARASOTA,"JULIO E. PABON, M.D., P.A.",SARASOTA ,FLORIDA,100%,0%,0%,0%,55%,0%,17%,4%,3%,6%,0%,25%,25%,9%,6%,5%,"Julio E. Pabon, M.D.",37,19,17,4,35.1,0.368421053,0.235294118,0,35.1,0.315789474,0.235294118,0,-30.7,=,=,=,38.2,0.315789474,0.235294118,0,46.4,0.333333333,0.235294118,0,8.1,0,0,0,2.8,3.6,3.9,5.5,0.230769231,0.142857143,0.25,=,0,0.142857143,0,=,0.153846154,0.333333333,0.25,=,1,0,0,1,1,=,=,0,1,=,=,4,13,0,0.461538462,=,2.5,=,"Fertility Center of Sarasota, Julio E. Pabon, M.D., P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM AT UNIVERSITY COMMUNITY HOSPITAL,"DRS. VERKAUF, BERNHISEL, TARANTINO, GOODMAN & YEKO",TAMPA ,FLORIDA,92%,1%,3%,4%,25%,0%,20%,<1%,8%,8%,<1%,14%,7%,19%,15%,7%,"Samuel Tarantino, M.D.",116,61,55,22,31.9,19.7,25.5,4.5,28.4,19.7,20,4.5,-16.5,-19.9,-21.2,-13.2,31.4,26.1,23.9,0.058823529,35.5,28.6,35.5,0.071428571,9.5,24.6,16.4,22.7,2.6,3,3.3,2.6,37.8,0.583333333,0.142857143,0,10.8,0.083333333,0,0,42.4,0.666666667,0.090909091,0,2,0,0,0,0,=,=,=,2.5,=,=,=,26,1,34.6,0,2.1,4,"Advanced Reproductive Technologies Program at University Community Hospital, Drs. Verkauf, Bernhisel, Tarantino, Goodman & Yeko",Yes,No,Yes,Yes,Yes,Yes,Yes
GENETICS & IVF INSTITUTE OF FLORIDA,,W. PALM BEACH,FLORIDA,100%,0%,0%,0%,38%,0%,42%,6%,6%,4%,2%,12%,6%,2%,12%,8%,"Gene F. Manko, M.D.",11,7,13,3,0.272727273,0.142857143,0.076923077,0.333333333,0.181818182,0,0.076923077,0,=,=,=,=,0.222222222,0,0.1,0,0.333333333,0,0.125,0,0.181818182,0,0.230769231,0.333333333,3.3,3.2,2.9,4,0,1,0,0,0,0,0,0,0,=,0,=,5,4,1,1,0.4,0.25,0,1,2,2.5,3,2,0,2,=,1,=,2.5,Reproductive Medicine & Genetics,Yes,No,Yes,Yes,Yes,Yes,No
EMORY CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,,ATLANTA ,GEORGIA,100%,0%,0%,0%,47%,0%,17%,<1%,4%,7%,<1%,18%,3%,<1%,26%,22%,"Ana Murphy, M.D.",51,31,20,9,37.3,41.9,40,0,33.3,38.7,30,0,-25.9,-34.3,-40.2,=,40.5,48,0.333333333,0,47.2,60,0.352941176,0,17.6,19.4,10,0.444444444,2.7,2.6,2.6,1.3,0.368421053,0.461538462,0.125,=,0.052631579,0.076923077,0,=,0.352941176,0.416666667,0,=,11,9,1,0,0.272727273,0.333333333,1,=,2.5,2.6,2,=,6,1,0.333333333,0,2,5,Emory Center for Reproductive Medicine and Fertility,Yes,No,Yes,Yes,Yes,Yes,Yes
GEORGIA REPRODUCTIVE SPECIALISTS,,ATLANTA ,GEORGIA,100%,0%,0%,0%,48%,0%,31%,4%,5%,5%,<1%,16%,5%,11%,12%,10%,"Mark Perloe, M.D.",62,15,13,0,33.9,0.066666667,0.153846154,=,27.4,0.066666667,0.153846154,=,-22.2,=,=,=,30.4,0.111111111,0.153846154,=,32.1,0.111111111,0.2,=,9.7,0.4,0,=,3,3.3,3.6,=,33.3,0,0.5,=,4.8,0,0,=,0.352941176,0,0,=,8,3,0,0,0.125,0.333333333,=,=,2.1,2,=,=,5,0,0.2,=,2.2,=,Georgia Reproductive Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA ,GEORGIA,>99%,<1%,0%,0%,51%,0%,6%,9%,5%,4%,1%,10%,2%,<1%,37%,25%,"Joe B. Massey, M.D.",393,277,199,84,35.4,28.9,21.1,14.3,30.8,26,14.1,8.3,-9.2,-10.4,-9.7,-11.8,35.9,34.1,20.4,13.7,36.8,35.8,21.4,14,14.2,23.8,31.2,39.3,2.6,2.9,3.3,3.2,28.8,28.8,23.8,0.083333333,5,5,2.4,0.083333333,36.4,31.9,28.6,0.285714286,92,50,32,5,15.2,10,21.9,0,3.1,3.1,3,2.4,151,50,47,16,2.4,2.9,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AUGUSTA REPRODUCTIVE BIOLOGY ASSOCIATES,,AUGUSTA ,GEORGIA,100%,0%,0%,0%,9%,0%,26%,5%,6%,2%,4%,21%,12%,14%,7%,3%,"Lawrence Layman, M.D.",50,22,13,2,18,18.2,0,0,12,13.6,0,0,-18,-28,=,=,13.6,0.157894737,0,0,18.8,0.1875,0,0,12,13.6,0.230769231,0,2.7,2.5,2.9,2.5,0,0.25,=,=,0,0,=,=,0,0.333333333,=,=,1,1,0,0,0,0,=,=,1,2,=,=,4,1,0,0,2.8,2,Augusta Area Reproductive Associates,Yes,No,No,No,Yes,Yes,Yes
ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,WOODSTOCK,GEORGIA,100%,0%,0%,0%,48%,0%,16%,4%,10%,14%,<1%,24%,3%,8%,8%,13%,"Andre L. Denis, M.D.",111,52,29,4,43.2,26.9,13.8,0.25,39.6,25,10.3,0.25,-18.2,-23.6,-21.4,=,44.9,35.1,15,0.25,51.2,38.2,0.1875,0.333333333,11.7,28.8,31,0,2.5,3.1,3.6,3.3,20.8,0.285714286,0.25,0,18.8,0.071428571,0,0,38.6,0.384615385,0.333333333,0,28,11,6,0,32.1,0.090909091,0.166666667,=,2.6,2.9,2.5,=,22,7,54.5,0.285714286,2.5,2.4,Atlanta Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PACIFIC IN VITRO FERTILIZATION INSTITUTE,,HONOLULU,HAWAII,100%,0%,0%,0%,29%,0%,18%,2%,4%,19%,<1%,14%,3%,6%,16%,18%,"Thomas S. Kosasa, M.D.",82,85,76,63,35.4,27.1,13.2,14.3,31.7,24.7,10.5,12.7,-20.2,-18.4,-13.8,-16.4,34.2,28,15.7,17,35.1,30.9,16.3,18.6,7.3,11.8,32.9,25.4,3.1,4,4.1,4.3,37.9,21.7,0.4,0.333333333,10.3,13,0,0,38.5,38.1,0.25,0.125,14,14,12,4,0.428571429,0.5,0.166666667,0,3.3,4.1,4.1,3.8,19,6,0.473684211,0.166666667,2.9,3.7,Pacific In Vitro Fertilization Institute,Yes,No,No,No,Yes,Yes,Yes
IDAHO CENTER FOR REPRODUCTIVE MEDICINE,,BOISE,IDAHO,100%,0%,0%,0%,43%,0%,16%,6%,1%,5%,0%,12%,6%,11%,19%,24%,"Russell A. Foulk, M.D.",72,33,19,4,34.7,60.6,0.421052632,0.25,31.9,45.5,0.315789474,0.25,-21.5,-33.9,=,=,33.3,48.4,0.333333333,0.25,39,50,0.352941176,0.25,4.2,6.1,0.052631579,0,3.5,3.8,4.2,2.5,36,20,0.375,0,12,10,0,0,47.8,0.333333333,0.333333333,0,32,5,4,0,28.1,0.2,0.25,=,3.1,3.6,3.8,=,15,5,0.866666667,0.4,3.2,3.2,Idaho Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED INSTITUTE OF FERTILITY,,ARLINGTON HEIGHTS,ILLINOIS,100%,0%,0%,0%,67%,0%,5%,0%,13%,9%,5%,17%,9%,6%,11%,25%,"Koyu P. Katayama, M.D., Ph.D.",20,12,7,1,25,0.333333333,0.142857143,0,20,0.166666667,0,0,-35,=,=,=,20,0.166666667,0,0,0.222222222,0.181818182,0,0,0,0,0.285714286,0,3.4,3.1,4.8,4,0.6,0,0,=,0,0,0,=,0.5,0,=,=,5,3,3,0,0.2,0.333333333,0,=,2.6,2.7,2,=,11,7,0.181818182,0.428571429,3.2,2.6,Advanced Institute of Fertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RUSH--COPLEY CENTER FOR REPRODUCTIVE HEALTH,,AURORA ,ILLINOIS,85%,<1%,14%,0%,48%,0%,12%,<1%,4%,1%,2%,27%,15%,8%,14%,16%,"Zvi Binor, M.D.",65,21,16,9,21.5,4.8,0.0625,0,16.9,4.8,0.0625,0,-18.2,-13.9,=,=,19.6,5,0.090909091,0,20.4,0.055555556,0.111111111,0,13.8,4.8,0.3125,0.333333333,3.4,3.4,3.6,3.2,0.214285714,0,0,=,0.071428571,0,0,=,0.090909091,0,0,=,7,3,0,0,0,0,=,=,2.7,1.7,=,=,2,0,0,=,3,=,Rush--Copley Center for Reproductive Health,Yes,No,Yes,No,Yes,Yes,Yes
LIFE--WOMEN'S HEALTH CENTER,,BERWYN,ILLINOIS,100%,0%,0%,0%,75%,0%,8%,0%,0%,0%,0%,38%,0%,0%,8%,46%,"Daniel A. Rotsztejn, M.D.",7,1,1,3,0.428571429,0,1,0,0.285714286,0,1,0,=,=,=,=,0.285714286,0,1,0,0.285714286,0,1,0,0,0,0,0,3.3,3,5,5.3,0.333333333,=,0,=,0.666666667,=,0,=,1,=,0,=,0,0,0,0,=,=,=,=,=,=,=,=,1,0,0,=,4,=,Life--Women's Health Center,Yes,No,Yes,No,No,No,Pending
IVF LINCOLN PARK,,CHICAGO,ILLINOIS,100%,0%,0%,0%,83%,0%,24%,28%,7%,7%,1%,20%,1%,12%,<1%,<1%,"Aaron S. Lifchez, M.D.",380,152,121,92,32.1,24.3,14,12,23.4,19.1,9.9,10.9,-8.5,-12.5,-10.6,-12.7,27,21.8,11.5,13.7,28,22.3,13.3,19.2,13.2,12.5,14,20.7,2.9,2.8,2.9,2.7,31.1,29.7,0.235294118,0,9.8,5.4,0.058823529,0,46.1,44.8,0.25,0,36,15,7,2,16.7,0.066666667,0.285714286,0,2.7,2.9,2.1,3.5,34,10,52.9,0.3,3.2,2.5,IVF Lincoln Park,Yes,No,Yes,Yes,Yes,Yes,Yes
NORTHWESTERN UNIVERSITY,,CHICAGO,ILLINOIS,100%,0%,0%,0%,35%,<1%,11%,14%,3%,9%,2%,16%,7%,28%,3%,7%,"Edmond Confino, M.D.",192,111,79,39,39.1,33.3,26.6,15.4,33.3,26.1,19,12.8,-13.3,-16.3,-17.3,-21,37.4,31.5,24.2,21.7,39,32.2,24.2,22.7,10.9,17.1,21.5,41,2.4,2.5,3.2,3.8,25.3,27,19,0,1.3,8.1,9.5,0,26.6,31,0.266666667,0,42,14,11,5,11.9,0.142857143,0.272727273,0.2,2.7,2.4,2.7,2.4,23,8,43.5,0.125,2.3,3.3,Northwestern University,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RUSH CENTER FOR ADVANCED REPRODUCTIVE CARE,,CHICAGO,ILLINOIS,94%,2%,4%,<1%,44%,0%,7%,<1%,3%,9%,2%,17%,11%,7%,18%,26%,"Zvi Binor, M.D.",96,55,51,28,24,25.5,17.6,0,21.9,16.4,7.8,0,-16.5,-19.5,-14.7,-100,26.9,21.4,10.5,0,28.4,22,12.1,0,18.8,23.6,25.5,39.3,3.1,3.1,3.4,2.9,30.4,0.214285714,0.111111111,=,13,0,0,=,42.9,0,0.25,=,8,3,2,2,0.25,0.333333333,0,0,2.8,3.3,2,3.5,2,2,0,0,3.5,3.5,Rush Center for Advanced Reproductive Care,Yes,Yes,Yes,Yes,Yes,Yes,Yes
