OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
109,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,74%,0%,<1%,6%,3%,7%,5%,<1%,26%,3%,5%,8%,36%,"Kevin L. Winslow, MD",286,149,101,33,44.8,33.6,23.8,12.1,41.6,28.2,18.8,12.1,(35.8Ð47.6),(21.1Ð36.1),(11.7Ð27.8),(3.4Ð28.2),48.4,34.4,21.1,14.3,50.9,35.3,22.4,14.8,30.8,23.5,20,11.1,14,18.1,10.9,15.2,2.6,2.9,3.2,3.5,35.9,24,16.7,0,2.3,8,0,0.25,39.5,33.3,0.105263158,0.25,106,72,32,7,30.2,25,18.8,0.428571429,2.5,2.7,2.7,3.1,64,39,34.4,28.2,2.5,2.5,Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
110,JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,18%,0%,0%,11%,20%,39%,8%,0%,8%,2%,1%,8%,3%,"Michael D. Fox, MD",46,21,8,1,41.3,47.6,0.25,0,34.8,47.6,0.25,0,(21.4Ð50.2),(25.7Ð70.2),,,37.2,47.6,0.333333333,0,39,0.526315789,0.333333333,=,24.4,0.263157895,0.333333333,=,6.5,0,0.25,0,2.3,2.5,2.3,=,0.315789474,0.5,0,=,0,0,0,=,0.375,0.5,0,=,3,1,1,0,0.333333333,0,0,=,2.7,3,2,=,5,2,0.6,0.5,2,2.5,Jacksonville Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Pending,FL
111,"GENE F. MANKO, MD, INC.",,JUPITER,FLORIDA,100%,0%,0%,0%,60%,0%,3%,21%,4%,4%,9%,2%,31%,1%,15%,1%,13%,"Gene F. Manko, MD",30,21,18,3,56.7,42.9,0.277777778,0,53.3,38.1,0.166666667,0,(34.3Ð71.7),(18.1Ð61.6),,,61.5,0.421052632,0.230769231,0,69.6,0.571428571,0.333333333,0,52.2,0.5,0.222222222,0,13.3,9.5,0.277777778,0.666666667,1.7,1.9,1.7,2,0.294117647,0.333333333,0.4,=,0,0,0,=,0.25,0.125,0.333333333,=,1,2,1,0,1,0,0,=,2,2,2,=,1,3,1,0.333333333,2,1.3,"Gene F. Manko, MD, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes,FL
112,IVF FLORIDA,,MARGATE,FLORIDA,100%,0%,0%,0%,66%,0%,<1%,12%,5%,20%,10%,3%,15%,6%,15%,7%,8%,"David I. Hoffman, MD",293,174,148,71,43,35.6,31.1,14.1,36.5,26.4,20.9,5.6,(31.0Ð42.3),(20.1Ð33.6),(14.7Ð28.4),(1.6Ð13.8),40.4,31.7,25.8,8.7,42.6,32.9,26.7,8.7,27.5,20.7,24.1,8.7,9.6,16.7,18.9,35.2,2.1,2.4,3,3.4,34.9,29,19.6,0,3.2,3.2,0,0,35.5,37,9.7,0,83,26,27,3,28.9,26.9,37,0.333333333,2.3,2.5,2.5,2.3,58,9,46.6,0.555555556,2,2,IVF Florida,Yes,No,Yes,Yes,Yes,Yes,Yes,FL
113,FERTILITY & REPRODUCTIVE MEDICINE CENTER FOR WOMEN,,MELBOURNE,FLORIDA,100%,0%,0%,0%,36%,0%,2%,11%,5%,13%,5%,0%,13%,2%,5%,31%,17%,"Diran Chamoun, MD",26,18,18,2,42.3,0.555555556,0.222222222,0,26.9,0.444444444,0.222222222,0,(11.6Ð47.8),,,,30.4,0.444444444,0.333333333,0,0.368421053,0.470588235,0.363636364,0,0.157894737,0.294117647,0.181818182,0,11.5,0,0.333333333,0,2.3,2.3,2,1,0.363636364,0.4,0.25,=,0.090909091,0.1,0.25,=,0.571428571,0.375,0.5,=,1,1,1,0,0,0,1,=,2,2,3,=,14,1,0.5,0,2.4,2,Fertility & Reproductive Medicine Center for Women,Yes,No,Yes,Yes,Yes,Yes,Yes,FL
114,"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,100%,0%,0%,0%,83%,0%,1%,8%,10%,7%,3%,<1%,21%,4%,3%,9%,35%,"Michael H. Jacobs, MD",197,74,79,26,44.2,44.6,27.8,11.5,41.6,35.1,21.5,11.5,(34.7Ð48.8),(24.4Ð47.1),(13.1Ð32.2),(2.4Ð30.2),45.8,38.8,27,14.3,48,40,28.3,14.3,29.8,27.7,23.3,9.5,9.1,9.5,20.3,19.2,2.3,2.6,2.7,2.8,39.1,24.2,18.2,0.333333333,4.6,6.1,4.5,0,37.8,30.8,0.176470588,0.333333333,40,23,12,2,35,30.4,0.25,0,2.3,2,2.5,3.5,31,5,54.8,0.8,2.3,2.6,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
115,PALMETTO FERTILITY CENTER OF SOUTH FLORIDA,,MIAMI,FLORIDA,100%,0%,0%,0%,67%,0%,0%,19%,7%,13%,<1%,2%,20%,0%,11%,4%,24%,"Michael D. Graubert, MD",46,37,13,3,37,40.5,0.307692308,0.333333333,32.6,32.4,0.230769231,0.333333333,(19.5Ð48.0),(18.0Ð49.8),,,36.6,35.3,0.25,0.333333333,38.5,38.7,0.25,0.333333333,30.8,32.3,0.25,0.333333333,10.9,8.1,0.076923077,0,3,3.4,2.8,4.3,0.235294118,0.133333333,0,0,0.117647059,0.2,0.25,0,0.2,0.166666667,0,0,7,5,1,1,0.571428571,0.4,0,1,2.3,2.2,2,2,5,5,0.6,0.2,2.2,2.2,Palmetto Fertility Center of South Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
116,UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,100%,0%,0%,0%,65%,0%,0%,25%,9%,9%,5%,2%,18%,2%,13%,5%,13%,"George R. Attia, MD",27,9,5,3,63,0.666666667,0.4,0.333333333,55.6,0.666666667,0.4,0.333333333,(35.3Ð74.5),,,,57.7,0.666666667,0.666666667,0.5,62.5,0.666666667,0.666666667,0.5,33.3,0.444444444,0.666666667,0.5,3.7,0,0.4,0.333333333,2,1.9,2.7,2.5,0.529411765,0.666666667,0,0,0.058823529,0,0,0,0.466666667,0.333333333,0,0,2,1,3,0,0.5,0,0,=,2,2,2,=,1,0,1,=,2,=,University of Miami Infertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes,FL
117,AFFORDABLE IVF,,ORLANDO,FLORIDA,100%,0%,0%,0%,94%,0%,0%,23%,19%,6%,6%,<1%,16%,0%,9%,10%,11%,"Mark L. Jutras, MD",51,20,12,7,70.6,60,0.416666667,0.571428571,62.7,45,0.25,0.428571429,(48.1Ð75.9),(23.1Ð68.5),,,65.3,0.473684211,0.272727273,0.428571429,65.3,0.529411765,0.3,0.5,36.7,0.352941176,0.3,0.5,3.9,5,0.083333333,0,2,2,2.4,3,41.7,0.25,0.2,0,0,0,0,0.25,43.8,0.333333333,0,0,5,4,2,1,0,0,0,0,2,1.5,2.5,2,0,0,=,=,=,=,Affordable IVF,Yes,No,No,Yes,Yes,Yes,Yes,FL
118,"CENTER FOR REPRODUCTIVE MEDICINE, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,47%,<1%,2%,12%,14%,1%,4%,<1%,8%,2%,2%,28%,28%,"Randall A. Loy, MD",167,105,77,21,33.5,31.4,13,14.3,31.1,26.7,9.1,4.8,(24.2Ð38.8),(18.5Ð36.2),(3.7Ð17.8),(0.1Ð23.8),38,34.6,13,0.058823529,44.4,35.4,14,0.058823529,29.9,24.1,12,0.058823529,18,22.9,29.9,19,2,2,2.4,2.5,35.7,30.3,0.4,0,0,0,0,0,32.7,32.1,0.142857143,0,26,13,5,3,15.4,0.307692308,0,0.333333333,2,2.2,2.6,2,11,10,0.636363636,0.2,2.1,2.3,"Center for Reproductive Medicine, PA",Yes,Yes,No,Yes,Yes,Yes,Yes,FL
119,"FRANK C. RIGGALL, MD, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,50%,0%,0%,16%,8%,17%,4%,0%,20%,17%,11%,5%,1%,"Frank C. Riggall, MD",19,6,8,6,0.263157895,0.833333333,0.5,0,0.105263158,0.666666667,0.375,0,,,,,0.153846154,0.8,0.6,0,0.166666667,0.8,0.6,0,0,0.6,0.4,0,0.315789474,0.166666667,0.375,0.166666667,2.4,2.4,2.6,3,0.4,0.2,0.25,=,0,0,0,=,1,0.25,0.333333333,=,6,0,0,3,0,=,=,0,2.7,=,=,3.3,8,8,0,0.25,2.1,1.9,"Frank C. Riggall, MD, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
120,"NEW LEADERS IN INFERTILITY & ENDOCRINOLOGY, LLC",,PENSACOLA,FLORIDA,100%,0%,0%,0%,81%,0%,0%,10%,1%,1%,13%,0%,11%,5%,8%,25%,27%,"Barry A. Ripps, MD",38,11,14,13,31.6,0.090909091,0.214285714,0.230769231,26.3,0.090909091,0.142857143,0.076923077,(13.4Ð43.1),,,,31.3,0.125,0.153846154,0.111111111,32.3,0.142857143,0.166666667,0.111111111,25.8,0.142857143,0.166666667,0.111111111,15.8,0.272727273,0.071428571,0.307692308,2.9,2.3,3.4,3.1,0.166666667,0,0.333333333,0,0,0,0,0,0.2,0,0,0,3,5,4,0,0,0.4,0,=,2.3,2.8,1.5,=,0,0,=,=,=,=,"New Leaders in Infertility & Endocrinology, LLC",No,Yes,Yes,No,Yes,Yes,Pending,FL
121,"CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY, PA",,PLANTATION,FLORIDA,100%,0%,0%,0%,83%,0%,0%,<1%,0%,8%,<1%,5%,6%,5%,0%,21%,53%,"Mick AbaŽ, MD",33,24,22,5,30.3,33.3,18.2,0.2,27.3,16.7,13.6,0.2,(13.3Ð45.5),(4.7Ð37.4),(2.9Ð34.9),,29,18.2,14.3,0.2,32.1,0.25,0.1875,0.333333333,32.1,0.1875,0.0625,0.333333333,6.1,8.3,4.5,0,2.1,2.6,3.1,3,0.1,0.25,0.5,0,0,0,0,0,0,0.25,0.666666667,0,4,1,0,0,0.25,0,=,=,2.5,3,=,=,20,6,55,0.166666667,2.1,3,"Center for Advanced Reproductive Endocrinology, PA",Yes,No,Yes,Yes,Yes,Yes,Yes,FL
122,"FERTILITY CENTER AND APPLIED GENETICS OF FLORIDA, INC.",,SARASOTA,FLORIDA,100%,0%,0%,0%,56%,0%,6%,22%,5%,25%,5%,0%,14%,12%,4%,<1%,14%,"Julio E. Pabon, MD",62,34,18,12,45.2,23.5,0.388888889,0.416666667,33.9,17.6,0.333333333,0.083333333,(22.3Ð47.0),(6.8Ð34.5),,,42,25,0.428571429,0.1,45.7,27.3,0.428571429,0.125,32.6,27.3,0.285714286,0.125,19.4,29.4,0.222222222,0.166666667,2.2,2.4,2.6,3,25,0.25,0.285714286,0,7.1,0,0.142857143,0,28.6,0,0.333333333,0,3,1,0,0,0.333333333,0,=,=,1.7,2,=,=,12,8,0.833333333,0.125,2.3,2,"Fertility Center and Applied Genetics of Florida, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
123,SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FLORIDA,100%,0%,0%,0%,66%,0%,<1%,7%,<1%,4%,3%,<1%,22%,10%,<1%,11%,42%,"Maria Bustillo, MD",176,154,120,48,52.3,29.9,23.3,18.8,46,23.4,20.8,10.4,(38.5Ð53.7),(16.9Ð30.9),(14.0Ð29.2),(3.5Ð22.7),51.3,27.9,29.4,14.3,57,34.6,40.3,22.7,32.4,26.9,24.2,18.2,10.2,16.2,29.2,27.1,1.9,1.8,1.8,2.5,50,30.4,50,0.111111111,1.1,4.3,0,0,43.2,22.2,40,0.2,25,18,7,3,40,0.333333333,0.285714286,0,2.1,1.9,1.9,2.7,69,16,53.6,0.25,1.9,2.3,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
124,CENTER FOR REPRODUCTIVE MEDICINE,,TAMPA,FLORIDA,100%,0%,0%,0%,2%,0%,14%,8%,8%,11%,8%,1%,8%,12%,0%,31%,13%,"Stephen W. Welden, MD",25,8,12,12,40,0.75,0.25,0.166666667,40,0.75,0.25,0.083333333,(21.1Ð61.3),,,,41.7,0.75,0.25,0.083333333,41.7,0.75,0.25,0.083333333,25,0.5,0.25,0.083333333,4,0,0,0,2.3,3,2.7,3.7,0.3,0.333333333,0,0,0.2,0,0,0,0.4,0.333333333,0,0,0,0,0,0,=,=,=,=,=,=,=,=,17,0,0.470588235,=,2.3,=,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,No,No,FL
125,"CATHERINE COWART, MD","REPRODUCTIVE HEALTH ASSOCIATES, PA",TAMPA,FLORIDA,100%,0%,0%,0%,59%,0%,0%,5%,<1%,14%,3%,3%,26%,0%,7%,6%,37%,"Catherine Cowart, MD",37,23,19,12,16.2,21.7,0.052631579,0.166666667,10.8,8.7,0,0.166666667,(3.0Ð25.4),(1.1Ð28.0),,,12.5,10,0,0.2,12.9,10,0,0.2,9.7,0,0,0.2,13.5,13,0.315789474,0.166666667,2.1,2.5,2.8,4,0.5,0.4,0,0,0,0.2,0,0,0.25,1,=,0,0,2,1,0,=,0,0,=,=,2,2,=,7,1,0.285714286,0,2.3,2,"Catherine Cowart, MD, Reproductive Health Associates, PA",Yes,No,Yes,Yes,Yes,Yes,,FL
126,THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,>99%,0%,<1%,<1%,47%,<1%,1%,13%,4%,8%,9%,1%,20%,4%,14%,10%,16%,"Marc Bernhisel, MD",209,129,119,35,48.8,37.2,24.4,28.6,44,29.5,21.8,17.1,(37.2Ð51.0),(21.8Ð38.1),(14.8Ð30.4),(6.6Ð33.6),48.2,31.1,27.4,20,51.4,32.5,30.6,20.7,34.6,18.8,25.9,13.8,8.6,5.4,20.2,14.3,1.9,2.1,2.7,2.8,36.3,33.3,27.6,0.1,2,2.1,0,0.2,32.6,42.1,15.4,0.333333333,11,14,7,2,0.272727273,0.142857143,0.142857143,0,2.1,2.1,2.7,2.5,60,6,46.7,0.166666667,1.9,1.5,The Reproductive Medicine Group,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
127,F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,91%,7%,2%,0%,67%,0%,5%,4%,4%,29%,3%,0%,14%,<1%,<1%,18%,26%,"Minna R. Selub, MD",33,26,22,4,12.1,23.1,13.6,0,12.1,15.4,13.6,0,(3.4Ð28.2),(4.4Ð34.9),(2.9Ð34.9),,12.5,16.7,13.6,0,12.9,19,0.1875,0,9.7,9.5,0,0,3,7.7,0,0,3,3.2,2.9,3,0.25,0.166666667,1,=,0.25,0.166666667,0,=,0.25,0.5,1,=,4,2,0,0,0,0,=,=,3.5,2,=,=,38,3,31.6,0,3,3,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes,FL
128,FERTILITY CENTER OF ASSISTED REPRODUCTION & ENDOCRINOLOGY,,WINTER PARK,FLORIDA,100%,0%,0%,0%,45%,0%,0%,7%,11%,25%,2%,<1%,7%,3%,12%,19%,14%,"Mark P. Trolice, MD",84,42,25,15,48.8,35.7,36,0.2,40.5,26.2,24,0.133333333,(29.9Ð51.7),(13.9Ð42.0),(9.4Ð45.1),,41.5,27.5,28.6,0.153846154,47.9,30.6,0.352941176,0.181818182,38,19.4,0.352941176,0.090909091,2.4,4.8,16,0.133333333,2,2.4,2.2,2.4,22,0.333333333,0,0.333333333,0,0.066666667,0,0,20.6,0.363636364,0,0.5,13,8,1,1,0.153846154,0.25,0,0,1.8,2,3,2,22,5,40.9,0,1.9,2,Fertility Center of Assisted Reproduction & Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
129,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,ATLANTA,GEORGIA,100%,0%,0%,0%,73%,0%,0%,9%,5%,12%,5%,<1%,12%,10%,5%,29%,13%,"James P. Toner, MD, PhD",207,104,63,21,46.9,39.4,38.1,9.5,38.6,34.6,30.2,0,(32.0Ð45.6),(25.6Ð44.6),(19.2Ð43.0),(0.0Ð16.1),42.6,37.5,32.2,0,45.2,39.1,36.5,0,30.5,30.4,30.8,0,9.2,7.7,6.3,19,2.3,2.6,3.2,3.1,29.9,26.8,25,0,5.2,4.9,4.2,0,32.5,22.2,0.157894737,=,34,18,3,3,52.9,0.333333333,0.666666667,0,2.2,2.2,2.3,2,82,25,50,36,2.1,1.9,Atlanta Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GA
130,EMORY REPRODUCTIVE CENTER,,ATLANTA,GEORGIA,100%,0%,0%,0%,57%,0%,0%,9%,5%,15%,2%,<1%,12%,1%,4%,29%,24%,"Donna R. Session, MD",44,28,24,8,56.8,25,33.3,0.375,45.5,17.9,16.7,0.375,(30.4Ð61.2),(6.1Ð36.9),(4.7Ð37.4),,51.3,25,0.210526316,0.428571429,54.1,25,0.222222222,0.5,43.2,20,0.222222222,0.5,11.4,28.6,20.8,0.125,2.2,2.4,2.7,4.2,24,0.285714286,0,0.666666667,0,0,0,0,20,0.2,0,0,15,9,2,4,0.2,0.444444444,0,0,2,2.2,1.5,2.5,6,6,0.5,0.166666667,2.2,2.2,Emory Reproductive Center,Yes,Yes,Yes,Yes,Yes,No,Yes,GA
131,GEORGIA REPRODUCTIVE SPECIALISTS,,ATLANTA,GEORGIA,100%,0%,0%,0%,39%,0%,2%,11%,7%,9%,6%,<1%,15%,8%,13%,17%,13%,"Mark Perloe, MD",129,74,73,10,42.6,40.5,13.7,0.1,39.5,28.4,5.5,0.1,(31.0Ð48.5),(18.5Ð40.1),(1.5Ð13.4),,42.9,31.3,8.2,0.142857143,47.7,32.8,8.7,0.166666667,31.8,23.4,8.7,0,7.8,9.5,32.9,0.3,2.2,2.5,2.8,3.5,34.5,23.3,0.1,1,9.1,3.3,0,0,33.3,28.6,0,1,66,32,19,8,31.8,21.9,0.210526316,0.125,2,2.1,1.9,2.1,29,12,65.5,0.666666667,2.1,1.9,Georgia Reproductive Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GA
132,REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA,GEORGIA,100%,0%,0%,0%,83%,0%,0%,4%,8%,16%,6%,2%,12%,4%,4%,22%,21%,"Daniel B. Shapiro, MD",295,234,168,89,39.3,39.7,26.2,5.6,35.3,34.2,20.2,3.4,(29.8Ð41.0),(28.1Ð40.7),(14.4Ð27.1),(0.7Ð9.5),39.1,39.4,23,4.6,42.3,42.8,25.4,5.7,28.9,29.4,20.9,3.8,9.8,13.2,11.9,27,2.3,2.7,3.1,2.9,28.4,22.6,18.2,0.2,3.4,8.6,4.5,0,31.7,31.3,17.6,0.333333333,118,66,31,12,38.1,37.9,29,0.5,3,3.1,3.2,3.3,75,64,66.7,40.6,2.1,2.6,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GA
133,REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,,AUGUSTA,GEORGIA,100%,0%,0%,0%,59%,0%,0%,13%,16%,19%,16%,3%,3%,9%,16%,0%,6%,"Adelina M. Emmi, MD",15,2,7,5,0.666666667,0.5,0.428571429,0.4,0.6,0.5,0.428571429,0.4,,,,,0.6,0.5,0.428571429,0.5,0.6,0.5,0.428571429,0.5,0.333333333,0.5,0.285714286,0.25,0,0,0,0.2,2.5,2.5,2.9,2.3,0.3,0,0.666666667,0,0.1,0,0,0.5,0.444444444,0,0.333333333,0.5,0,1,0,0,=,0,=,=,=,2,=,=,1,0,0,=,2,=,Reproductive Medicine and Infertility Associates,Yes,No,Yes,No,Yes,Yes,Yes,GA
134,SERVY INSTITUTE FOR REPRODUCTIVE ENDOCRINOLOGY,,AUGUSTA,GEORGIA,100%,0%,0%,0%,31%,0%,0%,14%,5%,5%,0%,10%,24%,0%,0%,19%,24%,"Edouard Servy, MD",10,4,0,1,0.4,0,=,1,0.4,0,=,1,,,,,0.5,0,=,1,0.5,0,=,1,0.5,0,=,1,0.2,0.5,=,0,2.4,2,=,4,0,=,=,0,0,=,=,0,0,=,=,0,2,1,2,0,1,0,0,=,2.5,1,2,=,0,0,=,=,=,=,Servy Institute for Reproductive Endocrinology,Yes,No,No,No,Yes,Yes,Yes,GA
135,"COLUMBUS CENTER FOR REPRODUCTIVE ENDOCRINOLOGY & INFERTILITY, LLC",,COLUMBUS,GEORGIA,100%,0%,0%,0%,34%,0%,6%,17%,28%,3%,3%,4%,3%,0%,17%,14%,13%,"Prakash J. Thiruppathi, MD",30,12,6,1,43.3,0.583333333,0,1,36.7,0.333333333,0,0,(19.9Ð56.1),,,,36.7,0.4,0,0,40.7,0.444444444,0,0,14.8,0.444444444,0,0,0,0.166666667,0.166666667,0,2.7,2.9,3.2,3,0.538461538,0,=,0,0,0.142857143,=,0,0.636363636,0,=,=,10,2,1,1,0.2,0,0,0,3.4,4,3,3,5,1,0.6,0,2.2,3,"Columbus Center for Reproductive Endocrinology & Infertility, LLC",Yes,Yes,Yes,Yes,Yes,No,Yes,GA
136,CENTRAL GEORGIA FERTILITY INSTITUTE,,MACON,GEORGIA,100%,0%,0%,0%,47%,0%,0%,20%,0%,2%,8%,3%,18%,2%,7%,20%,21%,"William J. Butler, MD",30,7,11,1,43.3,0.428571429,0.272727273,0,33.3,0.428571429,0.272727273,0,(17.3Ð52.8),,,,35.7,0.6,0.375,=,38.5,0.6,0.375,=,19.2,0.2,0.375,=,6.7,0.285714286,0.272727273,1,2,2,2.6,=,0.384615385,0.666666667,0,=,0,0,0,=,0.5,0.666666667,0,=,5,4,1,0,0.6,0.25,0,=,2,2,2,=,0,0,=,=,=,=,Central Georgia Fertility Institute,No,No,Yes,No,Yes,Yes,Yes,GA
137,GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,,SAVANNAH,GEORGIA,100%,0%,0%,0%,37%,0%,1%,20%,12%,13%,4%,0%,13%,2%,4%,15%,18%,"Patrick L. Blohm, MD",50,22,11,6,58,68.2,0.636363636,0.333333333,54,59.1,0.636363636,0.166666667,(39.3Ð68.2),(36.4Ð79.3),,,61.4,59.1,0.636363636,0.2,65.9,59.1,0.7,0.2,39,31.8,0.6,0.2,12,0,0,0.166666667,2.5,2.8,2.9,2.6,31,0.266666667,0.142857143,0,10.3,0.2,0.142857143,0,40.7,0.461538462,0.142857143,0,14,8,3,0,0.428571429,0.375,0.333333333,=,2.1,2,1.7,=,12,5,0.666666667,0.4,2.7,2.4,Georgia Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,No,No,GA
138,ADVANCED REPRODUCTIVE CENTER OF HAWAII,,HONOLULU,HAWAII,100%,0%,0%,0%,56%,0%,0%,<1%,2%,7%,8%,<1%,8%,3%,0%,8%,64%,"Christopher T. Huang, MD",14,19,31,19,0.285714286,0.210526316,32.3,0.368421053,0.142857143,0.157894737,19.4,0.263157895,,,(7.5Ð37.5),,0.166666667,0.1875,28.6,0.3125,0.181818182,0.2,28.6,0.357142857,0,0.133333333,19,0.357142857,0.142857143,0.157894737,32.3,0.157894737,3,3.3,3.2,2.9,0.25,0.5,0.2,0,0.5,0,0,0,1,0.333333333,0.333333333,0,4,0,0,0,0.5,=,=,=,2,=,=,=,9,2,0.777777778,0.5,2.1,1.5,Advanced Reproductive Center of Hawaii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HI
139,PACIFIC IN VITRO FERTILIZATION INSTITUTE,,HONOLULU,HAWAII,100%,0%,0%,0%,44%,0%,<1%,9%,3%,7%,6%,0%,12%,1%,2%,19%,40%,"Thomas S. Kosasa, MD",80,59,46,29,32.5,32.2,17.4,3.4,25,25.4,13,3.4,(16.0Ð35.9),(15.0Ð38.4),(4.9Ð26.3),(0.1Ð17.8),27.8,26.8,15.4,4.8,32.8,30.6,17.6,5,18,16.3,11.8,5,10,5.1,15.2,27.6,2.8,3.4,3.5,4.2,42.3,0.473684211,0.125,0,15.4,0,0.125,0,45,0.466666667,0.333333333,0,18,22,10,3,0.444444444,45.5,0.5,0.333333333,2.1,2.2,2.4,2.3,30,9,50,0.777777778,2.2,2,Pacific In Vitro Fertilization Institute,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HI
140,TRIPLER ARMY MEDICAL CENTER IVF INSTITUTE,,TRIPLER AMC,HAWAII,100%,0%,0%,0%,68%,0%,0%,31%,5%,0%,3%,0%,33%,3%,6%,8%,13%,"Richard S. Lucidi, MD",27,16,11,5,33.3,0.3125,0.363636364,0,29.6,0.25,0.363636364,0,(13.8Ð50.2),,,,32,0.25,0.363636364,0,32,0.25,0.363636364,0,8,0.1875,0.363636364,0,7.4,0,0,0.4,2.8,2.8,3.3,2.3,0.666666667,0.4,0,=,0,0,0,=,0.75,0.25,0,=,8,11,2,0,0.5,0.272727273,0,=,2,2.3,2.5,=,0,0,=,=,=,=,Tripler Army Medical Center IVF Institute,No,No,Yes,No,Yes,Yes,Yes,HI
