OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
91,YALE FERTILITY CENTER,,NEW HAVEN,CONNECTICUT,100%,0%,0%,0%,48%,<1%,<1%,5%,11%,3%,10%,7%,2%,15%,23%,11%,9%,11%,"Pasquale Patrizio, MD",129,74,105,40,17,51.2,39.2,25.7,10,0.058823529,45,35.1,21,7.5,0.058823529,(36.2Ð54.0),(24.4Ð47.1),(13.6Ð30.0),(1.6Ð20.4),,49.6,36.6,25.6,9.7,0.0625,54.7,38.8,27.8,11.5,0.083333333,38.7,26.9,20.3,7.7,0.083333333,9.3,4.1,18.1,22.5,0.058823529,2.4,2.8,2.9,2.9,2,27.3,24.1,25.9,0.25,0,7.6,3.4,3.7,0,0,29.3,30.8,27.3,0.333333333,0,6,4,3,5,1,0.333333333,0.25,0.333333333,0,0,2.3,3,2.3,3,3,33,21,57.6,14.3,2.5,2.6,Yale Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CT
92,REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT,,NORWALK,CONNECTICUT,100%,0%,0%,0%,49%,<1%,<1%,6%,6%,16%,13%,1%,1%,11%,7%,19%,9%,16%,"Mark P. Leondires, MD",201,133,135,51,21,48.8,39.1,26.7,17.6,9.5,43.3,34.6,22.2,9.8,9.5,(36.3Ð50.4),(26.6Ð43.3),(15.5Ð30.2),(3.3Ð21.4),(1.2Ð30.4),48.3,39.7,28.6,14.7,0.133333333,48.9,40.7,30.3,16.7,0.142857143,34.3,24.8,28.3,10,0.142857143,10.4,12.8,22.2,33.3,28.6,2.2,2.5,3,4,5.2,27.6,40.4,25,0.222222222,0,3.1,7.7,2.8,0,0,29.9,39.1,6.7,0.4,0,22,18,4,0,0,18.2,0.388888889,0,=,=,2.2,2.4,2.5,=,=,39,16,61.5,0.375,2.1,2.1,Reproductive Medicine Associates of Connecticut,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CT
93,NEW ENGLAND FERTILITY INSTITUTE,,STAMFORD,CONNECTICUT,100%,0%,0%,0%,74%,<1%,4%,18%,9%,5%,26%,3%,<1%,18%,15%,14%,4%,5%,"Gad Lavy, MD",60,67,76,27,17,43.3,29.9,26.3,3.7,0,28.3,20.9,15.8,3.7,0,(17.5Ð41.4),(11.9Ð32.6),(8.4Ð26.0),(0.1Ð19.0),,28.3,21.9,16.7,4,0,29.3,22.6,18.5,5,0,20.7,21,15.4,5,0,0,4.5,5.3,7.4,0.117647059,2.4,2.5,2.5,2.3,2.9,15.4,10,10,0,=,3.8,0,0,0,=,0.294117647,0.071428571,0.166666667,0,=,34,28,22,11,1,23.5,14.3,18.2,0.181818182,0,2.4,2.6,2.4,2.5,2,54,55,44.4,21.8,2.4,2.5,New England Fertility Institute,Yes,Yes,Yes,Yes,Yes,Yes,Yes,CT
94,THE STAMFORD HOSPITAL,,STAMFORD,CONNECTICUT,100%,0%,0%,0%,35%,0%,0%,0%,8%,5%,0%,0%,0%,24%,3%,24%,16%,21%,"Frances W. Ginsburg, MD",10,11,4,1,0,0.5,0.272727273,0.75,0,=,0.5,0.090909091,0.5,0,=,,,,,,0.5,0.111111111,0.5,=,=,0.5,0.142857143,0.666666667,=,=,0.4,0.142857143,0.333333333,=,=,0,0.181818182,0,1,=,2,2.4,2.7,=,=,0.2,0,0.666666667,=,=,0,0,0,=,=,0.2,0,0.5,=,=,5,2,5,0,0,0.2,0,0.4,=,=,2,2.5,2.6,=,=,0,0,=,=,=,=,The Stamford Hospital,No,No,Yes,No,Yes,Yes,Yes,CT
95,PARK AVENUE FERTILITY AND REPRODUCTIVE MEDICINE,,TRUMBULL,CONNECTICUT,100%,0%,0%,0%,88%,<1%,0%,5%,12%,6%,15%,1%,<1%,30%,5%,21%,3%,7%,"Andrew Levi, MD",83,50,47,18,13,43.4,24,23.4,0.166666667,0,37.3,22,19.1,0.055555556,0,(27.0Ð48.7),(11.5Ð36.0),(9.1Ð33.3),,,37.3,24.4,20.9,0.055555556,0,38.3,28.9,25,0.071428571,0,25.9,26.3,22.2,0,0,0,10,8.5,0,0.153846154,2.1,2.3,2.5,3.2,2,33.3,0.083333333,0.090909091,0.333333333,=,0,0,0,0,=,32.3,0.090909091,0.111111111,1,=,15,8,3,0,0,0.066666667,0.5,0.666666667,=,=,2.1,2.4,3,=,=,7,0,0.428571429,=,2.1,=,Park Avenue Fertility and Reproductive Medicine,Yes,No,Yes,Yes,Yes,No,No,CT
96,REPRODUCTIVE ASSOCIATES OF DELAWARE,,NEWARK,DELAWARE,100%,0%,0%,0%,76%,0%,0%,2%,11%,2%,5%,8%,3%,7%,4%,<1%,39%,21%,"Ronald F. Feinberg, MD, PhD",116,55,46,8,7,48.3,32.7,28.3,0.125,0,42.2,23.6,13,0,0,(33.1Ð51.8),(13.2Ð37.0),(4.9Ð26.3),,,50,34.2,19.4,0,0,55.1,39.4,20.7,0,0,44.9,30.3,20.7,0,0,15.5,30.9,32.6,0.25,0.285714286,1.4,1.7,1.9,2.5,2.5,14.3,0.222222222,0,0,=,1.8,0.055555556,0,0,=,18.4,0.230769231,0,=,=,46,26,20,3,1,52.2,34.6,20,0.333333333,0,1.8,1.8,1.7,1.7,2,7,12,0.285714286,0.416666667,1.3,1.6,Reproductive Associates of Delaware,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DE
97,"THE A.R.T. INSTITUTE OF WASHINGTON, INC.",WALTER REED ARMY MEDICAL CENTER,WASHINGTON,DISTRICT OF COLUMBIA,100%,0%,0%,0%,64%,0%,0%,<1%,20%,7%,6%,4%,<1%,30%,1%,11%,10%,11%,"James Segars, MD",226,121,80,27,0,55.3,40.5,33.8,25.9,=,42.9,32.2,28.8,14.8,=,(36.4Ð49.7),(24.0Ð41.3),(19.2Ð40.0),(4.2Ð33.7),,45.1,33.6,30.7,16,=,45.5,34.8,32.9,16.7,=,29.6,23.2,24.3,16.7,=,4.9,4.1,6.3,7.4,=,2,2.1,2.7,3.2,=,37.6,32.7,37,0.428571429,=,0.8,2,7.4,0,=,35.1,33.3,26.1,0,=,12,4,6,3,0,0.25,0,0.166666667,0,=,2.2,2,2.3,1.7,=,0,0,=,=,=,=,"The A.R.T. Institute of Washington, Inc., Walter Reed Army Medical Center",No,No,Yes,No,Yes,Yes,Yes,DC
98,COLUMBIA FERTILITY ASSOCIATES,,WASHINGTON,DISTRICT OF COLUMBIA,100%,0%,0%,0%,56%,<1%,<1%,2%,6%,4%,16%,2%,2%,17%,8%,10%,15%,21%,"Safa Rifka, MD",122,89,90,70,54,37.7,46.1,25.6,21.4,9.3,32.8,39.3,22.2,14.3,5.6,(24.6Ð41.9),(29.1Ð50.3),(14.1Ð32.2),(7.1Ð24.7),(1.2Ð15.4),35.7,41.7,27.4,16.9,7.5,36,44.3,29,17.9,8.3,24.3,34.2,15.9,16.1,5.6,8.2,5.6,18.9,15.7,25.9,2.5,2.5,2.8,3,3.2,30.4,26.8,34.8,0.133333333,0.4,6.5,2.4,8.7,0,0,32.5,22.9,45,0.1,0.333333333,24,13,17,8,2,16.7,0.384615385,0.058823529,0.125,0,2,2.3,1.6,1.8,2,30,13,36.7,0.384615385,2.6,2.2,Columbia Fertility Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DC
99,THE GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES,,WASHINGTON,DISTRICT OF COLUMBIA,100%,0%,0%,0%,88%,<1%,<1%,10%,5%,3%,11%,0%,1%,12%,3%,63%,<1%,2%,"Paul Gindoff, MD",65,61,70,36,26,35.4,29.5,27.1,19.4,3.8,29.2,27.9,21.4,8.3,3.8,(18.6Ð41.8),(17.1Ð40.8),(12.5Ð32.9),(1.8Ð22.5),(0.1Ð19.6),32.2,29.3,23.8,8.8,4.5,35.2,31.5,25,9.4,0.058823529,25.9,31.5,18.3,9.4,0.058823529,9.2,4.9,10,5.6,15.4,2.2,2.4,3,3,2.4,17.4,0.055555556,0.157894737,0,0,4.3,0,0.052631579,0,0,0.263157895,0,0.266666667,0,0,19,19,10,1,2,0.210526316,0.105263158,0.2,0,0,2.4,2.5,2.6,1,3.5,19,13,0.315789474,0.153846154,2.1,2.4,The George Washington University Medical Faculty Associates,Yes,No,Yes,Yes,Yes,Yes,Yes,DC
100,"JAMES A. SIMON, MD, PC",,WASHINGTON,DISTRICT OF COLUMBIA,100%,0%,0%,0%,13%,0%,0%,0%,0%,0%,50%,10%,0%,10%,0%,0%,10%,20%,"James A. Simon, MD",1,3,2,2,0,0,0.333333333,0.5,0,=,0,0.333333333,0.5,0,=,,,,,,0,0.5,1,0,=,0,0.5,1,0,=,0,0.5,1,0,=,0,0.333333333,0.5,0.5,=,1,2,4,3,=,=,0,0,=,=,=,0,0,=,=,=,0,0,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,2,0,0,=,4,=,"James A. Simon, MD, PC",Yes,No,Yes,No,Yes,Yes,Yes,DC
101,BOCAFERTILITY,,BOCA RATON,FLORIDA,100%,0%,0%,0%,32%,0%,3%,7%,9%,13%,32%,3%,2%,7%,4%,2%,15%,13%,"Maurice (Moshe) R. Peress, MD",23,22,9,12,7,52.2,27.3,0,0.333333333,0,43.5,22.7,0,0.083333333,0,(23.2Ð65.5),(7.8Ð45.4),,,,45.5,25,0,0.083333333,0,45.5,0.294117647,0,0.090909091,0,27.3,0.176470588,0,0.090909091,0,4.3,9.1,0,0,0.142857143,2.5,2.6,3,3.5,3.5,0.25,0.5,=,0,=,0.083333333,0,=,0.25,=,0.4,0.4,=,0,=,1,0,3,0,0,0,=,0.333333333,=,=,3,=,1.7,=,=,13,1,0.615384615,1,2.2,2,BocaFertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
102,PALM BEACH FERTILITY CENTER,,BOCA RATON,FLORIDA,100%,0%,0%,0%,91%,0%,4%,18%,2%,0%,12%,0%,2%,5%,4%,<1%,14%,61%,"Mark S. Denker, MD",20,24,22,9,4,35,25,13.6,0.111111111,0,30,25,9.1,0.111111111,0,(11.9Ð54.3),(9.8Ð46.7),(1.1Ð29.2),,,30,25,0.117647059,0.111111111,0,0.333333333,26.1,0.153846154,0.166666667,0,0.111111111,21.7,0.153846154,0.166666667,0,0,0,22.7,0,0,2,2.2,2,2,1.5,0.714285714,0.166666667,0,0,=,0,0,0,0,=,0.666666667,0.166666667,0,0,=,3,4,3,1,0,0.333333333,0,0.333333333,0,=,1.7,1.3,1.7,2,=,12,6,0.5,0.333333333,2,1.7,Palm Beach Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
103,"ADVANCED REPRODUCTIVE CARE CENTER, PA",,BOYNTON BEACH,FLORIDA,100%,0%,0%,0%,58%,0%,0%,0%,8%,0%,8%,0%,0%,31%,8%,26%,8%,13%,"Tibor E. Polcz, MD",11,4,7,5,4,0.545454545,0.25,0.571428571,0,0.25,0.454545455,0,0.428571429,0,0,,,,,,0.5,0,0.428571429,0,0,0.5,0,0.428571429,0,0,0.4,0,0.142857143,0,0,0.090909091,0,0,0,0,2.4,2.7,3.6,2.5,2,0.166666667,0,0.5,=,0,0,0,0,=,0,0.2,=,0.666666667,=,=,3,2,1,0,0,0.333333333,0,0,=,=,2.3,3,3,=,=,0,2,=,0.5,=,3,"Advanced Reproductive Care Center, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
104,FLORIDA FERTILITY INSTITUTE,,CLEARWATER,FLORIDA,100%,0%,0%,0%,83%,0%,0%,2%,9%,4%,17%,4%,0%,13%,3%,2%,25%,23%,"Mark D. Sanchez, MD",63,29,25,5,4,46,37.9,20,0,0,41.3,34.5,12,0,0,(29.0Ð54.4),(17.9Ð54.3),(2.5Ð31.2),,,41.3,34.5,14.3,0,0,42.6,40,0.166666667,0,0,24.6,20,0.111111111,0,0,0,0,16,0,0,2.7,2.5,2.4,2.3,2.8,41.4,0.272727273,0.4,=,=,10.3,0.272727273,0,=,=,42.3,0.5,0.333333333,=,=,3,1,2,0,0,0,1,0.5,=,=,2,3,4,=,=,31,5,45.2,0.8,2.7,3,Florida Fertility Institute,Yes,No,Yes,Yes,Yes,No,Yes,FL
105,INFERTILITY AND REPRODUCTIVE MEDICINE OF SOUTH BROWARD,"KENNETH M. GELMAN, MD",COOPER CITY,FLORIDA,100%,0%,0%,0%,88%,0%,0%,17%,9%,30%,5%,6%,0%,19%,0%,4%,8%,18%,"Kenneth M. Gelman, MD",28,14,22,11,6,39.3,0.357142857,9.1,0,0,28.6,0.214285714,4.5,0,0,(13.2Ð48.7),,(0.1Ð22.8),,,30.8,0.214285714,4.8,0,0,34.8,0.3,0.058823529,0,=,30.4,0.2,0.058823529,0,=,7.1,0,4.5,0.272727273,0.166666667,2.9,3,3.1,2.8,=,0.181818182,0.4,1,=,=,0,0,0,=,=,0.125,0.333333333,0,=,=,8,3,2,0,0,0.125,0.333333333,0,=,=,2.9,3.3,3.5,=,=,0,0,=,=,=,=,"Infertility and Reproductive Medicine of South Broward, Kenneth M. Gelman, MD",No,No,Yes,No,Yes,No,Pending,FL
106,"SOUTHWEST FLORIDA FERTILITY CENTER, PA",,FORT MYERS,FLORIDA,100%,0%,0%,0%,14%,0%,0%,0%,7%,0%,4%,0%,0%,20%,22%,18%,7%,22%,"Jacob L. Glock, MD",17,10,9,5,1,0.294117647,0.1,0.111111111,0,0,0.294117647,0.1,0.111111111,0,0,,,,,,0.294117647,0.1,0.111111111,0,0,0.3125,0.166666667,0.125,0,=,0.25,0.166666667,0,0,=,0,0,0,0,0,2.4,2.2,2.6,1.7,=,0,0,0,=,=,0.2,0,1,=,=,0.2,0,1,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,3,0,1,=,2,=,"Southwest Florida Fertility Center, PA",Yes,No,Yes,Yes,Yes,Yes,Yes,FL
107,"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, PA","CRAIG R. SWEET, MD",FORT MYERS,FLORIDA,100%,0%,0%,0%,83%,0%,1%,42%,17%,2%,14%,10%,2%,22%,15%,<1%,2%,14%,"Craig R. Sweet, MD",35,35,12,6,1,57.1,62.9,0.333333333,0,0,57.1,51.4,0.333333333,0,0,(39.4Ð73.7),(34.0Ð68.6),,,,58.8,64.3,0.444444444,0,0,60.6,69.2,0.5,0,0,39.4,30.8,0.375,0,0,2.9,20,0.25,0,0,2.1,2.2,2.6,1.7,2,45,50,0.25,=,=,5,9.1,0.25,=,=,35,0.555555556,0.25,=,=,4,4,0,1,0,0,0,=,0,=,1.5,1.8,=,2,=,14,9,0.571428571,0.111111111,2.1,2.8,"Specialists in Reproductive Medicine & Surgery, PA, Craig R. Sweet, MD",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
108,UNIVERSITY OF FLORIDA WOMEN'S HEALTH AT MAGNOLIA PARKE,,GAINESVILLE,FLORIDA,100%,0%,0%,0%,34%,0%,2%,5%,9%,3%,<1%,9%,0%,16%,15%,3%,28%,18%,"R. Stan Williams, MD",43,16,16,7,0,44.2,0.3125,0.125,0,=,41.9,0.3125,0.125,0,=,(27.0Ð57.9),,,,,46.2,0.333333333,0.181818182,0,=,51.4,0.384615385,0.222222222,0,=,42.9,0.307692308,0.111111111,0,=,9.3,0.0625,0.3125,0.571428571,=,2,2.2,2.3,2.5,=,0.157894737,0.2,0.5,=,=,0,0,0,=,=,0.166666667,0.2,0.5,=,=,5,1,0,0,0,0,0,=,=,=,1,2,=,=,=,10,1,0.6,1,2,2,University of Florida Women's Health at Magnolia Parke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
109,ASSISTED FERTILITY PROGRAM OF NORTH FLORIDA,,JACKSONVILLE,FLORIDA,84%,16%,0%,0%,20%,0%,2%,0%,21%,19%,24%,0%,2%,10%,4%,6%,7%,7%,"Marwan M. Shaykh, MD",33,12,3,2,0,30.3,0.166666667,0.333333333,0,=,9.1,0.083333333,0,0,=,(1.9Ð24.3),,,,,10.3,0.083333333,0,0,=,10.3,0.083333333,0,0,=,6.9,0.083333333,0,0,=,12.1,0,0,0.5,=,2.8,2.9,4,2,=,0.2,0,0,=,=,0,0,0,=,=,0.333333333,0,=,=,=,0,2,0,1,0,=,0,=,0,=,=,2,=,3,=,9,3,0.111111111,0,2.8,2.7,Assisted Fertility Program of North Florida,Yes,Yes,Yes,Yes,Yes,Yes,Pending,FL
110,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,73%,0%,<1%,<1%,6%,3%,7%,5%,<1%,30%,3%,3%,6%,37%,"Kevin L. Winslow, MD",276,123,85,34,7,39.5,26.8,25.9,17.6,0,36.6,20.3,17.6,14.7,0,(30.9Ð42.6),(13.6Ð28.5),(10.2Ð27.4),(5.0Ð31.1),,41.9,22.3,20.5,18.5,0,46.1,23.6,20.5,20,0,27.9,14.2,16.4,16,0,12.7,8.9,14.1,20.6,0.142857143,2.6,3,3.3,3.6,3.5,35.8,30.3,22.7,0.166666667,=,5.5,6.1,9.1,0.166666667,=,39.6,40,0.2,0.2,=,125,55,30,28,4,39.2,29.1,16.7,25,0.5,2.4,2.4,2.7,2.7,2.3,80,35,43.8,28.6,2.5,2.5,Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
111,JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,31%,0%,0%,0%,3%,3%,7%,2%,0%,5%,<1%,0%,51%,30%,"Michael D. Fox, MD",55,26,14,3,0,21.8,30.8,0.142857143,0,=,18.2,26.9,0.071428571,0,=,(9.1Ð30.9),(11.6Ð47.8),,,,22.2,28,0.090909091,0,=,22.7,30.4,0.090909091,0,=,9.1,21.7,0.090909091,0,=,18.2,3.8,0.214285714,0.333333333,=,2.3,2.5,2.5,2,=,0.416666667,0.125,0,=,=,0.166666667,0.125,0,=,=,0.6,0.285714286,0,=,=,8,2,0,0,0,0.25,0,=,=,=,2.1,2,=,=,=,6,3,0.333333333,0.333333333,2.3,2.3,Jacksonville Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Pending,FL
112,"GENE F. MANKO, MD, INC.",,JUPITER,FLORIDA,100%,0%,0%,0%,75%,0%,0%,0%,12%,4%,0%,3%,1%,31%,5%,18%,7%,18%,"Gene F. Manko, MD",30,25,14,9,1,50,36,0.214285714,0.111111111,0,43.3,20,0.214285714,0,0,(25.5Ð62.6),(6.8Ð40.7),,,,52,22.7,0.272727273,0,0,0.722222222,0.294117647,0.5,0,0,0.222222222,0.176470588,0.333333333,0,0,16.7,12,0.214285714,0.111111111,0,2.1,1.9,2,1.3,2,0.733333333,0.222222222,0.333333333,1,=,0,0,0,0,=,0.692307692,0.4,0.333333333,=,=,5,5,0,0,0,0,0,=,=,=,2.6,1.8,=,=,=,1,2,1,0.5,3,3,"Gene F. Manko, MD, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes,FL
113,IVF FLORIDA,,MARGATE,FLORIDA,100%,0%,0%,0%,70%,0%,0%,1%,13%,6%,23%,7%,<1%,17%,4%,12%,7%,9%,"David I. Hoffman, MD",280,177,156,42,40,36.1,31.6,28.2,9.5,2.5,31.1,26,19.2,7.1,2.5,(25.7Ð36.9),(19.7Ð33.1),(13.4Ð26.3),(1.5Ð19.5),(0.1Ð13.2),35.1,29.9,23.4,11.1,4.2,37.3,31.7,25.6,12.5,4.5,25.3,22.1,20.5,12.5,4.5,11.4,13,17.9,35.7,40,2.1,2.5,2.9,3.5,3.9,28.7,32.1,20.5,0,0,2,1.8,2.3,0,0,32.2,30.4,20,0,0,69,33,26,6,0,39.1,39.4,30.8,0.333333333,=,2.1,2.1,2.2,2.3,=,83,28,48.2,35.7,2.1,2.3,IVF Florida,Yes,No,Yes,Yes,Yes,Yes,Yes,FL
114,FERTILITY & REPRODUCTIVE MEDICINE CENTER FOR WOMEN,,MELBOURNE,FLORIDA,100%,0%,0%,0%,44%,0%,0%,0%,7%,3%,11%,1%,0%,10%,0%,7%,27%,34%,"Diran Chamoun, MD",18,13,13,9,1,0.5,0.461538462,0.230769231,0.111111111,0,0.5,0.307692308,0.230769231,0.111111111,0,,,,,,0.5625,0.333333333,0.272727273,0.111111111,0,0.6,0.333333333,0.272727273,0.142857143,0,0.266666667,0.25,0.181818182,0,0,0.111111111,0.076923077,0.153846154,0,0,2.5,2.7,2.6,2.1,2,0.555555556,0.166666667,0.333333333,1,=,0.111111111,0,0,0,=,0.555555556,0.25,0.333333333,1,=,0,0,0,0,1,=,=,=,=,0,=,=,=,=,3,9,4,0.555555556,0.25,2.3,2.3,Fertility & Reproductive Medicine Center for Women,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
115,"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,100%,0%,0%,0%,84%,0%,1%,6%,10%,5%,6%,<1%,<1%,18%,7%,5%,13%,35%,"Michael H. Jacobs, MD",154,111,102,34,21,48.1,35.1,28.4,26.5,9.5,43.5,27,13.7,20.6,0,(35.5Ð51.7),(19.0Ð36.3),(7.7Ð22.0),(8.7Ð37.9),(0.0Ð16.1),47.2,29.7,17.3,28,0,49.3,30.3,18.4,28,0,29.4,21.2,17.1,24,0,7.8,9,20.6,26.5,23.8,2.2,2.4,2.9,2.9,3.2,36.5,33.3,13.8,0,0,2.7,0,0,0.111111111,0,40.3,30,0.071428571,0.142857143,=,39,22,12,6,1,33.3,63.6,0.5,0.5,1,2.2,2.2,2.1,2.7,2,38,6,52.6,0.166666667,2.2,2.5,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
116,PALMETTO FERTILITY CENTER OF SOUTH FLORIDA,,MIAMI,FLORIDA,100%,0%,0%,0%,77%,0%,0%,2%,14%,10%,12%,1%,<1%,16%,5%,7%,9%,26%,"Michael D. Graubert, MD",48,42,24,7,2,60.4,40.5,33.3,0.142857143,0,52.1,31,29.2,0.142857143,0,(37.2Ð66.7),(17.6Ð47.1),(12.6Ð51.1),,,53.2,34.2,31.8,0.142857143,0,58.1,35.1,0.368421053,0.142857143,0,41.9,24.3,0.263157895,0.142857143,0,2.1,9.5,8.3,0,0,2.3,2.8,3.1,3.4,4.5,24.1,0.411764706,0.125,0,=,3.4,0,0.125,0,=,28,0.307692308,0.285714286,0,=,3,4,4,0,0,0.333333333,0.5,0.5,=,=,2.7,2,3,=,=,8,1,0.75,1,2,2,Palmetto Fertility Center of South Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
117,UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,100%,0%,0%,0%,60%,0%,0%,0%,30%,5%,3%,6%,1%,21%,9%,12%,5%,7%,"George R. Attia, MD",27,19,20,6,5,25.9,0.210526316,20,0.166666667,0,25.9,0.157894737,15,0.166666667,0,(11.1Ð46.3),,(3.2Ð37.9),,,28,0.1875,0.176470588,0.166666667,0,28,0.2,0.176470588,0.2,0,20,0.2,0.058823529,0,0,7.4,0.157894737,15,0,0,2.1,2,2,2.4,2,0.285714286,0.25,0.5,1,=,0,0,0,0,=,0.285714286,0,0.666666667,1,=,8,3,2,0,0,0.375,0.333333333,0,=,=,2.1,2,2,=,=,3,0,0.333333333,=,2,=,University of Miami Infertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes,FL
118,AFFORDABLE IVF,,ORLANDO,FLORIDA,100%,0%,0%,0%,98%,0%,0%,0%,17%,2%,7%,2%,0%,45%,2%,9%,5%,12%,"Mark L. Jutras, MD",33,13,5,2,1,57.6,0.461538462,0.4,0.5,0,48.5,0.384615385,0.4,0.5,0,(30.8Ð66.5),,,,,50,0.384615385,0.4,0.5,0,51.6,0.384615385,0.4,1,0,45.2,0.307692308,0.4,1,0,3,0,0,0,0,1.9,2.3,2.2,5,4,0.210526316,0.166666667,0.5,0,=,0,0.166666667,0,0,=,0.125,0.2,0,0,=,3,1,0,0,0,0.333333333,1,=,=,=,1.7,2,=,=,=,0,0,=,=,=,=,Advanced Reproductive Concepts,Yes,No,No,Yes,Yes,Yes,Yes,FL
119,"CENTER FOR REPRODUCTIVE MEDICINE, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,49%,0%,3%,4%,8%,12%,3%,3%,<1%,12%,8%,<1%,28%,25%,"Randall A. Loy, MD",150,100,56,24,7,37.3,27,25,12.5,0,31.3,20,12.5,8.3,0,(24.0Ð39.4),(12.7Ð29.2),(5.2Ð24.1),(1.0Ð27.0),,40.5,22.7,15.9,0.133333333,0,43.9,25.3,16.7,0.153846154,0,25.2,13.9,11.9,0.153846154,0,22.7,12,21.4,37.5,0.285714286,2.1,2.2,2.8,2.5,1.8,35.7,33.3,0.285714286,0,=,3.6,3.7,0,0,=,42.6,45,0.285714286,0,=,25,9,4,2,2,24,0,0.25,0,0,2.7,2.2,2.8,3,2.5,14,9,0.357142857,0.333333333,1.9,2,"Center for Reproductive Medicine, PA",Yes,Yes,No,Yes,Yes,Yes,Yes,FL
