PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,Medicaldirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinicNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
UNIVERSITY OF ALABAMA AT BIRMINGHAM,,BIRMINGHAM,ALABAMA,82%,18%,0%,0%,31%,0%,19%,5%,9%,6%,0%,21%,0%,6%,19%,15%,"Michael P. Steinkampf, M.D.",89,38,23,10,27,26.3,26.1,0.2,23.6,23.7,26.1,0,-17.6,-27,-35.9,=,23.9,25.7,0.315789474,0,24.1,25.7,0.333333333,0,1.1,7.9,17.4,0.2,4.4,4.8,5.4,6.6,8.3,0.1,0.166666667,0,20.8,0.1,0.333333333,0,33.3,0.111111111,0.5,=,3,2,0,0,0,0,=,=,1.7,1.5,=,=,10,0,0.2,=,5,=,University of Alabama at Birmingham,Yes,No,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MOBILE,ALABAMA,100%,0%,0%,0%,54%,0%,10%,4%,0%,9%,0%,5%,14%,<1%,30%,27%,"George T. Koulianos, M.D.",82,25,22,1,52.4,24,27.3,0,43.9,16,22.7,0,-21.4,-28.8,-35,=,48.6,20,0.294117647,=,48.6,20,0.294117647,=,9.8,20,22.7,1,3.2,3.5,3.7,=,16.3,0.333333333,0.166666667,=,16.3,0,0.166666667,=,36.1,0.5,0.2,=,1,0,0,0,0,=,=,=,3,=,=,=,1,2,1,0.5,4,4,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,,MOBILE,ALABAMA,100%,0%,0%,0%,73%,0%,23%,0%,2%,7%,0%,10%,2%,3%,35%,18%,"Botros M. Rizk, M.D.",23,8,15,1,30.4,0.375,0.066666667,0,30.4,0.375,0.066666667,0,-37.6,=,=,=,31.8,0.428571429,0.1,0,35,0.428571429,0.1,=,4.3,0.125,0.333333333,0,4,4.7,3.3,=,0.142857143,0.333333333,0,=,0.285714286,0,0,=,0.428571429,0.333333333,0,=,2,2,1,0,0,0,0,=,4,3.5,1,=,0,0,=,=,=,=,University of South Alabama IVF and ART Program,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY TREATMENT CENTER,,CHANDLER,ARIZONA,100%,0%,0%,0%,34%,0%,16%,2%,9%,2%,0%,9%,<1%,3%,34%,24%,"H. Randall Craig, M.D.",48,38,28,4,39.6,39.5,25,0.25,35.4,34.2,25,0.25,-27,-30.2,-32,=,36.2,40.6,28,0.333333333,38.6,41.9,29.2,0.333333333,2.1,15.8,10.7,0.25,2.6,3,3.2,1.3,0.263157895,0.333333333,0.142857143,0,0.105263158,0,0,0,0.352941176,0.230769231,0.142857143,0,34,12,16,4,26.5,0.416666667,0.0625,0.5,2.9,3.8,3.6,2.8,32,20,37.5,25,3.1,3.7,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WEST VALLEY FERTILITY CENTER,,GLENDALE,ARIZONA,100%,0%,0%,0%,34%,0%,23%,4%,2%,2%,0%,10%,6%,21%,18%,14%,"Vladimir Troche, M.D.",18,7,10,3,0.611111111,0.428571429,0.2,0,0.555555556,0.285714286,0.1,0,=,=,=,=,0.555555556,0.333333333,0.111111111,0,0.555555556,0.333333333,0.125,0,0,0.142857143,0.1,0,3,4,6.5,2.7,0.181818182,0.333333333,0,=,0.181818182,0,0,=,0.4,0.5,0,=,3,0,1,0,0.333333333,=,1,=,3,=,3,=,3,0,0,=,3.7,=,West Valley Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,No
ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS,,PHOENIX,ARIZONA,>99%,0%,0%,<1%,46%,0%,10%,0%,8%,5%,0%,21%,5%,5%,21%,25%,"Drew Moffitt, M.D.",89,36,31,1,42.7,41.7,12.9,0,41.6,38.9,12.9,0,-20.5,-31.8,-23.6,=,46.8,48.3,0.25,=,55.2,50,0.25,=,11.2,19.4,48.4,1,3,3.3,3.2,=,34.2,0.466666667,0.5,=,13.2,0.066666667,0,=,43.2,0.571428571,0.5,=,41,7,3,2,12.2,0.285714286,0.333333333,0.5,3,2.7,3.3,3.5,8,10,0.375,0,3,3.1,Arizona Reproductive Medicine Specialists,Yes,No,No,No,Yes,Yes,Pending
IVF PHOENIX,,PHOENIX,ARIZONA,100%,0%,0%,0%,37%,0%,20%,4%,14%,2%,0%,14%,4%,9%,14%,19%,"John L. Couvaras, M.D.",29,8,12,0,41.4,0.5,0.416666667,=,37.9,0.375,0.416666667,=,-35.3,=,=,=,39.3,0.428571429,0.625,=,39.3,0.5,0.625,=,3.4,0.125,0.333333333,=,2.6,3.3,3.9,=,0.166666667,0.5,0,=,0.083333333,0,0,=,0.272727273,0.333333333,0,=,8,3,1,2,0.25,0,0,0,2.8,3,2,3.5,12,6,0.416666667,0.166666667,2.8,3.7,IVF Phoenix,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTHWEST FERTILITY CENTER,,PHOENIX,ARIZONA,100%,0%,0%,0%,8%,0%,20%,29%,0%,19%,0%,13%,0%,3%,3%,13%,"Sujatha Gunnala, M.D.",14,6,4,1,0.5,0.166666667,0.25,0,0.428571429,0.166666667,0.25,0,=,=,=,=,0.428571429,0.166666667,0.25,0,0.5,0.333333333,0.333333333,0,0,0,0,0,3.1,3.3,3.3,4,0.285714286,0,0,=,0,0,0,=,0.333333333,0,0,=,3,0,0,0,1,=,=,=,4,=,=,=,2,0,0.5,=,4,=,Southwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,8%,49%,42%,<1%,33%,0%,32%,0%,12%,4%,<1%,15%,3%,10%,15%,8%,"Jay S. Nemiro, M.D.",103,38,42,9,36.9,26.3,33.3,0.222222222,30.1,10.5,26.2,0.111111111,-17.8,-19.5,-26.6,=,30.7,11.4,28.9,0.142857143,38.8,16,36.7,0.2,1.9,7.9,9.5,0.222222222,4.2,4.7,5.4,5,21.1,0.1,0.285714286,0,10.5,0,0.071428571,0,32.3,0.25,0.454545455,0,1,1,1,0,0,0,0,=,6,8,0,=,30,3,40,0,5.1,2,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC SCOTTSDALE,,SCOTTSDALE,ARIZONA,100%,0%,0%,0%,49%,0%,6%,2%,11%,3%,0%,29%,<1%,8%,20%,20%,"Anita P. Singh, M.D.",27,16,15,5,33.3,0.5,0.333333333,0.2,33.3,0.4375,0.266666667,0.2,-35.5,=,=,=,40.9,0.5,0.333333333,0.25,0.5,0.5,0.363636364,0.333333333,18.5,0.125,0.2,0.2,3.2,3.5,3.5,3.7,0.666666667,0.25,0.2,0,0.222222222,0,0,0,0.555555556,0.285714286,0.25,0,7,6,7,1,0.428571429,0.5,0.285714286,0,2.9,3.7,3.9,3,8,2,0.625,0.5,2.9,4,Mayo Clinic Scottsdale,Yes,No,Yes,No,Yes,Yes,Yes
ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,98%,1%,0%,<1%,30%,0%,25%,11%,24%,7%,<1%,17%,2%,9%,0%,5%,"Timothy Gelety, M.D.",73,25,19,11,19.2,16,0.210526316,0,17.8,16,0.157894737,0,-17.6,-28.8,=,=,18.3,16.7,0.176470588,0,22.4,17.4,0.176470588,0,2.7,4,0.105263158,0,4.6,4.8,4.9,3,0.214285714,0.25,0.25,=,0.142857143,0,0.5,=,0.230769231,0.25,1,=,48,10,6,0,16.7,0,0,=,4.8,5.5,5,=,17,32,0.176470588,6.3,4.7,4.6,Arizona Center for Reproductive Endocrinology and Infertility,Yes,Yes,Yes,No,Yes,Yes,Pending
SAN FRANCISCO FERTILITY CENTERS,PACIFIC FERTILITY CENTER,SAN FRANCISCO,CALIFORNIA,100%,0%,0%,0%,52%,2%,9%,9%,18%,3%,2%,14%,12%,16%,8%,9%,"Philip E. Chenette, M.D.",51,71,79,59,27.5,40.8,34.2,18.6,25.5,38,29.1,11.9,-24,-22.6,-20,-16.5,28.9,44.3,37.7,16.7,28.9,44.3,37.7,16.7,11.8,14.1,22.8,28.8,3.5,4.2,4.2,4.5,0.428571429,34.5,18.5,0.181818182,0.071428571,17.2,7.4,0,0.538461538,40.7,26.1,0.142857143,12,17,9,3,0.5,0.235294118,0,0,3.3,3.1,3.9,3,69,56,43.5,33.9,3.4,3.4,"San Francisco Fertility Centers, Pacific Fertility Center",Yes,No,Yes,Yes,Yes,Yes,Yes
"SIMON R. HENDERSON, M.D.",,SAN FRANCISCO,CALIFORNIA,100%,0%,0%,0%,39%,1%,2%,10%,13%,4%,8%,13%,10%,15%,24%,1%,"Simon R. Henderson, M.D.",14,8,22,24,0.285714286,0.5,9.1,8.3,0.285714286,0.5,9.1,4.2,=,=,-21.1,-12.2,0.307692308,0.5,9.1,0.071428571,0.4,0.5,0.111111111,0.076923077,0.071428571,0,0,41.7,4.9,5.1,5.4,7.4,0,0,0,0,0.25,0,0,0,0.25,0,0,0,3,2,2,1,0,0,0,0,4,3,2,8,6,1,0.333333333,1,3.7,4,"Simon R. Henderson, M.D.",Yes,No,Yes,Yes,Yes,Yes,Yes
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",IN VITRO FERTILIZATION PROGRAM,SAN FRANCISCO,CALIFORNIA,>99%,0%,0%,<1%,57%,0%,6%,2%,11%,2%,<1%,24%,1%,6%,19%,29%,"Robert N. Taylor, M.D., Ph.D.",125,96,91,39,35.2,32.3,41.8,20.5,28.8,28.1,36.3,10.3,-15.8,-18,-19.7,-19.1,32.4,34.2,39.3,11.8,36,36,43.4,12.1,11.2,17.7,7.7,12.8,2.4,3.1,4.3,4.9,29.5,12.9,26.3,0.125,6.8,12.9,7.9,0.125,36.1,22.2,27.3,0.25,91,28,49,10,26.4,3.6,12.2,0.2,2.9,3.2,3.5,3.5,58,52,39.7,19.2,2.2,2.4,"University of California, San Francisco, In Vitro Fertilization Program",Yes,No,Yes,Yes,Yes,Yes,Yes
"CARMELO S. SGARLATA, M.D.",,SAN JOSE,CALIFORNIA,86%,14%,0%,0%,43%,0%,11%,9%,2%,5%,0%,7%,0%,2%,32%,32%,"Carmelo S. Sgarlata, M.D.",11,13,7,6,0.272727273,0.384615385,0.285714286,0,0.181818182,0.384615385,0.285714286,0,=,=,=,=,0.2,0.384615385,0.333333333,0,0.2,0.416666667,0.333333333,0,0.090909091,0,0.142857143,0.166666667,3.2,3.3,3.3,4.6,0.333333333,0.2,0.5,=,0,0,0,=,0.5,0.2,0.5,=,2,2,0,0,0,0,=,=,3.5,3.5,=,=,0,0,=,=,=,=,"Carmelo S Sgarlata, M.D.",No,No,No,No,Yes,No,Yes
FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA,,SAN JOSE,CALIFORNIA,97%,2%,0%,<1%,45%,0%,9%,5%,11%,4%,<1%,17%,7%,12%,11%,23%,"G. David Adamson, M.D.",112,74,77,30,29.5,29.7,19.5,10,25,25.7,16.9,6.7,-16,-19.9,-16.8,-15.6,27.5,30.6,20.3,8.3,27.7,31.1,21.3,8.3,8.9,16.2,16.9,20,3.1,3.5,3.8,4.5,30.3,22.7,0.133333333,0.333333333,6.1,13.6,0,0,39.3,0.421052632,0.153846154,0.5,18,4,7,2,0.055555556,0,0,0,2.8,2.8,3,2.5,15,5,0.266666667,0,3.4,3.6,Fertility Physicians of Northern California,Yes,No,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA,,SAN RAMON,CALIFORNIA,96%,3%,0%,<1%,35%,6%,9%,4%,8%,7%,2%,16%,25%,3%,14%,12%,"Louis N. Weckstein, M.D.",142,90,62,31,38.7,40,37.1,16.1,33.8,32.2,32.3,9.7,-15.6,-19.3,-23.3,-20.1,37.2,37.2,39.2,12,38.1,38.2,40,12.5,9.2,13.3,17.7,19.4,2.9,3.1,4.1,4.6,29.1,27.8,21.7,0,16.4,11.1,13,0,43.8,37.9,35,0,21,20,8,4,28.6,25,0.125,0,3,2.9,3.5,1.5,78,35,33.3,25.7,2.9,3.2,Reproductive Science Center of the San Francisco Bay Area,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR ASSISTED REPRODUCTIVE MEDICINE/CFA,,SANTA MONICA,CALIFORNIA,95%,4%,0%,1%,48%,<1%,10%,2%,7%,7%,4%,27%,8%,19%,4%,12%,"Richard P. Marrs, M.D.",88,75,101,77,35.2,25.3,27.7,18.2,28.4,18.7,20.8,10.4,-18.8,-17.7,-15.8,-13.6,30.1,22.2,26.9,14,30.9,24.6,28,15.4,5.7,16,22.8,26,3.5,3.6,4,3.9,22.6,0.210526316,28.6,0.071428571,12.9,0.105263158,3.6,0.071428571,36,0.214285714,28.6,0.125,44,26,21,18,11.4,7.7,28.6,0.055555556,3.2,2.8,3,3.8,76,43,38.2,30.2,3.6,3.1,Center for Assisted Reproductive Medicine/CFP,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"ISSA M. SHAMONKI, M.D., FERTILITY CLINIC",,SANTA MONICA,CALIFORNIA,63%,30%,0%,7%,37%,0%,3%,0%,3%,0%,3%,16%,6%,3%,16%,50%,"Issa M. Shamonki, M.D.",18,2,5,0,0.5,0.5,0.4,=,0.388888889,0,0.2,=,=,=,=,=,0.411764706,0,0.2,=,0.4375,0,0.2,=,0.055555556,0,0,=,4.6,4,4.8,=,0.222222222,0,0.5,=,0,0,0,=,0.285714286,=,0,=,3,1,0,0,0,0,=,=,2.3,4,=,=,0,0,=,=,=,=,"Issa M. Shamonki, M.D.Ð Fertility Clinic",No,No,Yes,No,Yes,No,No
PARKERÐROSENMANÐRODI GYN & INFERTILITY MEDICAL GROUP,,SANTA MONICA,CALIFORNIA,100%,0%,0%,0%,28%,0%,13%,9%,16%,7%,0%,13%,3%,1%,13%,25%,"Ingrid A. Rodi, M.D.",12,7,15,11,0.416666667,0.285714286,0.266666667,0.090909091,0.25,0.285714286,0.2,0.090909091,=,=,=,=,0.272727273,0.333333333,0.25,0.1,0.272727273,0.333333333,0.272727273,0.1,0.083333333,0.142857143,0.2,0.090909091,2.5,3.2,4.3,4.7,0.2,0,0.5,0,0,0,0,1,0,0,0.333333333,1,2,4,3,0,0,0.25,0.333333333,=,2.5,3.8,4.3,=,6,3,0.5,0.333333333,2.3,3.3,ParkerÐRosenmanÐRodi GYN & Infertility Medical Group,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"NORTH BAY FERTILITY CENTER, INC.",,SANTA ROSA,CALIFORNIA,>99%,0%,0%,<1%,43%,0%,13%,0%,20%,4%,4%,15%,6%,9%,12%,17%,"Steven T. Dodge, M.D.",35,20,27,15,40,15,33.3,0.066666667,34.3,10,25.9,0.066666667,-31.4,-23.1,-33.1,=,34.3,10,28,0.076923077,35.3,0.105263158,29.2,0.090909091,0,0,7.4,0.133333333,2.9,3.6,3.5,3.5,0.214285714,0,0,0,0,0.333333333,0.111111111,0,0.25,0.5,0.142857143,0,11,6,5,3,0.181818182,0,0.4,0.333333333,3.2,3,3.8,4,23,5,43.5,0.6,2.9,3,"North Bay Fertility Center, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
"REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES, S.C.",,SPRINGFIELD,ILLINOIS,97%,0%,0%,3%,68%,0%,14%,<1%,0%,2%,<1%,17%,11%,2%,29%,23%,"Mary Ann McRae, M.D.",62,30,18,4,24.2,23.3,0.055555556,0,22.6,20,0.055555556,0,-20.8,-28.6,=,=,23.3,23.1,0.071428571,0,23.7,26.1,0.083333333,0,3.2,13.3,0.222222222,0,3.4,3.6,3.4,2.3,0.333333333,0.142857143,1,=,0.066666667,0,0,=,0.428571429,0,1,=,7,7,2,0,0.285714286,0.142857143,0,=,2.6,3.1,3.5,=,0,0,=,=,=,=,"Reproductive Endocrinology Associates, S.C.",No,No,No,No,Yes,Yes,Yes
"SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE, DEPARTMENT OF OB/GYN,",DIVISION OF REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,SPRINGFIELD,ILLINOIS,72%,28%,0%,0%,0%,0%,14%,7%,0%,9%,4%,5%,25%,0%,13%,23%,"Ponjola Coney, M.D.",57,13,8,1,17.5,0.153846154,0,0,12.3,0.153846154,0,0,-17,=,=,=,12.3,0.153846154,0,0,12.3,0.153846154,0,0,0,0,0,0,4,3.5,3.8,5,0.4,0.5,=,=,0,0,=,=,0.428571429,0.5,=,=,3,1,1,0,0,0,0,=,3.3,2,3,=,5,1,0,0,3.8,1,"Southern Illinois University School of Medicine, Department of Obstetrics and Gynecology, Division of Reproductive Endocrinology",Yes,Yes,Yes,No,Yes,No,No
ASSOCIATED FERTILITY & GYNECOLOGY,,FORT WAYNE,INDIANA,100%,0%,0%,0%,47%,0%,21%,10%,6%,11%,3%,7%,2%,0%,20%,20%,"Shelby O. Cooper, M.D.",59,20,11,3,33.9,20,0.181818182,0,33.9,20,0.181818182,0,-24.2,-35,=,=,41.7,0.25,0.25,0,42.6,0.266666667,0.25,0,18.6,20,0.272727273,0,2.6,2.5,2.5,2.7,20,0.25,0,=,5,0,0,=,15,0,0,=,10,3,1,0,0,0.333333333,0,=,2.4,1.7,2,=,0,2,=,0,=,2,Associated Fertility & Gynecology,Yes,No,No,Yes,Yes,Yes,Yes
ADVANCED FERTILITY GROUP,,INDIANAPOLIS,INDIANA,>99%,<1%,0%,<1%,32%,0%,16%,28%,5%,8%,1%,7%,9%,<1%,16%,10%,"William L. Gentry, M.D.",135,37,41,13,45.2,24.3,26.8,0,40,24.3,17.1,0,-16.6,-27.6,-23,=,44.6,30,24.1,0,45.8,31,24.1,0,10.4,18.9,29.3,0.230769231,2.8,2.9,2.4,4,29.5,0.222222222,0.181818182,=,14.8,0,0.090909091,=,48.1,0.222222222,0.428571429,=,19,6,8,1,0.263157895,0,0.125,0,3.4,2.7,3.3,3,18,10,0.611111111,0.1,2.6,2.9,Advanced Fertility Group,Yes,No,Yes,Yes,Yes,Yes,Yes
"FAMILY BEGINNINGS,  P.C.",,INDIANAPOLIS,INDIANA,100%,0%,0%,0%,32%,0%,14%,3%,3%,25%,0%,20%,0%,17%,4%,14%,"James G. Donahue, M.D.",30,10,7,5,13.3,0.4,0.428571429,0,13.3,0.4,0.142857143,0,-24.3,=,=,=,17.4,0.444444444,0.166666667,0,18.2,0.444444444,0.166666667,0,23.3,0.1,0.142857143,0.2,2.8,2.8,4,3,0.5,0.5,0,=,0.25,0,0,=,0.75,0.25,0,=,4,0,0,0,0.25,=,=,=,3.5,=,=,=,2,0,0,=,2,=,"Family Beginnings, P.C.",Yes,No,Yes,No,Yes,Yes,Yes
INDIANA UNIVERSITY HOSPITAL,,INDIANAPOLIS,INDIANA,100%,0%,0%,0%,28%,0%,46%,18%,0%,7%,0%,2%,0%,6%,2%,19%,"Marguerite K. Shepard, M.D.",21,12,5,1,33.3,0.166666667,0,0,28.6,0.166666667,0,0,-38.7,=,=,=,0.333333333,0.166666667,0,0,0.333333333,0.166666667,0,0,14.3,0,0,0,2.7,3,1.8,2,0.428571429,0,=,=,0.142857143,0.5,=,=,0.5,0.5,=,=,5,4,3,1,0,0.25,0,0,2.6,2.8,3.7,4,0,0,=,=,=,=,Indiana University Hospital,No,No,No,No,Yes,Yes,Yes
MIDWEST REPRODUCTIVE MEDICINE,,INDIANAPOLIS,INDIANA,95%,1%,4%,<1%,43%,<1%,17%,19%,1%,16%,<1%,7%,3%,7%,8%,21%,"John C. Jarrett, M.D.",380,143,127,36,41.8,28.7,22.8,33.3,36.6,22.4,18.1,19.4,-9.7,-13.7,-13.4,-25.9,39.9,27.6,24,21.9,41.5,29.6,24.7,23.3,8.4,18.9,24.4,11.1,2.7,2.8,2.8,3.1,32.7,24.4,27.6,0,7.5,7.3,3.4,0,39.6,28.1,26.1,0,206,53,43,10,16.5,11.3,11.6,0.1,2.6,2.9,2.8,3.7,30,15,40,0.266666667,2.7,2.3,Midwest Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES,,INDIANAPOLIS,INDIANA,98%,2%,0%,0%,26%,0%,19%,41%,0%,14%,0%,10%,5%,2%,7%,2%,"Donald L. Cline, M.D.",19,10,6,6,0.263157895,0.3,0,0.166666667,0.210526316,0.3,0,0.166666667,=,=,=,=,0.266666667,0.333333333,0,0.25,0.285714286,0.375,0,0.333333333,0.210526316,0.1,0.333333333,0.333333333,3.1,2.5,2.8,1.7,0,0,=,1,0.2,0.333333333,=,0,0.25,0.333333333,=,0,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Reproductive Endocrinology Associates,No,No,No,No,No,Yes,Yes
"REPRODUCTIVE SURGERY & MEDICINE, P.C.",,INDIANAPOLIS,INDIANA,85%,15%,0%,0%,38%,0%,10%,10%,1%,11%,0%,3%,0%,3%,36%,26%,"David S. McLaughlin, M.D.",40,16,8,3,42.5,0.3125,0.375,0,40,0.3125,0.125,0,-30.4,=,=,=,48.5,0.333333333,0.125,0,55.2,0.357142857,0.125,0,17.5,0.0625,0,0,2.8,2.6,2.8,3.3,0.294117647,0.4,0.666666667,=,0.117647059,0,0,=,0.3125,0.4,0,=,1,0,0,0,0,=,=,=,2,=,=,=,0,0,=,=,=,=,"Reproductive Surgery & Medicine, P.C.",No,No,Yes,No,Yes,Yes,Yes
MEMORIAL HOSPITAL,CENTER FOR ASSISTED REPRODUCTION,SOUTH BEND,INDIANA,97%,3%,0%,0%,0%,0%,37%,11%,0%,27%,0%,0%,0%,0%,3%,22%,"Jan R. Reineke, M.D.",41,9,7,5,19.5,0.333333333,0.142857143,0.2,19.5,0.333333333,0.142857143,0,-24.2,=,=,=,21.6,0.375,0.142857143,0,22.9,0.375,0.166666667,0,9.8,0.111111111,0,0,2.8,3.4,3,4,0.25,0.333333333,0,0,0,0,0,0,0.25,0.333333333,0,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Memorial Hospital Center for Assisted Reproduction,No,No,No,No,No,Yes,Yes
"MCFARLAND CLINIC, P.C., ASSISTED REPRODUCTION",,AMES,IOWA,95%,0%,5%,0%,63%,0%,14%,5%,0%,14%,<1%,36%,0%,5%,3%,22%,"Alan K. Munson, M.D.",73,37,16,5,30.1,18.9,0.3125,0,28.8,18.9,0.3125,0,-20.8,-25.2,=,=,31.3,25,0.384615385,0,31.8,28,0.416666667,0,8.2,24.3,0.1875,0,2.7,3,2.8,3.8,27.3,0.285714286,0.2,=,0,0,0,=,28.6,0.285714286,0.2,=,16,4,2,1,0,0.5,0.5,0,3.2,3.5,3.5,4,0,0,=,=,=,=,"McFarland Clinic, P.C., Assisted Reproduction",No,No,No,No,Yes,Yes,Yes
UNIVERSITY OF IOWA HOSPITALS AND CLINICS,CENTER FOR ADVANCED REPRODUCTIVE CARE,IOWA CITY,IOWA,>99%,0%,<1%,0%,52%,<1%,19%,6%,0%,7%,<1%,21%,6%,7%,10%,24%,"Craig H. Syrop, M.D.",149,55,38,25,42.3,38.2,23.7,0,36.9,36.4,15.8,0,-15.5,-25.4,-23.2,=,40.4,42.6,24,0,42.3,42.6,25,0,8.7,14.5,34.2,40,2.5,2.8,3.2,3.3,34.9,47.6,0.333333333,=,6.3,0,0,=,41.8,40,0.333333333,=,67,31,19,2,23.9,12.9,0.263157895,0.5,2.9,2.7,3,3,9,32,0.444444444,43.8,2.7,2.8,"University of Iowa Hospitals and Clinics, Center for Advanced Reproductive Care",Yes,Yes,No,No,Yes,Yes,Yes
"MID-IOWA FERTILITY, P.C.",,WEST DES MOINES,IOWA,100%,0%,0%,0%,33%,0%,16%,7%,2%,11%,<1%,16%,7%,5%,15%,20%,"Donald C. Young, D.O.",116,18,14,6,25,0.222222222,0.071428571,0,19.8,0.111111111,0,0,-14.5,=,=,=,20.4,0.142857143,0,0,28.8,0.222222222,0,0,2.6,0.222222222,0.214285714,0.333333333,2.6,2.3,2.3,3,27.6,0.25,0,=,13.8,0,0,=,30.4,0.5,=,=,4,1,4,0,0,0,0.25,=,3,5,3.3,=,3,2,0.333333333,0,3,3.5,"Mid-Iowa Fertility, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF KANSAS MEDICAL CENTER,WOMEN'S REPRODUCTIVE CENTER,KANSAS CITY,KANSAS,100%,0%,0%,0%,57%,0%,11%,6%,1%,0%,0%,22%,2%,2%,8%,48%,"Valerie C. Montgomery Rice, M.D.",26,13,16,2,26.9,0.307692308,0.1875,0,26.9,0.230769231,0.125,0,-34.1,=,=,=,28,0.25,0.2,0,30.4,0.272727273,0.2,0,3.8,0.076923077,0.375,0.5,2.9,3.7,3.1,3,0.428571429,0.75,0,=,0.142857143,0,0,=,0.571428571,0.666666667,0,=,1,0,0,1,0,=,=,0,3,=,=,1,0,1,=,0,=,3,"University of Kansas Medical Center, Women's Reproductive Center",Yes,Yes,Yes,No,Yes,Yes,Pending
"DRS. MARSHALL, HENNING AND CATTERSON, P.A.",DBA IVF REPRODUCTIVE SERVICES,MANHATTAN,KANSAS,100%,0%,0%,0%,0%,0%,28%,43%,0%,0%,0%,0%,0%,0%,0%,29%,"Harold J. Henning, M.D.",3,1,1,0,0,0,0,=,0,0,0,=,=,=,=,=,0,0,0,=,0,=,0,=,0,0,0,=,1,=,1,=,=,=,=,=,=,=,=,=,=,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"Drs. Marshall and Henning, P.A., IVF Reproductive Services",No,No,No,No,No,Yes,Pending
