PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
"ADVANCED REPRODUCTIVE CARE CENTER, P.A.",,BOYNTON BEACH,FLORIDA,100%,0%,0%,0%,0%,0%,0%,5%,5%,18%,2%,0%,5%,2%,40%,15%,8%,"Tibor E. Polcz, M.D.",14,6,6,8,0.5,0.5,0.5,0,0.5,0.333333333,0.5,0,=,=,=,=,0.583333333,0.4,0.6,0,0.636363636,0.4,0.75,0,0.181818182,0.4,0.75,0,0.142857143,0.166666667,0.166666667,0.25,3.9,5.2,3.5,4,0.285714286,0,0,=,0.571428571,0,0,=,0.714285714,0,0,=,1,1,0,0,0,0,=,=,5,5,=,=,1,0,1,=,4,=,"Advanced Reproductive Care Center, P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE HEALTH ASSOCIATES,"CATHERINE L. COWART, M.D.",CLEARWATER,FLORIDA,100%,0%,0%,0%,60%,0%,0%,22%,3%,0%,1%,0%,33%,6%,9%,3%,23%,"Catherine L. Cowart, M.D.",16,14,18,8,0.6875,0.357142857,0.277777778,0.25,0.625,0.285714286,0.166666667,0.25,=,=,=,=,0.666666667,0.285714286,0.214285714,0.25,0.666666667,0.285714286,0.25,0.285714286,0.4,0.142857143,0.25,0.142857143,0.0625,0,0.222222222,0,2.5,2.9,3,3.4,0.363636364,0.6,0,0,0,0,0,0.5,0.4,0.5,0,0.5,2,1,0,0,0.5,0,=,=,3,3,=,=,4,0,0.5,=,2.3,=,"Reproductive Health Associates, Catherine L. Cowart, M.D.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY FERTILITY ASSOCIATES,,CLEARWATER,FLORIDA,100%,0%,0%,0%,51%,0%,0%,19%,2%,6%,5%,4%,20%,9%,8%,13%,14%,"Edward A. Zbella, M.D.",84,33,34,9,33.3,21.2,11.8,0.222222222,25,18.2,5.9,0.222222222,-18.6,-26.3,-13.8,=,25.6,20,7.1,0.25,26.9,20.7,8,0.285714286,15.4,17.2,0,0.142857143,2.4,9.1,17.6,0.111111111,3.2,3.5,3.3,2.3,28.6,0.142857143,0.75,0.5,7.1,0,0,0,42.9,0.166666667,1,0.5,5,3,1,0,0,0,0,=,2.4,2.3,1,=,24,4,25,0.25,3.2,2,University Fertility Associates,Yes,No,Yes,Yes,Yes,Yes,Yes
"F.I.R.S.T., FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES",,COOPER CITY,FLORIDA,100%,0%,0%,0%,60%,0%,2%,10%,3%,18%,3%,1%,10%,0%,0%,26%,29%,"Minna R. Selub, M.D.",14,8,16,1,0.285714286,0,0.125,0,0.285714286,0,0.125,0,=,=,=,=,0.307692308,0,0.133333333,0,0.307692308,0,0.142857143,0,0.153846154,0,0.142857143,0,0.071428571,0.125,0.0625,0,4.6,5.3,5,3,0.25,=,0.5,=,0.25,=,0,=,0.5,=,0,=,2,3,0,0,0,0,=,=,5.5,7.3,=,=,18,5,0.055555556,0,5.3,5.8,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes
"SOUTHWEST FLORIDA FERTILITY CENTER, P.A.",,FORT MYERS,FLORIDA,100%,0%,0%,0%,6%,0%,0%,14%,4%,0%,0%,2%,2%,0%,14%,23%,41%,"Jacob L. Glock, M.D.",11,11,2,4,0.272727273,0.181818182,0.5,0,0.272727273,0.181818182,0,0,=,=,=,=,0.272727273,0.2,0,0,0.272727273,0.2,0,0,0.090909091,0.1,0,0,0,0.090909091,0,0,3.4,4,3,5.3,0.333333333,0.5,0,=,0.333333333,0,0,=,0.666666667,0.5,=,=,2,1,2,2,0,0,0.5,0,4.5,3,3.5,4,3,1,0,0,4,4,"Southwest Florida Fertility Center, P.A.",Yes,No,Yes,Yes,Yes,Yes,None
"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, P.A.",,FORT MYERS,FLORIDA,100%,0%,0%,0%,27%,0%,0%,5%,0%,2%,2%,0%,4%,4%,0%,41%,42%,"Craig R. Sweet, M.D.",19,24,13,6,0.631578947,20.8,0,0.166666667,0.578947368,12.5,0,0.166666667,=,-25.7,=,=,0.578947368,13,0,0.333333333,0.647058824,13.6,0,0.333333333,0.411764706,0,0,0.333333333,0,4.2,0.307692308,0.5,2.6,3,2.2,4,0.416666667,0.4,=,0,0,0.2,=,0,0.363636364,1,=,0,5,8,4,0,0.4,0.125,0.25,=,3,2.6,3,=,12,1,0.416666667,0,2.6,3,"Specialists in Reproductive Medicine & Surgery, P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF FLORIDA/PARK AVENUE WOMEN'S CENTER,,GAINESVILLE,FLORIDA,100%,0%,0%,0%,42%,0%,<1%,18%,9%,0%,21%,<1%,23%,16%,3%,3%,6%,"R. Stan Williams, M.D.",61,26,12,4,32.8,11.5,0.333333333,0,27.9,11.5,0.25,0,-22.5,-23.8,=,=,30.9,13,0.272727273,0,32.7,13.6,0.333333333,0,21.2,9.1,0.333333333,0,9.8,11.5,0.083333333,0.25,2.3,2.9,2.8,3,35,0.666666667,0,=,0,0,0,=,0.352941176,0.333333333,0,=,5,1,1,0,0.6,0,0,=,3,3,3,=,13,0,0.538461538,=,2.4,=,University of Florida Women's Health at Magnolia Parke,Yes,Yes,No,Yes,Yes,Yes,Yes
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,,GULF BREEZE,FLORIDA,100%,0%,0%,0%,75%,0%,0%,2%,0%,0%,0%,0%,17%,1%,0%,1%,79%,"Robert C. Pyle, M.D.",22,20,8,1,45.5,15,0.375,0,40.9,15,0.25,0,-41.1,-30.6,=,=,0.473684211,0.214285714,0.285714286,=,0.5,0.214285714,0.285714286,=,0.333333333,0.142857143,0.285714286,=,13.6,30,0.125,1,3.7,3.8,2.7,=,0.4,0,0,=,0,0.333333333,0.333333333,=,0.333333333,0.333333333,0,=,3,2,1,0,0,0,0,=,2.3,5,2,=,4,6,0.25,0,3.3,2.2,Fertility Institute of Northwest Florida,Yes,Yes,No,Yes,Yes,Yes,Yes
ASSISTED FERTILITY PROGRAM OF NORTH FLORIDA,,JACKSONVILLE,FLORIDA,87%,11%,2%,0%,13%,0%,0%,18%,10%,9%,14%,0%,22%,5%,9%,5%,8%,"Shaykh M. Marwan, M.D.",31,14,3,4,35.5,0.285714286,0,0,29,0.142857143,0,0,-31.9,=,=,=,32.1,0.142857143,0,0,32.1,0.142857143,0,0,14.3,0.071428571,0,0,9.7,0,0.333333333,0.25,2.9,3.4,4.5,3.7,0.363636364,0.25,=,=,0.181818182,0,=,=,0.555555556,0.5,=,=,7,2,1,0,0.142857143,0.5,0,=,3.3,2,4,=,5,4,0.4,0.25,4.4,2.8,Assisted Fertility Program of North Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,66%,0%,0%,16%,4%,8%,6%,<1%,19%,4%,7%,7%,28%,"Kevin L. Winslow, M.D.",225,99,87,18,51.1,35.4,29.9,0.111111111,46.2,30.3,24.1,0,-13,-18.1,-18,=,50.7,33.3,26.3,0,53.6,35.3,26.9,0,28.9,25.9,15.4,0,8.9,9.1,8,0.055555556,2.6,3,3.2,3.5,40.9,25.7,26.9,0,8.7,5.7,7.7,0,46.2,26.7,42.9,=,80,29,28,8,36.3,24.1,21.4,0.25,2.8,2.9,2.8,3,52,23,46.2,21.7,2.9,2.3,Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTH FLORIDA CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,21%,0%,0%,10%,22%,11%,1%,0%,9%,3%,4%,21%,19%,"Michael D. Fox, M.D.",51,10,10,0,47.1,0.5,0.1,=,43.1,0.4,0.1,=,-27.2,=,=,=,43.1,0.4,0.1,=,46.8,0.4,0.111111111,=,25.5,0.1,0,=,0,0,0,=,3.2,3.6,3.9,=,45.8,0.4,1,=,4.2,0.2,0,=,45.5,0.75,1,=,9,1,1,0,0,0,0,=,3.7,4,4,=,6,1,0.5,0,2.3,2,North Florida Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IVF FLORIDA,MEMORIAL ADVANCED FERTILITY TREATMENT CENTER,MARGATE,FLORIDA,100%,0%,0%,0%,57%,0%,1%,19%,2%,11%,8%,2%,22%,9%,2%,9%,16%,"David I. Hoffman, M.D.",227,91,92,39,39.2,36.3,27.2,10.3,34.8,27.5,21.7,5.1,-12.4,-18.3,-16.9,-12.1,38.9,34.2,27.8,7.7,41.6,36.2,29.4,7.7,25.3,23.2,19.1,7.7,10.6,19.8,21.7,33.3,2.4,3,3.4,3.6,36,33.3,36,0,5.6,9.1,4,0,39.2,36,35,0,36,12,9,2,33.3,0.25,0.333333333,0.5,2.6,2.7,3.8,2.5,67,1,26.9,1,2.2,3,"IVF Florida, Memorial Advanced Fertility Treatment Center",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY AND REPRODUCTIVE MEDICINE CENTER FOR WOMEN,,MELBOURNE,FLORIDA,100%,0%,0%,0%,53%,0%,0%,8%,2%,13%,2%,0%,6%,4%,2%,29%,34%,"Diran Chamoun, M.D.",13,20,7,3,0.307692308,40,0.142857143,0.333333333,0.307692308,30,0,0,=,-40.2,=,=,0.333333333,0.428571429,0,0,0.363636364,0.461538462,0,0,0,0.153846154,0,0,0.076923077,30,0,0,2.9,2.8,3,1.7,0.5,0.375,0,0,0.5,0.125,0,0,1,0.666666667,=,=,3,1,0,0,0.333333333,0,=,=,3,2,=,=,1,1,0,0,4,2,Fertility and Reproductive Medicine Center for Women,Yes,No,Yes,Yes,Yes,Yes,None
"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,100%,0%,0%,0%,65%,0%,<1%,11%,6%,11%,4%,1%,15%,2%,13%,12%,25%,"Michael H. Jacobs, M.D.",129,69,43,12,45,40.6,20.9,0.166666667,38.8,34.8,18.6,0.083333333,-16.8,-22.5,-23.2,=,43.1,40.7,21.1,0.1,45.5,41.4,22.2,0.142857143,24.5,32.8,13.9,0.142857143,10.1,14.5,11.6,0.166666667,3.2,3.2,3.5,3.6,44.8,17.9,0.333333333,0,12.1,14.3,0,0,46,20.8,0.375,0,10,8,4,0,0.3,0.125,0,=,2.9,3.6,2,=,25,5,40,0.6,3,2.8,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
PALMETTO FERTILITY CENTER OF SOUTH FLORIDA,,MIAMI,FLORIDA,100%,0%,0%,0%,42%,0%,0%,18%,8%,8%,6%,0%,18%,3%,4%,18%,17%,"Michael D. Graubert, M.D.",37,12,10,2,43.2,0.416666667,0.5,0,35.1,0.333333333,0.4,0,-30.7,=,=,=,39.4,0.4,0.5,0,41.9,0.4,0.571428571,0,32.3,0.3,0.285714286,0,10.8,0.166666667,0.2,0,2.3,2.9,3.9,1.5,0.3125,0.2,0.4,=,0.0625,0,0,=,0.230769231,0.25,0.5,=,7,2,0,0,0.428571429,0,=,=,2.1,2.5,=,=,1,0,0,=,3,=,Palmetto Fertility Center of South Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,MIAMI,FLORIDA,100%,0%,0%,0%,50%,0%,0%,16%,4%,12%,9%,0%,16%,7%,2%,10%,24%,"Maria Bustillo, M.D.",191,81,75,40,40.8,37,20,7.5,37.2,25.9,17.3,5,-13.7,-19.1,-17.1,-11.8,43.3,29.6,22,8.7,46.4,32.8,26.5,9.5,29.4,20.3,24.5,4.8,14.1,12.3,21.3,42.5,2.2,2.3,2.4,2,30.8,36.7,0.066666667,0.666666667,3.8,0,0,0,36.6,38.1,0.076923077,0.5,7,2,2,0,0.571428571,0,0.5,=,1.9,2,2,=,51,12,60.8,0.333333333,2.2,2.6,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE, P.A.",,ORLANDO,FLORIDA,100%,0%,0%,0%,47%,0%,0%,10%,4%,2%,3%,<1%,9%,<1%,6%,30%,36%,"Randall A. Loy, M.D.",146,80,58,30,37.7,31.3,15.5,16.7,35.6,25,10.3,3.3,-15.6,-19,-15.7,-9.8,42.3,31.7,14.6,4.3,44.1,35.1,15.4,4.8,27.1,17.5,12.8,4.8,15.8,21.3,29.3,23.3,2.4,2.5,2.7,2.5,38.2,40,0.111111111,0,7.3,4,0,0,38.5,50,0.166666667,0,17,10,11,1,0.176470588,0.1,0.090909091,0,2.4,2.3,2.4,3,6,3,0.5,0,2.2,1.7,"Center for Infertility & Reproductive Medicine, P.A.",Yes,Yes,No,No,Yes,Yes,Yes
REPRODUCTIVE HEALTH INSTITUTE,,ORLANDO,FLORIDA,100%,0%,0%,0%,30%,0%,0%,10%,5%,7%,5%,0%,16%,2%,11%,24%,20%,"Mark P. Trolice, M.D.",42,11,14,2,50,0.727272727,0.285714286,0,40.5,0.545454545,0.142857143,0,-29.7,=,=,=,51.5,0.666666667,0.25,0,58.6,0.666666667,0.25,0,41.4,0.666666667,0.125,0,21.4,0.181818182,0.428571429,0,2.3,2.4,3.6,3,28.6,0,0.25,=,4.8,0,0,=,0.294117647,0,0.5,=,4,1,1,0,0.5,1,0,=,2.3,3,1,=,3,0,0.333333333,=,1.7,=,Reproductive Health Institute,Yes,Yes,No,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE AND FERTILITY CENTER,,ORLANDO,FLORIDA,100%,0%,0%,0%,93%,0%,0%,14%,10%,2%,10%,0%,19%,0%,3%,18%,24%,"Mark L. Jutras, M.D.",49,36,15,0,57.1,44.4,0.6,=,46.9,33.3,0.4,=,-27.9,-30.8,=,=,47.9,38.7,0.428571429,=,50,40,0.428571429,=,34.8,23.3,0.357142857,=,2,13.9,0.066666667,=,2,2.4,3.5,=,25,0.3125,0,=,3.6,0.125,0.111111111,=,30.4,0.416666667,0.166666667,=,6,6,1,0,0.5,0.166666667,0,=,2.3,1.8,1,=,4,2,0.5,1,2,2.5,Reproductive Medicine and Fertility Center,Yes,No,No,Yes,Yes,Yes,Yes
"FRANK C. RIGGALL, M.D., P.A.",,ORLANDO,FLORIDA,97%,3%,0%,0%,19%,0%,0%,16%,4%,2%,12%,0%,23%,6%,17%,7%,13%,"Frank C. Riggall, M.D.",21,21,11,4,9.5,19,0.181818182,0,9.5,14.3,0.090909091,0,-22.1,-29.3,=,=,0.125,0.230769231,0.2,=,0.142857143,0.230769231,0.2,=,0.071428571,0.153846154,0.2,=,23.8,38.1,0.545454545,1,2.4,2.7,3,=,0.5,0.25,0,=,0,0,0,=,0.5,0.333333333,0,=,5,0,2,0,0.2,=,0,=,1.8,=,2.5,=,3,0,1,=,2,=,"Frank C. Riggall, M.D., P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF FLORIDA--PENSACOLA,,PENSACOLA,FLORIDA,100%,0%,0%,0%,72%,0%,0%,21%,2%,0%,18%,0%,17%,3%,9%,12%,18%,"Barry A. Ripps, M.D.",28,10,7,2,28.6,0.4,0.142857143,0,21.4,0.3,0,0,-30.4,=,=,=,30,0.3,0,0,0.352941176,0.3,0,0,0.176470588,0.2,0,0,28.6,0,0.285714286,0,3.1,3.2,3,6,0.25,0.25,0,=,0.125,0,0,=,0.5,0.333333333,=,=,2,1,0,0,0.5,1,=,=,3,2,=,=,3,0,0.333333333,=,2.3,=,This clinic has undergone reorganization since 2001. Information on current clinic services and profile therefore is not provided here. Contact SART for current information about this clinic.,,,,,,,
"CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY, P.A.",,PLANTATION,FLORIDA,100%,0%,0%,0%,77%,<1%,0%,13%,0%,6%,<1%,2%,15%,6%,3%,17%,37%,"Mick Abae, M.D.",43,34,18,7,37.2,38.2,0.166666667,0,32.6,35.3,0.166666667,0,-28,-32.2,=,=,35,38.7,0.1875,0,36.8,38.7,0.214285714,0,21.1,22.6,0.142857143,0,7,8.8,0.111111111,0.142857143,2.6,2.8,4,3,0.375,0.230769231,0.333333333,=,0.0625,0.307692308,0,=,0.428571429,0.416666667,0.333333333,=,7,1,1,0,0,0,0,=,2.4,3,2,=,23,2,52.2,0.5,3.1,2.5,"Center for Advanced Reproductive Endocrinology, P.A.",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF SARASOTA,"JULIO E. PABON, M.D., P.A.",SARASOTA,FLORIDA,100%,0%,0%,0%,47%,0%,5%,10%,8%,11%,10%,4%,19%,11%,8%,6%,13%,"Julio E. Pabon, M.D.",57,15,18,4,40.4,0.6,0.277777778,0.25,40.4,0.6,0.277777778,0.25,-25.5,=,=,=,43.4,0.642857143,0.357142857,0.25,46,0.642857143,0.384615385,0.25,26,0.571428571,0.307692308,0.25,7,0.066666667,0.222222222,0,3.1,2.4,3.8,6,43.5,0.111111111,0.2,0,0,0,0.2,0,43.5,0.111111111,0.2,0,4,0,3,0,0.25,=,0.333333333,=,2.5,=,2,=,22,5,59.1,0.4,2.6,2,"Fertility Center of Sarasota, Julio E. Pabon, M.D., P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM AT UNIVERSITY COMMUNITY HOSPITAL,"DRS. VERKAUF, BERNHISEL, TARANTINO, GOODMAN & YEKO",TAMPA,FLORIDA,97%,0%,2%,1%,34%,0%,<1%,24%,2%,7%,8%,<1%,20%,3%,12%,11%,13%,"Samuel Tarantino, M.D.",150,80,65,25,50.7,38.8,35.4,12,45.3,36.3,24.6,8,-15.9,-21.1,-21,-18.6,49.6,42,28.6,10,50.4,43.9,29.6,0.117647059,31.9,30.3,20.4,0.117647059,8.7,13.8,13.8,20,2.2,2.6,2.8,3.1,35.5,25.8,17.4,0,3.9,9.7,8.7,0,36.8,31,0.3125,0,4,6,1,0,0.5,0.666666667,0,=,3.3,3.5,3,=,25,9,32,0.222222222,2.3,3,"Advanced Reproductive Technologies Program at University Community Hospital, Drs. Verkauf, Bernhisel, Tarantino, Goodman & Yeko",Yes,No,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE & GENETICS,,WEST PALM BEACH,FLORIDA,100%,0%,0%,0%,61%,0%,4%,23%,3%,0%,8%,1%,31%,2%,11%,3%,18%,"Gene F. Manko, M.D.",20,18,14,0,55,0.388888889,0.428571429,=,50,0.388888889,0.357142857,=,-43.8,=,=,=,50,0.5,0.454545455,=,50,0.5,0.454545455,=,20,0.428571429,0.363636364,=,0,0.222222222,0.214285714,=,2.4,2.8,3.1,=,0.454545455,0.285714286,0.166666667,=,0.090909091,0,0,=,0.6,0.142857143,0.2,=,3,2,1,0,0.666666667,0.5,0,=,2,2,3,=,1,1,0,0,2,2,Reproductive Medicine & Genetics,Yes,No,Yes,Yes,Yes,Yes,None
WOMEN'S HEALTHCARE SPECIALISTS,IVF MIAMI,WESTON,FLORIDA,100%,0%,0%,0%,58%,0%,0%,8%,0%,6%,6%,0%,17%,0%,8%,29%,26%,"Bernard Cantor, M.D.",15,4,5,0,0.333333333,0.25,0.6,=,0.333333333,0.25,0.6,=,=,=,=,=,0.384615385,0.333333333,0.6,=,0.454545455,0.333333333,0.6,=,0.181818182,0.333333333,0.6,=,0.133333333,0.25,0,=,2.5,3,4.2,=,0.4,0,0.333333333,=,0.2,0,0,=,0.6,0,0,=,2,0,0,0,0,=,=,=,3,=,=,=,6,0,0.5,=,3.2,=,"Women's Healthcare Specialists, IVF Miami",Yes,No,Yes,Yes,Yes,Yes,Yes
EMORY CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,,ATLANTA,GEORGIA,100%,0%,0%,0%,52%,<1%,<1%,8%,4%,3%,8%,2%,12%,9%,2%,27%,25%,"Ana Murphy, M.D.",66,26,18,9,36.4,42.3,0.333333333,0.222222222,34.8,34.6,0.333333333,0.111111111,-22.9,-36.6,=,=,41.8,40.9,0.375,0.166666667,48.9,42.9,0.428571429,0.166666667,36.2,33.3,0.285714286,0,16.7,15.4,0.111111111,0.333333333,2.1,2.8,2.4,2.3,29.2,0.272727273,0.333333333,0.5,0,0.181818182,0,0,26.1,0.222222222,0.333333333,1,10,7,4,0,0.3,0.285714286,0.5,=,2.4,2.4,3,=,11,1,0.454545455,0,2.2,3,Emory Center for Reproductive Medicine and Fertility,Yes,No,Yes,Yes,Yes,Yes,Yes
GEORGIA REPRODUCTIVE SPECIALISTS,,ATLANTA,GEORGIA,100%,0%,0%,0%,60%,0%,<1%,25%,7%,0%,7%,<1%,8%,9%,8%,18%,18%,"Mark Perloe, M.D.",104,42,28,5,47.1,28.6,21.4,0.6,36.5,23.8,14.3,0.4,-18.5,-25.8,-25.9,=,42.2,27.8,0.210526316,0.4,45.2,27.8,0.222222222,0.4,33.3,22.2,0.222222222,0.4,13.5,14.3,32.1,0,3,3.2,3.6,4.8,30.6,0.083333333,0,0,4.1,0.083333333,0,0,26.3,0.2,0,0,26,6,3,0,23.1,0,0,=,2.5,2.5,2,=,5,3,0.4,0.333333333,2.6,2.7,Georgia Reproductive Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA,GEORGIA,100%,0%,0%,0%,54%,0%,<1%,7%,8%,10%,7%,2%,11%,3%,2%,26%,24%,"Joe B. Massey, M.D.",425,209,190,74,36.7,33.5,22.1,20.3,33.6,28.2,15.8,16.2,-8.9,-12.2,-10.4,-16.8,40.2,36,21.6,23.1,41.7,37.1,22.1,25,24.2,23.9,16.9,20.8,16.2,21.5,26.8,29.7,2.6,2.9,3.1,2.8,35.3,28.6,16.7,0.133333333,4.5,4.3,4.8,0,42,35.6,23.3,0.166666667,84,32,25,7,20.2,21.9,16,0,3.1,3.1,3,2.9,95,38,43.2,36.8,2.5,3.2,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AUGUSTA AREA REPRODUCTIVE ASSOCIATES,,AUGUSTA,GEORGIA,100%,0%,0%,0%,16%,0%,0%,37%,2%,9%,4%,7%,15%,0%,20%,2%,4%,"Lawrence Layman, M.D.",19,7,5,0,0.210526316,0.142857143,0,=,0.157894737,0.142857143,0,=,=,=,=,=,0.2,0.166666667,0,=,0.230769231,0.166666667,0,=,0.076923077,0.166666667,0,=,0.210526316,0.142857143,0.2,=,3.1,2.3,3,=,0,0,=,=,0.5,0,=,=,0.666666667,0,=,=,4,5,0,0,0,0,=,=,1.8,2.4,=,=,2,1,0.5,0,1.5,2,Augusta Area Reproductive Associates,Yes,No,No,No,Yes,Yes,Yes
CENTRAL GEORGIA FERTILITY INSTITUTE,,MACON,GEORGIA,100%,0%,0%,0%,65%,0%,0%,12%,0%,0%,4%,0%,24%,0%,16%,32%,12%,"William J. Butler, M.D.",12,7,3,1,0.416666667,0.714285714,0.333333333,0,0.416666667,0.571428571,0,0,=,=,=,=,0.416666667,0.8,0,=,0.416666667,0.8,0,=,0.166666667,0.6,0,=,0,0.285714286,0,1,3,3,3.3,=,0.4,0.2,0,=,0.4,0,0,=,0.6,0.25,=,=,2,0,0,0,0.5,=,=,=,2,=,=,=,0,0,=,=,=,=,Central Georgia Fertility Institute,No,No,Yes,No,Yes,Yes,Yes
ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,WOODSTOCK,GEORGIA,100%,0%,0%,0%,51%,0%,1%,16%,<1%,15%,9%,2%,15%,<1%,10%,15%,16%,"Andre L. Denis, M.D.",145,69,43,10,38.6,31.9,25.6,0.1,31,23.2,16.3,0.1,-15.1,-19.9,-22.1,=,36,28.6,21.9,0.333333333,38.8,30.2,25,0.333333333,25.9,24.5,14.3,0.333333333,13.8,18.8,25.6,0.7,2.3,2.8,3,3.3,30.4,13.6,0,0,1.8,9.1,0.454545455,0,33.3,0.1875,0.428571429,0,30,12,5,1,16.7,0.333333333,0.4,0,2.5,2.3,2.4,4,54,15,46.3,0.133333333,2.1,2.8,Atlanta Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PACIFIC IN VITRO FERTILIZATION INSTITUTE,,HONOLULU,HAWAII,100%,0%,0%,0%,26%,0%,0%,19%,2%,5%,20%,<1%,20%,<1%,7%,13%,13%,"Thomas S. Kosasa, M.D.",73,43,82,29,35.6,34.9,13.4,13.8,30.1,25.6,8.5,10.3,-21.1,-26.1,-12.1,-21.4,34.4,28.9,9.9,15,34.9,34.4,10.9,0.157894737,17.5,25,7.8,0.157894737,12.3,11.6,13.4,31,3.1,3.8,4,4.6,23.1,0.2,0.181818182,0,23.1,0.066666667,0.090909091,0,50,0.272727273,0.285714286,0,13,12,11,4,0.307692308,0.416666667,0.090909091,0.25,3,3.8,3.6,4.3,15,6,0.733333333,0.166666667,2.7,2.8,Pacific In Vitro Fertilization Institute,Yes,Yes,No,Yes,Yes,Yes,Yes
