PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code,
UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,100%,0%,0%,0%,75%,0%,0%,33%,0%,5%,7%,0%,27%,9%,14%,1%,4%,"George R. Attia, MD",28,14,18,7,60.7,0.214285714,0.5,0.285714286,60.7,0.142857143,0.388888889,0,(40.6Ð78.5),,,,65.4,0.142857143,0.466666667,0,68,0.166666667,0.466666667,0,36,0.166666667,0.466666667,0,7.1,0,0.166666667,0.142857143,2.3,2.2,2.1,2.5,0.588235294,0,0.111111111,0.5,0,0,0,0,0.470588235,0,0,=,1,5,2,1,0,0,0,1,2,2,2.5,2,0,0,=,=,=,=,University of Miami Infertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes,FL,
AFFORDABLE IVF,,ORLANDO,FLORIDA,100%,0%,0%,0%,91%,1%,0%,14%,8%,7%,4%,0%,26%,0%,7%,9%,26%,"Mark L. Jutras, MD",38,22,19,6,55.3,31.8,0.473684211,0.166666667,50,22.7,0.421052632,0,(33.4Ð66.6),(7.8Ð45.4),,,51.4,23.8,0.444444444,0,55.9,25,0.444444444,0,32.4,25,0.388888889,0,2.6,4.5,0.052631579,0.166666667,2.1,2.5,2.6,3,28.6,0.142857143,0.222222222,0,9.5,0,0.111111111,0,0.421052632,0,0.125,=,2,1,1,0,0,0,1,=,2,1,2,=,2,0,1,=,2,=,Affordable IVF,Yes,No,No,Yes,Yes,Yes,Yes,FL,
"CENTER FOR REPRODUCTIVE MEDICINE, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,49%,0%,<1%,10%,12%,2%,4%,<1%,11%,<1%,3%,25%,32%,"Randall A. Loy, MD",157,86,64,16,33.8,27.9,20.3,0.1875,31.8,24.4,15.6,0.125,(24.6Ð39.7),(15.8Ð34.9),(7.8Ð26.9),,37.9,31.3,21.7,0.333333333,44.6,36.2,25,0.4,25,25.9,17.5,0.4,15.9,22.1,28.1,0.625,2.2,2.6,2.7,2.6,39.6,16.7,0.230769231,0,7.5,12.5,0.076923077,0,44,28.6,0.3,0,27,12,5,4,33.3,0.333333333,0,0.25,2.3,2,2.2,2.3,7,8,0.714285714,0.25,2,2.3,"Center for Reproductive Medicine, PA",Yes,Yes,No,No,Yes,Yes,Yes,FL,
"FRANK C. RIGGALL, MD, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,31%,0%,1%,24%,10%,17%,11%,0%,12%,8%,10%,5%,2%,"Frank C. Riggall, MD",16,22,19,11,0.375,18.2,0.105263158,0,0.375,18.2,0.052631579,0,,(5.2Ð40.3),,,0.428571429,0.285714286,0.066666667,0,0.461538462,0.307692308,0.090909091,0,0.307692308,0.307692308,0.090909091,0,0.125,36.4,0.210526316,0.454545455,2.6,2.6,3.1,2.3,0.5,0.25,0,=,0,0,0,=,0.333333333,0,0,=,2,2,2,1,1,0,0,0,2.5,2,1.5,3,7,8,0.571428571,0.125,2.4,2.4,"Frank C. Riggall, MD, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL,
"NEW LEADERS IN INFERTILITY & ENDOCRINOLOGY, LLC",,PENSACOLA,FLORIDA,100%,0%,0%,0%,77%,0%,0%,7%,2%,7%,14%,0%,22%,2%,6%,12%,27%,"Barry A. Ripps, MD",55,27,23,4,38.2,33.3,30.4,0.25,25.5,25.9,26.1,0.25,(14.7Ð39.0),(11.1Ð46.3),(10.2Ð48.4),,30.4,30.4,30,0.5,31.1,31.8,30,0.5,20,27.3,20,0.5,16.4,14.8,13,0.5,2.7,3.1,3.9,1.5,19,0,0.142857143,0,9.5,0.111111111,0.142857143,0,0.357142857,0.142857143,0.333333333,0,4,2,1,0,0,0,0,=,2.5,2,2,=,2,3,0,0,2.5,3,"New Leaders in Infertility & Endocrinology, LLC",Yes,Yes,No,Yes,Yes,Yes,Pending,FL,
"CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY, PA",,PLANTATION,FLORIDA,100%,0%,0%,0%,88%,0%,2%,7%,0%,15%,<1%,0%,15%,9%,0%,11%,44%,"Mick AbaŽ, MD",21,21,8,12,52.4,23.8,0.75,0.25,47.6,23.8,0.375,0.25,(25.7Ð70.2),(8.2Ð47.2),,,47.6,0.263157895,0.375,0.3,50,0.3125,0.428571429,0.375,45,0.1875,0,0.375,0,9.5,0,0.166666667,2.3,2.9,3,2.6,0.090909091,0.4,0.666666667,0.333333333,0,0,0,0,0.1,0.4,1,0,2,3,0,0,0.5,0.333333333,=,=,3,2,=,=,19,6,0.315789474,0.166666667,2.4,2.5,"Center for Advanced Reproductive Endocrinology, PA",Yes,No,Yes,Yes,Yes,Yes,Yes,FL,
"FERTILITY CENTER AND APPLIED GENETICS OF FLORIDA, INC.",,SARASOTA,FLORIDA,100%,0%,0%,0%,41%,0%,4%,20%,1%,25%,4%,2%,12%,10%,8%,9%,11%,"Julio E. Pabon, MD",52,29,27,7,51.9,31,14.8,0,40.4,24.1,7.4,0,(27.0Ð54.9),(10.3Ð43.5),(0.9Ð24.3),,46.7,29.2,9.5,0,48.8,31.8,0.125,0,27.9,22.7,0.125,0,13.5,17.2,22.2,0.142857143,2.7,2.9,3.5,2.3,33.3,0.222222222,0,=,3.7,0.111111111,0,=,42.9,0.285714286,0,=,5,4,5,2,0.4,0.25,0,0.5,2,3.8,3,2,21,11,38.1,0.181818182,2.7,3.3,"Fertility Center and Applied Genetics of Florida, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL,
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FLORIDA,100%,0%,0%,0%,66%,0%,<1%,9%,<1%,5%,6%,0%,19%,12%,3%,10%,36%,"Maria Bustillo, MD",195,148,93,38,51.8,34.5,31.2,21.1,46.7,29.1,21.5,13.2,(39.5Ð53.9),(21.9Ð37.1),(13.7Ð31.2),(4.4Ð28.1),51.1,36.1,26,19.2,55.5,45.7,30.3,23.8,36,27.7,19.7,19,8.7,19.6,17.2,31.6,1.9,2,2.1,2,35.6,37.3,24.1,0.25,2,3.9,3.4,0,35.2,39.5,35,0.2,14,9,2,1,0.285714286,0,0,1,1.8,1.7,3,2,54,14,63,0.428571429,1.9,2.1,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL,
CENTER FOR REPRODUCTIVE MEDICINE,,TAMPA,FLORIDA,100%,0%,0%,0%,5%,0%,3%,7%,7%,27%,1%,1%,5%,19%,3%,16%,14%,"Stephen W. Welden, MD",15,20,13,6,0.266666667,35,0.230769231,0.166666667,0.266666667,35,0.230769231,0,,(15.4Ð59.2),,,0.266666667,35,0.25,0,0.266666667,35,0.25,0,0.2,15,0.166666667,0,0,0,0.076923077,0,2,2.7,2.7,2.7,0.25,0.285714286,0.333333333,0,0,0.285714286,0,0,0.25,0.571428571,0.333333333,=,0,0,0,0,=,=,=,=,=,=,=,=,19,0,0.578947368,=,2.1,=,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,No,No,FL,
"REPRODUCTIVE HEALTH ASSOCIATES, PA",DR. CATHERINE COWART,TAMPA,FLORIDA,100%,0%,0%,0%,49%,0%,0%,10%,<1%,7%,12%,0%,44%,0%,6%,7%,13%,"Catherine L. Cowart, MD",63,21,22,7,15.9,28.6,18.2,0.285714286,14.3,23.8,13.6,0.142857143,(6.7Ð25.4),(8.2Ð47.2),(2.9Ð34.9),,18,0.294117647,14.3,0.2,18,0.294117647,14.3,0.2,14,0.176470588,9.5,0.2,20.6,19,4.5,0.285714286,2.3,2.6,3.4,4.2,0.2,0.166666667,0.25,0.5,0,0.166666667,0,0,0.222222222,0.4,0.333333333,0,0,2,0,0,=,0,=,=,=,3.5,=,=,14,0,0.285714286,=,2.1,=,"Reproductive Health Associates, PA, Dr. Catherine Cowart",Yes,No,Yes,Yes,Yes,Yes,No,FL,
THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,>99%,0%,<1%,0%,42%,0%,1%,13%,4%,5%,9%,1%,18%,3%,14%,15%,17%,"Marc Bernhisel, MD",189,109,89,51,50.3,35.8,19.1,15.7,47.6,30.3,13.5,9.8,(40.3Ð55.0),(21.8Ð39.8),(7.2Ð22.4),(3.3Ð21.4),51.4,34,14.8,10.9,54.5,35.9,15.8,11.9,42.4,26.1,5.3,11.9,7.4,11,9,9.8,2,2.2,2.5,2.8,25.3,30.8,0.470588235,0,0,0,0,0,22.2,27.3,0.666666667,0,10,13,5,2,0.3,0.076923077,0.2,0,2.1,2.2,2,1.5,36,5,41.7,0,1.9,2.6,The Reproductive Medicine Group,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL,
F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,96%,3%,0%,2%,56%,0%,3%,7%,5%,20%,3%,0%,16%,2%,3%,23%,22%,"Minna R. Selub, MD",28,19,10,7,21.4,0.315789474,0.1,0,17.9,0.315789474,0.1,0,(6.1Ð36.9),,,,18.5,0.333333333,0.1,0,20,0.4,0.125,0,16,0.2,0.125,0,3.6,0.052631579,0,0.142857143,3.3,3.3,4.1,2.5,0.166666667,0.5,0,=,0,0,0,=,0.2,0.5,0,=,2,4,0,0,0,0,=,=,2.5,4.3,=,=,28,2,39.3,0,3.8,4,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes,FL,
FERTILITY CENTER OF ASSISTED REPRODUCTION & ENDOCRINOLOGY,,WINTER PARK,FLORIDA,100%,0%,0%,0%,53%,0%,2%,2%,8%,9%,<1%,0%,3%,4%,3%,53%,18%,"Mark P. Trolice, MD",52,24,23,9,46.2,33.3,47.8,0.111111111,42.3,29.2,39.1,0,(28.7Ð56.8),(12.6Ð51.1),(19.7Ð61.5),,44.9,30.4,40.9,0,48.9,33.3,45,0,22.2,19,35,0,5.8,4.2,4.3,0.111111111,2.2,2.2,2.8,2.7,62.5,0.25,0.272727273,0,4.2,0.125,0,0,54.5,0.428571429,0.222222222,=,10,2,3,3,0.2,0,0.666666667,0,2.2,2.5,2,2.3,15,4,0.333333333,0.25,2,2.5,Fertility Center of Assisted Reproduction & Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL,
ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,ATLANTA,GEORGIA,100%,0%,0%,0%,70%,<1%,2%,9%,4%,14%,5%,1%,9%,12%,6%,27%,14%,"James P. Toner, MD",223,106,59,15,41.7,37.7,32.2,0.133333333,34.5,33,23.7,0.066666667,(28.3Ð41.2),(24.2Ð42.8),(13.6Ð36.6),,36,35.4,25,0.076923077,39.3,38.5,27.5,0.1,26,27.5,17.6,0.1,4,6.6,5.1,0.133333333,2.4,2.7,3.2,3.2,30.1,22.5,0.368421053,0,5.4,7.5,0.052631579,0,33.8,28.6,0.357142857,0,36,10,4,5,36.1,0.5,0.25,0,2.3,2.6,2.8,1.4,58,21,43.1,33.3,2.1,1.9,Atlanta Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GA,
EMORY REPRODUCTIVE CENTER,,ATLANTA,GEORGIA,100%,0%,0%,0%,60%,0%,<1%,14%,6%,10%,5%,4%,9%,<1%,3%,22%,26%,"Donna R. Session, MD",49,33,26,7,59.2,42.4,23.1,0.142857143,46.9,36.4,11.5,0.142857143,(32.5Ð61.7),(20.4Ð54.9),(2.4Ð30.2),,50,40,15,0.333333333,54.8,41.4,15,0.5,50,27.6,10,0.5,6.1,9.1,23.1,0.571428571,2,2.5,2.6,2.5,20.7,0.357142857,0.333333333,0,3.4,0,0,0,8.7,0.333333333,0.333333333,0,13,5,3,2,0.307692308,0.2,0.333333333,0.5,1.8,2.2,2.3,2.5,8,7,0.875,0.142857143,2.1,1.9,This clinic has closed or reorganized since 2005.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,GA,
GEORGIA REPRODUCTIVE SPECIALISTS,,ATLANTA,GEORGIA,100%,0%,0%,0%,53%,0%,1%,19%,7%,9%,7%,<1%,14%,4%,17%,13%,9%,"Carolyn R. Kaplan, MD",153,69,44,10,37.9,37.7,18.2,0.3,35.9,26.1,9.1,0.2,(28.4Ð44.1),(16.3Ð38.1),(2.5Ð21.7),,39.3,30,10.8,0.2,40.7,31.6,11.4,0.25,20.7,21.1,11.4,0.25,8.5,13,15.9,0,2.7,3,3.4,3.5,44.8,26.9,0,0.333333333,1.7,7.7,0.125,0,49.1,0.333333333,0,0,58,30,15,2,48.3,26.7,0.133333333,0,2.1,2,1.9,1.5,26,20,61.5,35,2.3,2.2,Georgia Reproductive Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GA,
REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA,GEORGIA,100%,0%,0%,0%,81%,0%,<1%,6%,7%,20%,7%,2%,12%,4%,4%,18%,20%,"Daniel B. Shapiro, MD",300,196,146,75,39.7,31.1,21.2,22.7,36,27.6,15.8,17.3,(30.6Ð41.7),(21.4Ð34.4),(10.3Ð22.7),(9.6Ð27.8),41.1,32.9,19.7,20,43.4,34.8,21.1,20.6,30.9,20.6,16.5,17.5,12.3,16.3,19.9,13.3,2.3,2.7,2.9,3.1,26.1,29.5,16.1,0.117647059,0.8,6.6,0,0,28.7,40.7,21.7,0.153846154,136,63,37,4,41.9,33.3,32.4,0.25,2.9,3.1,3.1,2.3,60,58,50,50,2.1,2.9,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GA,
REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,,AUGUSTA,GEORGIA,100%,0%,0%,0%,93%,0%,0%,6%,0%,0%,6%,0%,17%,0%,11%,17%,44%,"Adelina M. Emmi, MD",7,5,2,1,0.714285714,0.4,0,0,0.571428571,0.2,0,0,,,,,0.571428571,0.2,0,0,0.571428571,0.2,0,0,0.428571429,0,0,0,0,0,0,0,2,2.8,5,2,0.2,0.5,=,=,0,0,=,=,0.25,1,=,=,2,1,0,0,0.5,0,=,=,2,3,=,=,0,0,=,=,=,=,Reproductive Medicine and Infertility Associates,Yes,No,Yes,No,Yes,Yes,Yes,GA,
SERVY INSTITUTE FOR REPRODUCTIVE ENDOCRINOLOGY,,AUGUSTA,GEORGIA,100%,0%,0%,0%,44%,0%,0%,41%,8%,5%,3%,3%,16%,0%,16%,3%,5%,"Edouard J. Servy, MD",19,8,3,2,0.157894737,0.25,0.333333333,0,0.157894737,0.25,0.333333333,0,,,,,0.1875,0.25,0.333333333,0,0.2,0.25,0.333333333,0,0.133333333,0.25,0.333333333,0,0.157894737,0,0,0,2.6,3,3,3.5,0.333333333,0,0,=,0.333333333,0,0,=,0.333333333,0,0,=,1,2,2,0,1,0.5,0,=,1,2.5,2.5,=,0,0,=,=,=,=,Servy Institute for Reproductive Endocrinology,Yes,No,No,No,Yes,Yes,Yes,GA,
"COLUMBUS CENTER FOR REPRODUCTIVE ENDOCRINOLOGY & INFERTILITY, LLC",,COLUMBUS,GEORGIA,100%,0%,0%,0%,55%,0%,0%,5%,0%,2%,0%,0%,7%,0%,84%,0%,2%,"Prakash J. Thiruppathi, MD",23,8,1,1,39.1,0.25,1,0,26.1,0.25,1,0,(10.2Ð48.4),,,,26.1,0.285714286,1,0,27.3,0.285714286,1,0,18.2,0.142857143,1,0,0,0.125,0,0,2.8,2.6,3,4,0.222222222,0.5,0,=,0.222222222,0,0,=,0.333333333,0.5,0,=,4,3,0,0,0.25,0.333333333,=,=,4,3,=,=,3,0,0.666666667,=,2,=,"Columbus Center for Reproductive Endocrinology & Infertility, LLC",Yes,Yes,Yes,Yes,Yes,No,Yes,GA,
CENTRAL GEORGIA FERTILITY INSTITUTE,,MACON,GEORGIA,100%,0%,0%,0%,40%,0%,0%,29%,0%,0%,14%,5%,5%,0%,11%,27%,10%,"William J. Butler, MD",24,15,7,0,50,0.066666667,0.428571429,=,45.8,0.066666667,0.285714286,=,(25.6Ð67.2),,,,47.8,0.076923077,0.285714286,=,47.8,0.083333333,0.333333333,=,26.1,0,0.333333333,=,4.2,0.133333333,0,=,2.2,2.1,3.2,=,0.5,1,0,=,0,0,0,=,0.454545455,1,0,=,7,3,0,0,0.142857143,0.333333333,=,=,2,2.3,=,=,0,0,=,=,=,=,Central Georgia Fertility Institute,No,No,Yes,No,Yes,Yes,Yes,GA,
GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,,SAVANNAH,GEORGIA,100%,0%,0%,0%,70%,0%,0%,11%,4%,5%,2%,0%,21%,0%,<1%,14%,43%,"Patrick L. Blohm, MD",57,14,20,8,56.1,0.571428571,30,0.25,54.4,0.571428571,30,0.125,(40.7Ð67.6),,(11.9Ð54.3),,54.4,0.615384615,0.315789474,0.125,55.4,0.615384615,0.333333333,0.142857143,35.7,0.538461538,0.222222222,0,0,0.071428571,5,0,2.8,2.8,3.4,3.3,50,0.25,0.333333333,1,6.3,0,0,0,35.5,0.125,0.333333333,1,15,2,3,1,0.333333333,0.5,0.666666667,1,2.2,1.5,2.7,2,9,1,0.666666667,1,2.8,2,Georgia Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,No,No,GA,
ADVANCED REPRODUCTIVE CENTER OF HAWAII,,HONOLULU,HAWAII,100%,0%,0%,0%,48%,0%,0%,14%,3%,14%,5%,0%,4%,26%,0%,7%,27%,"Christopher T. Huang, MD",18,15,18,6,0.277777778,0.266666667,0.277777778,0.333333333,0.277777778,0.2,0.111111111,0,,,,,0.294117647,0.272727273,0.133333333,0,0.294117647,0.272727273,0.166666667,0,0.117647059,0.272727273,0.083333333,0,0.055555556,0.266666667,0.166666667,0,2.8,3.1,3.1,1.8,0.2,0,0.2,0,0.4,0,0,0,0.6,0,0.5,=,0,1,1,0,=,0,1,=,=,3,4,=,7,0,0.428571429,=,2.6,=,Advanced Reproductive Center of Hawaii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HI,
IVF HAWAII,,HONOLULU,HAWAII,100%,0%,0%,0%,65%,0%,98%,3%,0%,5%,3%,0%,5%,<1%,0%,28%,57%,"Benton H. H. Chun, MD",25,29,21,10,40,24.1,19,0.2,32,20.7,14.3,0,(14.9Ð53.5),(8.0Ð39.7),(3.0Ð36.3),,34.8,23.1,15,0,36.4,26.1,0.157894737,0,27.3,17.4,0.157894737,0,8,10.3,4.8,0.1,2.7,3,3.3,4.3,0.1,0.285714286,0,0,0.1,0,0,0,0.25,0.333333333,0,=,2,2,0,1,0,1,=,0,2,4,=,2,7,7,0.285714286,0.142857143,2.1,2.4,IVF Hawaii,No,No,Yes,Yes,Yes,No,No,HI,
PACIFIC IN VITRO FERTILIZATION INSTITUTE,,HONOLULU,HAWAII,100%,0%,0%,0%,39%,0%,0%,10%,2%,7%,6%,0%,13%,<1%,3%,18%,41%,"Thomas S. Kosasa, MD",80,44,56,26,40,27.3,14.3,0,36.3,25,14.3,0,(25.8Ð47.8),(13.2Ð40.3),(6.4Ð26.2),(0.0Ð13.2),40.8,29.7,18.2,0,43.9,36.7,21.1,0,19.7,30,15.8,0,11.3,15.9,21.4,30.8,2.9,3.4,3.7,4.1,50,0.333333333,0.25,=,6.3,0,0,=,55.2,0.181818182,0.25,=,26,20,19,1,50,30,0.263157895,0,2.2,2.4,2.7,2,26,8,46.2,0.625,2.5,2.3,Pacific In Vitro Fertilization Institute,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HI,
HAWAII CENTER FOR REPRODUCTIVE MEDICINE & SURGERY,,KAILUA,HAWAII,100%,0%,0%,0%,25%,0%,0%,16%,4%,31%,5%,0%,10%,3%,2%,12%,17%,"Kenneth K.C. Vu, MD",64,47,54,23,21.9,17,16.7,17.4,20.3,12.8,13,0,(11.3Ð32.2),(4.8Ð25.7),(5.4Ð24.9),(0.0Ð14.8),21,14.6,14.9,0,21.3,15.4,15.9,0,16.4,7.7,15.9,0,3.1,12.8,13,13,3.1,3.1,3.7,3.5,0.214285714,0.375,0,0,0.142857143,0,0,0,0.230769231,0.5,0,=,6,1,2,0,0.333333333,0,0.5,=,3.2,2,3.5,=,19,7,0.421052632,0.285714286,2.9,2.7,Hawaii Center for Reproductive Medicine & Surgery,Yes,Yes,Yes,Yes,Yes,Yes,Yes,HI,
TRIPLER ARMY MEDICAL CENTER IVF INSTITUTE,,TRIPLER AMC,HAWAII,100%,0%,0%,0%,47%,0%,0%,29%,11%,0%,0%,0%,23%,0%,8%,8%,23%,"Richard S. Lucidi, MD",21,16,15,1,42.9,0.3125,0.466666667,0,38.1,0.25,0.333333333,0,(18.1Ð61.6),,,,40,0.25,0.333333333,0,40,0.266666667,0.333333333,0,30,0.133333333,0.266666667,0,4.8,0,0,0,2.3,2.4,3.5,6,0.222222222,0.4,0,=,0,0,0.142857143,=,0.25,0.5,0.2,=,7,4,1,0,0.285714286,1,0,=,2.3,2,2,=,0,0,=,=,=,=,Tripler Army Medical Center IVF Institute,No,No,Yes,No,Yes,Yes,Yes,HI,
IDAHO CENTER FOR REPRODUCTIVE MEDICINE,,BOISE,IDAHO,100%,0%,0%,0%,55%,0%,3%,10%,6%,15%,3%,2%,12%,5%,3%,22%,22%,"Russell A. Foulk, MD",108,39,30,10,51.9,38.5,10,0.1,48.1,33.3,10,0.1,(38.4Ð58.0),(19.1Ð50.2),(2.1Ð26.5),,51.5,37.1,11.5,0.1,54.7,37.1,12.5,0.142857143,30.5,20,12.5,0.142857143,6.5,10.3,13.3,0,2.9,3.3,3.7,3.4,39.3,0.466666667,0,0,5.4,0,0,0,44.2,0.461538462,0,0,55,18,15,6,45.5,0.333333333,0.333333333,0.5,2.9,2.7,3.3,3,36,25,58.3,36,2.7,3.3,Idaho Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ID,
RUSHÐCOPLEY CENTER FOR REPRODUCTIVE HEALTH,,AURORA,ILLINOIS,87%,0%,13%,0%,41%,0%,0%,7%,5%,5%,17%,7%,9%,27%,5%,8%,11%,"Zvi Binor, MD",53,20,15,5,24.5,5,0.2,0,22.6,5,0.133333333,0,(12.3Ð36.2),(0.1Ð24.9),,,26.1,0.0625,0.181818182,0,26.1,0.066666667,0.181818182,0,17.4,0,0.181818182,0,13.2,20,0.266666667,0.2,2.7,2.7,2.6,2.8,0.307692308,1,0,=,0.076923077,0,0,=,0.333333333,1,0,=,1,1,1,0,0,0,0,=,1,5,1,=,2,0,0,=,3,=,RushÐCopley Center for Reproductive Health,Yes,No,Yes,No,Yes,Yes,Yes,IL,
LIFEÐWOMEN'S HEALTH CENTER,"DANIEL A. ROSTEIN, MD",BERWYN,ILLINOIS,100%,0%,0%,0%,58%,0%,100%,13%,26%,0%,13%,0%,10%,0%,3%,10%,26%,"Daniel A. Rostein, MD",12,7,2,3,0.5,0.571428571,0,0.333333333,0.416666667,0.285714286,0,0,,,,,0.416666667,0.285714286,0,0,0.5,0.285714286,0,0,0.2,0.285714286,0,0,0,0,0,0.333333333,2.1,2.3,1,3,0.333333333,0,=,0,0.166666667,0,=,0,0.6,0,=,=,5,0,1,0,0.8,=,0,=,2.6,=,2,=,1,0,0,=,2,=,"LifeÐWomen's Health Center, Daniel A. Rostein, MD",Yes,No,Yes,Yes,No,No,Yes,IL,
"MARTIN S. BALIN, MD, PHD",,CHICAGO,ILLINOIS,100%,0%,0%,0%,100%,0%,0%,18%,3%,0%,0%,0%,6%,15%,30%,18%,9%,"Martin S. Balin, MD, PhD",13,5,2,1,0.461538462,0.4,0.5,0,0.461538462,0.4,0.5,0,,,,,0.461538462,0.4,0.5,0,0.461538462,0.4,0.5,=,0.384615385,0.2,0.5,=,0,0,0,0,2.2,3,2.5,=,0.166666667,0.5,0,=,0,0,0,=,0.166666667,0.5,0,=,1,2,1,0,0,0,1,=,3,2.5,2,=,6,1,0.333333333,0,2.2,3,"Martin S. Balin, MD, PhD",Yes,Yes,Yes,Yes,Yes,No,Yes,IL,
CHICAGO WOMEN'S WELLNESS CENTER,,CHICAGO,ILLINOIS,100%,0%,0%,0%,24%,0%,0%,15%,0%,44%,7%,0%,0%,12%,5%,12%,5%,"Jan Friberg, MD",9,2,7,1,0.333333333,0.5,0.285714286,0,0.333333333,0.5,0.142857143,0,,,,,0.5,1,0.25,0,0.5,1,0.25,0,0.166666667,0,0.25,0,0.333333333,0.5,0.428571429,0,3.5,3,2,2,0.333333333,1,0,=,0.333333333,0,0,=,0.666666667,1,0,=,0,0,0,0,=,=,=,=,=,=,=,=,6,8,0.333333333,0.125,2.8,2.8,Chicago Women's Wellness Center,Yes,Yes,Yes,Yes,Yes,Yes,No,IL,
INSTITUTE FOR HUMAN REPRODUCTION (IHR),,CHICAGO,ILLINOIS,100%,0%,0%,0%,93%,0%,<1%,5%,5%,7%,2%,<1%,7%,15%,<1%,31%,27%,"Ilan Tur-Kaspa, MD",74,32,24,10,45.9,43.8,25,0.2,33.8,37.5,16.7,0.2,(23.2Ð45.7),(21.1Ð56.3),(4.7Ð37.4),,33.8,38.7,16.7,0.222222222,35.7,40,19,0.333333333,20,33.3,14.3,0.166666667,0,3.1,0,0.1,1.9,1.9,2.2,2,44.1,0.142857143,0.5,0.5,0,0,0,0,44,0.166666667,0.25,0.5,28,15,4,2,21.4,0.533333333,0.25,0,1.9,1.5,2.3,1.5,15,1,0.466666667,0,1.9,2,Institute for Human Reproduction (IHR),Yes,Yes,Yes,Yes,Yes,No,Yes,IL,
