PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
"SOUTHWEST FLORIDA FERTILITY CENTER, PA",,FORT MYERS,FLORIDA,100%,0%,0%,0%,24%,0%,0%,12%,2%,2%,0%,15%,7%,5%,10%,17%,29%,"Jacob L. Glock, MD",14,5,8,8,0.142857143,0.2,0.375,0.125,0.142857143,0.2,0.25,0.125,,,,,0.142857143,0.2,0.25,0.125,0.166666667,0.25,0.25,0.142857143,0.083333333,0.25,0.25,0,0,0,0,0,2.8,2.3,3.1,3,0,0,0.666666667,1,0.5,0,0,0,0.5,0,0,1,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"Southwest Florida Fertility Center, PA",Yes,No,Yes,Yes,Yes,Yes,Yes
"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, PA",,FORT MYERS,FLORIDA,100%,0%,0%,0%,62%,0%,0%,7%,4%,7%,1%,1%,17%,0%,0%,19%,43%,"Craig R. Sweet, MD",39,15,18,2,48.7,0.4,0.055555556,1,33.3,0.4,0,1,(19.1-50.2),,,,38.2,0.5,0,1,38.2,0.5,0,1,14.7,0.25,0,0.5,12.8,0.2,0.222222222,0,2.9,3.4,4,3,0.421052632,0.166666667,0,0,0.105263158,0.333333333,0,0.5,0.615384615,0.5,=,0.5,4,1,1,0,0.25,0,0,=,2.5,3,2,=,6,8,0.5,0.125,2.7,2.8,"Specialists in Reproductive Medicine & Surgery, PA",Yes,Yes,Yes,Yes,Yes,No,Yes
UNIVERSITY OF FLORIDA WOMEN'S HEALTH AT MAGNOLIA PARKE,,GAINESVILLE,FLORIDA,100%,0%,0%,0%,44%,0%,1%,10%,2%,0%,11%,<1%,10%,20%,2%,25%,20%,"R. Stan Williams, MD",42,24,18,2,47.6,54.2,0.277777778,0,31,33.3,0.166666667,0,(17.6-47.1),(15.6-55.3),,,32.5,34.8,0.2,0,35.1,36.4,0.214285714,0,24.3,22.7,0.142857143,0,4.8,4.2,0.166666667,0.5,2.1,2.7,2.2,5,15,0.230769231,0.2,=,5,0,0,=,0.307692308,0.375,0.333333333,=,4,4,3,0,0,0,0,=,2,1.5,2.7,=,13,0,0.384615385,=,2,=,University of Florida Women's Health at Magnolia Parke,Yes,Yes,No,Yes,Yes,Yes,Yes
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,,GULF BREEZE,FLORIDA,100%,0%,0%,0%,88%,0%,0%,6%,2%,14%,8%,0%,10%,2%,2%,25%,31%,"Robert C. Pyle, MD",13,9,6,2,0.692307692,0.111111111,0.666666667,0.5,0.384615385,0.111111111,0.333333333,0.5,,,,,0.384615385,0.142857143,0.4,0.5,0.384615385,0.142857143,0.4,0.5,0.307692308,0,0.4,0.5,0,0.222222222,0.166666667,0,3.6,3.7,3.2,4,0.222222222,0,0,1,0,1,0,0,0.2,1,0,0,7,1,0,0,0,0,=,=,2.7,1,=,=,4,2,0.25,0.5,3,3.5,Fertility Institute of Northwest Florida,Yes,Yes,No,Yes,Yes,Yes,Yes
ASSISTED FERTILITY PROGRAM OF NORTH FLORIDA,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,21%,0%,0%,20%,11%,17%,2%,5%,9%,12%,8%,6%,12%,"Marwan M. Shaykh, MD",23,4,11,2,26.1,0,0.272727273,0,21.7,0,0.090909091,0,(7.5-43.7),,,,0.3125,0,0.1,0,0.3125,0,0.1,0,0.1875,0,0.1,0,30.4,0.5,0.090909091,0,2.8,3.5,3.5,5.5,0.5,=,0,=,0.166666667,=,0,=,0.4,=,0,=,5,4,0,0,0.4,0.25,=,=,2.4,2.8,=,=,11,1,0.454545455,0,3.5,2,Assisted Fertility Program of North Florida,Yes,Yes,Yes,Yes,Yes,Yes,Pending
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,64%,0%,<1%,8%,4%,7%,4%,<1%,26%,3%,2%,9%,36%,"Kevin L. Winslow, MD",276,124,83,39,43.5,37.1,28.9,20.5,38,29.8,24.1,15.4,(32.3-44.1),(22.0-38.7),(15.4-34.7),(5.9-30.5),44.1,35.9,29.4,18.2,48.2,37.8,29.9,18.2,27.1,24.5,25.4,15.2,13.8,16.9,18.1,15.4,2.5,2.8,3,3.6,42.5,34.8,20.8,0.25,5.8,2.2,0,0,43.8,35.1,15,0.166666667,123,49,15,8,26,28.6,0.333333333,0.25,2.4,2.6,2.3,2.9,58,23,43.1,34.8,2.4,2.4,Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,11%,0%,3%,7%,2%,35%,18%,0%,1%,1%,3%,17%,16%,"Michael D. Fox, MD",38,13,6,5,36.8,0.230769231,0.166666667,0.4,31.6,0.230769231,0.166666667,0.2,(17.5-48.7),,,,36.4,0.230769231,0.25,0.2,38.7,0.230769231,0.25,0.2,19.4,0.153846154,0.25,0.2,13.2,0,0.333333333,0,2.4,3.5,3.3,4.8,0.285714286,0.333333333,0,0,0.214285714,0,0,0,0.5,0.333333333,0,0,6,1,1,0,0.166666667,1,0,=,2.7,4,4,=,13,3,0.230769231,0,2.5,3.3,Jacksonville Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Pending
"GENE F. MANKO, MD, INC.",,JUPITER,FLORIDA,100%,0%,0%,0%,65%,0%,2%,31%,5%,0%,8%,2%,26%,0%,15%,7%,8%,"Gene F. Manko, MD",25,13,12,4,60,0.384615385,0,0.25,36,0.307692308,0,0.25,(18.0-57.5),,,,39.1,0.307692308,0,0.25,42.9,0.363636364,0,0.333333333,33.3,0,0,0.333333333,8,0,0,0,2,2.2,2.3,3.3,0.333333333,0.8,=,0,0,0,=,0,0.222222222,1,=,0,3,0,0,0,0.666666667,=,=,=,1.3,=,=,=,1,0,0,=,4,=,"Gene F. Manko, MD, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes
IVF FLORIDA,,MARGATE,FLORIDA,>99%,0%,<1%,0%,76%,0%,2%,13%,3%,19%,6%,3%,18%,11%,7%,9%,11%,"David I. Hoffman, MD",218,113,99,41,38.5,33.6,35.4,12.2,29.8,24.8,30.3,4.9,(23.8-36.4),(17.1-33.8),(21.5-40.4),(0.6-16.5),32.7,28.3,33.7,6.1,34.8,29.8,36.1,6.5,25.1,23.4,28.9,6.5,8.7,12.4,10.1,19.5,2.4,2.8,3,3.3,22.6,18.4,17.1,0.2,2.4,2.6,2.9,0,27.7,21.4,20,0,39,20,8,4,20.5,30,0.25,0.5,2.5,2.7,2.8,2.8,60,18,36.7,0.111111111,2.3,2.5,IVF Florida,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY & REPRODUCTIVE MEDICINE CENTER FOR WOMEN,,MELBOURNE,FLORIDA,100%,0%,0%,0%,82%,0%,0%,7%,0%,7%,0%,11%,7%,0%,2%,32%,34%,"Diran Chamoun, MD",11,11,6,4,0.363636364,0.454545455,0.333333333,0,0.363636364,0.363636364,0.333333333,0,,,,,0.4,0.363636364,0.4,0,0.4,0.363636364,0.4,0,0.2,0.181818182,0.2,0,0.090909091,0,0.166666667,0,2.4,2.8,3.2,3,0.5,0.4,0.5,=,0,0,0,=,0.5,0.5,0.5,=,1,3,0,0,0,0.333333333,=,=,1,1,=,=,11,2,0.454545455,0.5,2.4,2.5,Fertility & Reproductive Medicine Center for Women,Yes,No,Yes,Yes,Yes,Yes,Yes
"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,100%,0%,0%,0%,74%,0%,1%,9%,5%,9%,3%,<1%,22%,2%,4%,13%,33%,"Michael H. Jacobs, MD",143,63,59,21,51,36.5,32.2,19,42,28.6,22,14.3,(33.8-50.5),(17.9-41.3),(12.3-34.7),(3.0-36.3),46.5,34,32.5,0.166666667,48.8,35.3,36.1,0.176470588,32.5,27.5,19.4,0.176470588,9.8,15.9,32.2,14.3,2.3,2.4,2.6,3.2,35.6,30.4,0.421052632,0.25,4.1,0,0,0,33.3,0.222222222,0.461538462,0,40,9,9,2,20,0.222222222,0.444444444,0,2.1,2.7,2.2,1.5,28,12,64.3,0.583333333,2.2,2.4,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
PALMETTO FERTILITY CENTER OF SOUTH FLORIDA,,MIAMI,FLORIDA,100%,0%,0%,0%,65%,0%,0%,11%,8%,22%,4%,0%,16%,7%,9%,7%,16%,"Michael D. Graubert, MD",47,21,14,3,31.9,38.1,0.214285714,0,27.7,23.8,0.214285714,0,(15.6-42.6),(8.2-47.2),,,31,25,0.214285714,0,36.1,0.263157895,0.214285714,0,33.3,0.210526316,0.214285714,0,10.6,4.8,0,0.333333333,2.4,2.9,2.8,2,0,0.625,0,=,0.066666667,0,0,=,0.076923077,0.2,0,=,12,5,1,0,0.416666667,0.8,0,=,2.4,2.6,3,=,11,7,0.454545455,0.428571429,2.6,2.1,Palmetto Fertility Center of South Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,100%,0%,0%,0%,64%,0%,0%,27%,0%,0%,4%,0%,35%,12%,8%,4%,12%,"George R. Attia, MD",11,6,4,4,0.454545455,0.5,0.5,0,0.454545455,0.166666667,0.25,0,,,,,0.5,0.166666667,0.5,0,0.5,0.166666667,0.5,0,0.1,0,0.5,0,0.090909091,0,0.5,0,2.6,2.5,3,2.3,0.8,0.333333333,0.5,=,0,0,0,=,0.8,1,0,=,0,1,0,0,=,0,=,=,=,2,=,=,0,0,=,=,=,=,University of Miami Infertility Center,Yes,Yes,No,Yes,Yes,Yes,No
"CENTER FOR REPRODUCTIVE MEDICINE, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,56%,0%,2%,13%,10%,2%,4%,<1%,8%,<1%,1%,28%,33%,"Randall A. Loy, MD",150,81,60,20,30,24.7,20,10,28.7,24.7,16.7,5,(21.6-36.6),(15.8-35.5),(8.3-28.5),(0.1-24.9),33.3,27,19.6,0.058823529,40.2,30.8,23.3,0.071428571,23.4,23.1,18.6,0.071428571,14,8.6,15,15,2.1,2.1,2.5,3,44.4,20,0.166666667,0,4.4,15,0,0,41.9,25,0.2,0,17,5,5,5,0.294117647,0,0.2,0.2,2.2,2,1.8,2,17,8,0.352941176,0.125,2.1,1.9,"Center for Reproductive Medicine, PA",Yes,Yes,No,No,Yes,Yes,Yes
"FRANK C. RIGGALL, MD, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,35%,0%,2%,19%,16%,4%,2%,0%,10%,10%,19%,4%,15%,"Frank C. Riggall, MD",20,11,10,7,20,0.181818182,0.2,0,10,0.181818182,0.1,0,(1.2-31.7),,,,0.133333333,0.333333333,0.2,0,0.153846154,0.333333333,0.2,0,0.153846154,0.333333333,0.2,0,25,0.454545455,0.5,0.285714286,2.3,2,2.8,2.6,0.25,0,0,=,0,0,0,=,0,0,0,=,5,2,0,0,0,0.5,=,=,2,2.5,=,=,2,1,0,0,3,3,"Frank C. Riggall, MD, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes
"NEW LEADERS IN INFERTILITY & ENDOCRINOLOGY, LLC",,PENSACOLA,FLORIDA,100%,0%,0%,0%,66%,0%,0%,20%,4%,3%,16%,0%,27%,4%,3%,11%,10%,"Barry A. Ripps, MD",54,17,21,4,33.3,0.294117647,19,0.25,27.8,0.176470588,14.3,0,(16.5-41.6),,(3.0-36.3),,33.3,0.25,0.1875,0,34.9,0.272727273,0.214285714,0,20.9,0.272727273,0.142857143,0,16.7,0.294117647,23.8,0,3,3.3,3.7,3.3,0.277777778,0.4,0,0,0.055555556,0,0.25,0,0.4,0,0.333333333,=,8,0,2,0,0.25,=,0,=,2,=,2,=,5,0,0.4,=,2.6,=,"New Leaders in Infertility & Endocrinology, LLC",Yes,Yes,No,Yes,Yes,Yes,Pending
FERTILITY CENTER OF SARASOTA,,SARASOTA,FLORIDA,100%,0%,0%,0%,40%,0%,14%,19%,4%,22%,7%,0%,12%,8%,6%,9%,13%,"Julio E. Pabon, MD",42,24,33,7,50,25,18.2,0.142857143,45.2,20.8,9.1,0.142857143,(29.8-61.3),(7.1-42.2),(1.9-24.3),,52.8,25,10.7,0.2,57.6,0.294117647,12,0.333333333,51.5,0.176470588,8,0.333333333,14.3,16.7,15.2,0.285714286,2.8,3,3.1,3.3,14.3,0.333333333,0.166666667,0,0,0,0,0,0.105263158,0.4,0.333333333,0,7,4,3,1,0.142857143,0.5,0.666666667,1,2.4,3,2,3,28,14,42.9,0.214285714,2.4,3.1,"Fertility Center and Applied Genetics of Florida, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FLORIDA,100%,0%,0%,0%,57%,0%,<1%,11%,<1%,8%,8%,<1%,18%,10%,2%,13%,29%,"Maria Bustillo, MD",159,120,115,41,45.3,35,20.9,22,37.1,30.8,15.7,12.2,(29.6-45.1),(22.7-39.9),(9.5-23.6),(4.1-26.2),40.4,38.9,23.1,16.1,50.4,43.5,30,20.8,30.8,32.9,23.3,20.8,8.2,20.8,32.2,24.4,1.9,1.9,2.1,2.2,41.7,28.6,20.8,0,0,0,0,0,39,24.3,0.222222222,0,17,8,2,2,0.411764706,0.5,0.5,0,2.1,2.1,2.5,3,55,17,61.8,0.235294118,2,1.9,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,TAMPA,FLORIDA,95%,0%,3%,2%,3%,0%,2%,11%,13%,18%,10%,0%,3%,10%,7%,24%,6%,"Stephen W. Welden, MD",18,15,10,10,0.666666667,0.333333333,0.6,0.3,0.277777778,0.2,0.6,0.1,,,,,0.277777778,0.2,0.666666667,0.1,0.277777778,0.2,0.666666667,0.111111111,0.111111111,0.133333333,0.555555556,0.111111111,0,0,0.1,0,2.8,2.9,2.6,3,0.333333333,0.2,0.333333333,0,0.166666667,0.2,0,0,0.6,0.333333333,0.166666667,0,0,0,0,0,=,=,=,=,=,=,=,=,9,0,0.444444444,=,2.2,=,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,No,No
THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,>99%,0%,<1%,0%,39%,0%,<1%,17%,5%,6%,10%,2%,20%,1%,9%,11%,18%,"Marc Bernhisel, MD",212,117,80,24,43.4,41.9,26.3,12.5,38.7,35.9,20,0,(32.1-45.6),(27.2-45.3),(11.9-30.4),(0.0-14.2),41.4,40.4,23.2,0,44.1,42,28.1,0,29,28,22.8,0,6.6,11.1,13.8,4.2,2,2.3,2.4,2.6,34.8,24.5,19,0,0,6.1,0,0,34.1,33.3,0.1875,=,14,9,5,0,0.214285714,0.333333333,0,=,1.9,2.3,2.2,=,54,7,46.3,0.571428571,1.9,2.3,The Reproductive Medicine Group,Yes,Yes,Yes,Yes,Yes,Yes,Yes
F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,90%,10%,0%,0%,47%,0%,0%,11%,0%,32%,2%,0%,5%,0%,0%,25%,25%,"Minna R. Selub, MD",8,5,12,3,0.125,0.4,0.25,0,0.125,0.4,0.166666667,0,,,,,0.142857143,0.4,0.166666667,0,0.142857143,0.4,0.181818182,0,0,0.4,0.090909091,0,0.125,0,0,0.333333333,3.1,3,3.4,2.5,0,0,0,=,1,0,0.333333333,=,1,0,0.5,=,2,0,1,0,0,=,0,=,6,=,4,=,19,3,0.263157895,0.333333333,3.5,4,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF ASSISTED REPRODUCTION & ENDOCRINOLOGY,,WINTER PARK,FLORIDA,100%,0%,0%,0%,43%,0%,0%,8%,8%,21%,0%,0%,4%,5%,2%,37%,16%,"Mark P. Trolice, MD",40,17,21,10,50,0.470588235,14.3,0,45,0.352941176,4.8,0,(29.3-61.5),,(0.1-23.8),,47.4,0.4,0.058823529,0,48.6,0.428571429,0.071428571,0,27,0.428571429,0.071428571,0,5,0.117647059,19,0.3,2.2,2,2.8,1.7,40,0,0,=,5,0,0,=,0.444444444,0,0,=,8,3,7,2,0.125,0.333333333,0.142857143,0,1.9,2,1.9,2,11,1,0.454545455,1,2.1,2,Fertility Center of Assisted Reproduction & Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,Yes
EMORY REPRODUCTIVE CENTER,,ATLANTA,GEORGIA,100%,0%,0%,0%,54%,0%,0%,13%,4%,18%,5%,1%,15%,<1%,4%,16%,24%,"Donna R. Session, MD",57,20,20,7,50.9,45,30,0.142857143,43.9,35,20,0.142857143,(30.7-57.6),(15.4-59.2),(5.7-43.7),,50,0.4375,0.363636364,0.25,55.6,0.4375,0.363636364,0.25,31.1,0.375,0.272727273,0.25,12.3,20,45,0.428571429,2.5,2.7,3.5,2.8,41.4,0.333333333,0.166666667,0,6.9,0.111111111,0.166666667,0,44,0.142857143,0.25,0,14,7,0,0,0.428571429,0.428571429,=,=,2.1,2.4,=,=,16,9,0.4375,0.666666667,2.5,1.8,This clinic has closed or reorganized since 2004.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,
GEORGIA REPRODUCTIVE SPECIALISTS,,ATLANTA,GEORGIA,100%,0%,0%,0%,52%,<1%,0%,25%,10%,6%,5%,<1%,15%,5%,22%,9%,5%,"Carolyn R. Kaplan, MD",129,89,28,16,42.6,30.3,21.4,0.125,34.9,23.6,10.7,0.0625,(26.7-43.8),(15.2-33.8),(2.3-28.2),,38.1,28,14.3,0.1,41.3,30,14.3,0.111111111,22,22.9,9.5,0.111111111,8.5,15.7,25,0.375,2.6,2.8,3.3,3.6,34.5,22.2,0.333333333,1,7.3,7.4,0,0,46.7,23.8,0.333333333,0,51,26,6,0,37.3,15.4,0.166666667,=,2.2,2.2,2.3,=,26,13,42.3,0.153846154,2.8,1.9,Georgia Reproductive Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA,GEORGIA,100%,0%,0%,0%,79%,0%,<1%,7%,8%,15%,8%,1%,13%,4%,2%,21%,21%,"Joe B. Massey, MD",323,171,175,59,44,42.1,28.6,11.9,37.5,28.7,17.7,8.5,(32.2-43.0),(22.0-36.1),(12.4-24.2),(2.8-18.7),42.5,34.5,21.2,11.4,45,38,23.5,12.5,30.5,23.3,18.9,12.5,11.8,17,16.6,25.4,2.4,2.8,2.9,2.6,26.1,33.3,18,0,7,8.3,8,0,32.2,38.8,19.4,0,124,65,42,6,41.1,36.9,28.6,0,2.9,3.1,3.3,4.3,90,77,60,32.5,2.1,3.3,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,,AUGUSTA,GEORGIA,100%,0%,0%,0%,48%,0%,0%,29%,3%,7%,7%,0%,10%,3%,13%,10%,19%,"Adelina M. Emmi, MD",12,9,6,0,0.5,0.666666667,0.333333333,=,0.5,0.555555556,0.333333333,=,,,,,0.545454545,0.555555556,0.666666667,=,0.545454545,0.555555556,0.666666667,=,0.363636364,0.555555556,0.666666667,=,0.083333333,0,0.5,=,2.5,2.8,2.3,=,0.5,0,0,=,0,0,0,=,0.333333333,0,0,=,2,2,0,0,0,0,=,=,3,3,=,=,0,0,=,=,=,=,Reproductive Medicine and Infertility Associates,No,No,Yes,No,Yes,Yes,Yes
SERVY INSTITUTE FOR REPRODUCTIVE ENDOCRINOLOGY,,AUGUSTA,GEORGIA,100%,0%,0%,0%,53%,0%,0%,31%,7%,7%,0%,0%,18%,9%,22%,2%,4%,"Servy Edouard, MD",31,12,2,2,38.7,0.333333333,0,0,38.7,0.333333333,0,0,(21.8-57.8),,,,44.4,0.4,0,0,46.2,0.4,0,0,30.8,0.4,0,0,12.9,0.166666667,0.5,0.5,2.5,2.4,2,3,0.25,0,=,=,0.083333333,0,=,=,0.333333333,0,=,=,4,2,0,0,0.25,0,=,=,2,1.5,=,=,0,0,=,=,=,=,Servy Institute for Reproductive Endocrinology,Yes,No,No,No,Yes,Yes,Yes
COLUMBUS CENTER FOR REPRODUCTIVE ENDOCRINOLOGY & INFERTILITY,,COLUMBUS,GEORGIA,100%,0%,0%,0%,57%,0%,2%,11%,7%,0%,4%,0%,18%,2%,56%,2%,0%,"Prakash J. Thiruppathi, MD",34,4,7,0,41.2,1,0.285714286,=,35.3,1,0.285714286,=,(19.7-53.5),,,,35.3,1,0.285714286,=,35.3,1,0.333333333,=,26.5,1,0.333333333,=,0,0,0,=,2.9,3.3,3.5,=,0.428571429,0.25,0,=,0.071428571,0,0,=,0.25,0,0,=,2,0,1,1,0,=,0,1,4,=,6,5,4,0,0.25,=,3.5,=,Columbus Center for Reproductive Endocrinology & Infertility,Yes,Yes,Yes,Yes,Yes,No,Yes
CENTRAL GEORGIA FERTILITY INSTITUTE,,MACON,GEORGIA,100%,0%,0%,0%,49%,0%,0%,23%,0%,5%,13%,3%,13%,0%,13%,23%,8%,"William J. Butler, MD",20,8,2,2,65,0.375,0.5,0,55,0.125,0.5,0,(31.5-76.9),,,,55,0.125,0.5,0,0.578947368,0.125,0.5,0,0.368421053,0.125,0.5,0,0,0,0,0,2.3,2.3,3.5,3,0.384615385,0.333333333,0,=,0,0,0,=,0.363636364,0,0,=,2,1,0,0,0,0,=,=,3,1,=,=,0,1,=,1,=,3,Central Georgia Fertility Institute,No,No,Yes,No,Yes,Yes,Yes
GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,,SAVANNAH,GEORGIA,100%,0%,0%,0%,52%,0%,0%,12%,8%,2%,12%,0%,21%,10%,3%,15%,18%,"Patrick L. Blohm, MD",38,11,2,2,60.5,0.454545455,0.5,0,57.9,0.454545455,0.5,0,(40.8-73.7),,,,59.5,0.5,0.5,0,62.9,0.5,0.5,0,34.3,0.3,0.5,0,2.6,0.090909091,0,0.5,2.8,2.9,3.5,2,39.1,0.2,0,=,8.7,0.2,0,=,45.5,0.4,0,=,5,0,0,0,0.6,=,=,=,2.4,=,=,=,1,0,1,=,3,=,Georgia Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,No,No
ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,WOODSTOCK,GEORGIA,100%,0%,0%,0%,62%,0%,0%,11%,3%,13%,5%,<1%,13%,6%,12%,22%,16%,"James P. Toner, MD, PhD",193,82,61,11,38.9,23.2,24.6,0.272727273,31.6,20.7,14.8,0.181818182,(25.1-38.7),(12.6-31.1),(7.0-26.2),,36.1,23.3,16.7,0.181818182,38.9,25.8,17.3,0.222222222,27.4,13.6,13.5,0.111111111,12.4,11,11.5,0,2.3,2.7,3,3,25.3,0.421052632,0.266666667,0.333333333,4,0.105263158,0.066666667,0,29.5,0.470588235,0.222222222,0.5,58,21,10,1,27.6,19,0.3,0,2.4,2,3.1,3,33,6,48.5,0,1.9,2.7,Atlanta Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED REPRODUCTIVE CENTER OF HAWAII,,HONOLULU,HAWAII,100%,0%,0%,0%,50%,0%,0%,7%,0%,15%,3%,0%,3%,10%,0%,21%,43%,"Christopher T. Huang, MD",15,12,15,13,0.4,0.416666667,0.2,0.307692308,0.2,0.25,0.2,0.153846154,,,,,0.214285714,0.3,0.230769231,0.181818182,0.214285714,0.3,0.25,0.222222222,0.142857143,0.3,0.166666667,0.111111111,0.066666667,0.166666667,0.133333333,0.153846154,3.6,3.8,2.3,3.3,0.166666667,0,0.333333333,0.25,0,0,0,0,0.333333333,0,0.333333333,0.5,0,0,0,0,=,=,=,=,=,=,=,=,3,0,0.666666667,=,2.3,=,Advanced Reproductive Center of Hawaii,Yes,Yes,Yes,No,Yes,Yes,Yes
IVF HAWAII,,HONOLULU,HAWAII,100%,0%,0%,0%,68%,0%,0%,<1%,<1%,<1%,4%,0%,3%,0%,0%,27%,64%,"Benton H. Chun, MD",30,21,19,15,43.3,47.6,0.315789474,0.4,30,38.1,0.105263158,0.133333333,(14.7-49.4),(18.1-61.6),,,30,38.1,0.105263158,0.133333333,32.1,38.1,0.111111111,0.133333333,17.9,19,0.055555556,0.133333333,0,0,0,0,3,3,3.4,4.2,0.307692308,0.3,0.166666667,0,0.076923077,0.1,0,0,0.444444444,0.5,0.5,0,5,1,3,1,0.6,0,0,0,2.6,4,1.7,4,11,2,0.545454545,0,2.5,3,IVF Hawaii,No,Yes,Yes,No,Yes,No,No
PACIFIC IN VITRO FERTILIZATION INSTITUTE,,HONOLULU,HAWAII,100%,0%,0%,0%,48%,0%,0%,12%,3%,5%,3%,0%,9%,<1%,2%,19%,47%,"Thomas S. Kosasa, MD",78,45,53,19,37.2,33.3,20.8,0,35.9,31.1,17,0,(25.3-47.6),(18.2-46.6),(8.1-29.8),,38.4,34.1,19.1,0,40,36.8,20.9,0,28.6,18.4,16.3,0,6.4,8.9,11.3,0.105263158,2.9,3.5,3.7,3.5,27.6,0.466666667,0.272727273,=,6.9,0.066666667,0,=,28.6,0.5,0.222222222,=,18,12,13,2,0.555555556,0.5,0.230769231,0.5,2.2,2.2,2.6,2,19,4,0.473684211,0,2.6,2,Pacific In Vitro Fertilization Institute,Yes,Yes,Yes,Yes,Yes,Yes,Yes
