PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
"CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY, P.A.",,DAVIE,FLORIDA,99%,0%,0%,1%,67%,2%,1%,15%,<1%,11%,3%,4%,25%,3%,4%,11%,23%,"Mick Abae, M.D.",33,26,14,5,45.5,23.1,0.214285714,0.2,42.4,23.1,0.071428571,0.2,(25.6 - 59.3),(6.9 - 39.3),,,45.2,25,0.083333333,0.2,45.2,25,0.090909091,0.2,35.5,25,0,0.2,6.1,7.7,0.142857143,0,2.4,2.6,3.1,3,0.2,0,0.333333333,0,0.066666667,0,0,0,0.214285714,0,1,0,5,4,0,1,0,0,=,0,2.4,2.8,=,2,14,2,0.5,0,2.4,2.5,"Center for Advanced Reproductive Endocrinology, P.A.",Yes,No,Yes,Yes,Yes,Yes,Yes
"SOUTHWEST FLORIDA FERTILITY CENTER, P.A.",,FORT MYERS,FLORIDA,100%,0%,0%,0%,0%,0%,0%,20%,5%,0%,0%,17%,0%,5%,8%,20%,25%,"Jacob L. Glock, M.D.",7,6,12,1,0.285714286,0.333333333,0.083333333,0,0.285714286,0.333333333,0,0,,,,,0.333333333,0.333333333,0,0,0.333333333,0.333333333,0,0,0.166666667,0.333333333,0,0,0.142857143,0,0,0,3.2,2.7,3.3,4,0.5,0,0,=,0,0,0,=,0.5,0,=,=,0,2,0,1,=,0,=,0,=,3,=,1,3,1,0,0,3,3,"Southwest Florida Fertility Center, P.A.",Yes,No,Yes,Yes,Yes,Yes,Pending
"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, P.A.",,FORT MYERS,FLORIDA,100%,0%,0%,0%,66%,0%,0%,6%,1%,3%,0%,0%,5%,0%,1%,43%,41%,"Craig R. Sweet, M.D.",37,21,15,1,24.3,42.9,0.066666667,0,24.3,19,0.066666667,0,(10.5 - 38.1),(2.3 - 35.8),,,24.3,20,0.090909091,=,25,20,0.090909091,=,8.3,15,0.090909091,=,0,4.8,0.266666667,1,2.8,3.1,3,=,0.666666667,0.111111111,0,=,0,0,0,=,0.666666667,0.25,0,=,4,1,2,0,0,0,0.5,=,2.3,2,3,=,10,2,0.3,0,2.7,3,"Specialists in Reproductive Medicine & Surgery, P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF FLORIDA,WOMEN'S HEALTH AT MAGNOLIA PARKE,GAINESVILLE,FLORIDA,>99%,0%,0%,<1%,37%,0%,0%,15%,9%,<1%,22%,0%,20%,23%,<1%,6%,3%,"R. Stan Williams, M.D.",56,29,26,2,33.9,27.6,30.8,0,30.4,24.1,26.9,0,(18.3 - 42.4),(8.6 - 39.7),(9.9 - 44.0),,32.7,28,30.4,0,34,30.4,33.3,0,26,26.1,28.6,0,7.1,13.8,11.5,0,2.1,2.1,2.1,2,0.210526316,0.125,0.125,=,0,0,0.125,=,0.235294118,0.142857143,0.142857143,=,5,2,2,1,0.4,0,0,0,2.6,3,1.5,3,15,1,0.266666667,1,2,2,University of Florida Women's Health at Magnolia Parke,Yes,Yes,No,Yes,Yes,Yes,Yes
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,,GULF BREEZE,FLORIDA,100%,0%,0%,0%,79%,0%,0%,3%,5%,3%,3%,0%,17%,2%,0%,2%,65%,"Robert C. Pyle, M.D.",24,7,10,2,37.5,0.285714286,0.4,0,29.2,0.285714286,0.2,0,(11.0 - 47.4),,,,31.8,0.285714286,0.222222222,=,33.3,0.333333333,0.222222222,=,28.6,0.166666667,0.111111111,=,8.3,0,0.1,1,3.1,3.7,3.8,=,0,0.5,0.25,=,0.111111111,0,0,=,0.142857143,0.5,0.5,=,3,0,3,0,0.666666667,=,0,=,2.7,=,2,=,5,2,0.6,0,3.6,3,Fertility Institute of Northwest Florida,Yes,Yes,No,Yes,Yes,Yes,Yes
ASSISTED FERTILITY PROGRAM OF NORTH FLORIDA,,JACKSONVILLE,FLORIDA,98%,2%,0%,0%,26%,0%,0%,14%,14%,15%,12%,4%,12%,8%,1%,12%,8%,"Shaykh M. Marwan, M.D.",34,6,12,1,41.2,0.5,0.166666667,1,29.4,0.166666667,0.166666667,1,(14.1 - 44.7),,,,38.5,0.166666667,0.181818182,1,38.5,0.166666667,0.181818182,1,19.2,0,0.181818182,1,23.5,0,0.083333333,0,3.1,3.8,3.1,3,0.357142857,0,0,0,0.142857143,0.333333333,0,0,0.5,1,0,0,3,2,0,0,0,0,=,=,2.3,3,=,=,11,1,0.181818182,0,3.2,5,Assisted Fertility Program of North Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,63%,0%,<1%,12%,5%,9%,6%,1%,23%,3%,4%,9%,28%,"Kevin L. Winslow, M.D.",309,115,101,36,50.8,50.4,39.6,25,43.7,40,32.7,16.7,(39.1 - 50.2),(31.0 - 49.0),(23.5 - 41.8),(4.5 - 28.8),46.6,43,34.4,18.2,49.3,44.7,35.1,20.7,25.2,31.1,25.5,20.7,6.1,7,5,8.3,2.6,2.8,3.1,3.6,42.7,27.6,20,0,8.3,1.7,7.5,0,48.9,30.4,27.3,0,121,37,33,11,33.9,35.1,27.3,0.454545455,2.7,2.9,3,3.1,58,11,63.8,0.363636364,2.6,2.5,Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTH FLORIDA CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,12%,0%,0%,11%,14%,17%,5%,1%,8%,2%,2%,17%,23%,"Michael D. Fox, M.D.",45,13,8,2,33.3,0.384615385,0.375,0,31.1,0.230769231,0.25,0,(17.6 - 44.6),,,,35,0.230769231,0.25,0,37.8,0.272727273,0.285714286,0,18.9,0.272727273,0.285714286,0,11.1,0,0,0.5,2.8,2.8,3.9,2,0.533333333,0,0,=,0.133333333,0.2,0,=,0.5,0,0,=,5,0,0,0,0.6,=,=,=,3.8,=,=,=,10,1,0.5,1,2,4,Jacksonville Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE & GENETICS,,JUPITER,FLORIDA,100%,0%,0%,0%,57%,0%,2%,29%,8%,3%,5%,2%,19%,0%,19%,2%,13%,"Gene F. Manko, M.D.",24,16,11,1,41.7,0.375,0.181818182,0,29.2,0.375,0.090909091,0,(11.0 - 47.4),,,,30.4,0.5,0.1,=,33.3,0.5,0.111111111,=,23.8,0.416666667,0.111111111,=,4.2,0.25,0.090909091,1,2.3,2.1,2.9,=,0.3,0.166666667,0,=,0.1,0.166666667,0,=,0.285714286,0.166666667,0,=,2,0,1,0,0,=,0,=,2,=,2,=,0,2,=,0,=,2.5,"Gene F. Manko, M.D., Inc.",Yes,No,Yes,Yes,Yes,No,None
IVF FLORIDA,MEMORIAL ADVANCED FERTILITY TREATMENT CENTER,MARGATE,FLORIDA,100%,0%,0%,0%,64%,0%,<1%,19%,2%,11%,9%,2%,19%,12%,4%,9%,13%,"David I. Hoffman, M.D.",213,98,75,33,33.8,34.7,29.3,6.1,30.5,32.7,18.7,3,(24.3 - 36.7),(23.4 - 41.9),(9.8 - 27.5),(0.0 - 8.9),34.2,40.5,21.9,3.7,37.1,42.1,22.6,3.7,27.4,25,14.5,3.7,10.8,19.4,14.7,18.2,2.3,2.7,3.4,3.2,25,32.4,22.7,0,2.8,11.8,4.5,0,26.2,40.6,0.357142857,0,42,14,11,3,26.2,0.214285714,0.272727273,0,2.7,2.9,2.3,3.7,40,7,37.5,0.142857143,2.4,2.4,"IVF Florida, Memorial Advanced Fertility Treatment Center",Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY AND REPRODUCTIVE MEDICINE CENTER FOR WOMEN,,MELBOURNE,FLORIDA,100%,0%,0%,0%,59%,0%,0%,7%,0%,4%,4%,0%,3%,5%,2%,42%,33%,"Diran Chamoun, M.D.",24,10,8,3,25,0.5,0.125,0,20.8,0.3,0.125,0,(4.6 - 37.1),,,,0.277777778,0.333333333,0.166666667,0,0.357142857,0.333333333,0.2,0,0.142857143,0.222222222,0.2,0,25,0.1,0.25,0,2.5,2.6,2.8,3.3,0.333333333,0.4,0,=,0.166666667,0,0,=,0.6,0.333333333,0,=,2,1,2,0,0,1,0,=,2,2,1.5,=,5,1,0.6,0,2.8,2,Fertility and Reproductive Medicine Center for Women,Yes,No,Yes,Yes,Yes,Yes,None
"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,100%,0%,0%,0%,72%,0%,0%,8%,5%,8%,1%,<1%,15%,2%,8%,16%,36%,"Michael H. Jacobs, M.D.",138,65,57,14,43.5,29.2,31.6,0.071428571,37.7,21.5,24.6,0.071428571,(29.6 - 45.8),(11.5 - 31.5),(13.4 - 35.7),,43,24.1,31.8,0.083333333,45.2,25,33.3,0.083333333,18.3,14.3,28.6,0.083333333,12.3,10.8,22.8,0.142857143,2.7,2.6,3.1,3.3,51.7,0.315789474,0.277777778,1,6.7,0,0,0,59.6,0.428571429,0.142857143,0,20,16,5,1,45,0.375,0.4,0,2.7,2.6,3,3,23,9,60.9,0.333333333,2.3,2.7,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
PALMETTO FERTILITY CENTER OF SOUTH FLORIDA,,MIAMI,FLORIDA,100%,0%,0%,0%,56%,0%,0%,12%,12%,15%,4%,0%,17%,0%,8%,11%,21%,"Michael D. Graubert, M.D.",34,18,12,4,44.1,0.444444444,0.25,0.25,38.2,0.333333333,0.25,0,(21.9 - 54.6),,,,40.6,0.4,0.333333333,0,41.9,0.461538462,0.375,0,32.3,0.307692308,0.375,0,5.9,0.166666667,0.25,0,2.4,2.9,2.9,3.3,0.2,0.375,0,0,0.066666667,0,0,0,0.230769231,0.333333333,0,=,4,4,1,0,0.25,0.5,0,=,2,2,2,=,4,1,1,0,2.3,4,Palmetto Fertility Center of South Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,MIAMI,FLORIDA,100%,0%,0%,0%,56%,0%,0%,13%,4%,11%,11%,<1%,19%,11%,3%,8%,19%,"Maria Bustillo, M.D.",175,87,60,25,42.3,33.3,20,8,38.3,29.9,20,0,(31.1 - 45.5),(20.3 - 39.5),(9.9 - 30.1),(0.0 - 100.0),44.1,35.6,26.1,0,49.6,41.3,31.6,0,32.6,30.2,31.6,0,13.1,16.1,23.3,36,2,2.4,2.6,3.3,35.1,27.6,0,0,2.7,0,0,0,34.3,26.9,0,=,12,3,2,0,0.25,0,0,=,2.3,2.7,3,=,55,16,45.5,0.1875,2.2,2.4,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE, P.A.",,ORLANDO,FLORIDA,100%,0%,0%,0%,47%,0%,<1%,10%,6%,2%,4%,<1%,11%,1%,4%,28%,33%,"Randall A. Loy, M.D.",155,90,64,41,34.8,32.2,15.6,7.3,32.9,28.9,12.5,4.9,(25.5 - 40.3),(19.5 - 38.3),(4.4 - 20.6),(0.0 - 11.5),38.6,36.1,17.4,6.5,40.8,37.7,19,6.9,28.8,26.1,16.7,6.9,14.8,20,28.1,24.4,2.2,2.4,2.5,2.8,25.9,20.7,0.1,0,7.4,13.8,0,0,29.4,30.8,0.125,0,10,9,5,1,0.3,0.111111111,0.4,0,2,2.2,1.6,2,12,9,0.5,0.222222222,2.5,2,"Center for Reproductive Medicine, P.A.",Yes,Yes,No,No,Yes,Yes,Yes
REPRODUCTIVE MEDICINE AND FERTILITY CENTER,,ORLANDO,FLORIDA,100%,0%,0%,0%,95%,0%,1%,21%,15%,5%,14%,<1%,7%,0%,9%,15%,13%,"Mark L. Jutras, M.D.",50,22,15,6,64,45.5,0.466666667,0,56,40.9,0.4,0,(42.2 - 69.8),(20.4 - 61.5),,,57.1,42.9,0.5,0,58.3,42.9,0.5,0,37.5,23.8,0.5,0,2,4.5,0.2,0,2,2.3,2.4,2.8,37.5,0.4,0.142857143,=,0,0,0,=,35.7,0.444444444,0,=,2,0,2,1,0,=,1,0,2,=,2.5,1,4,2,0.5,0.5,2,2.5,Reproductive Medicine and Fertility Center,Yes,No,No,Yes,Yes,Yes,Yes
"FRANK C. RIGGALL, M.D., P.A.",,ORLANDO,FLORIDA,100%,0%,0%,0%,30%,0%,0%,18%,11%,3%,18%,0%,18%,0%,8%,5%,19%,"Frank C. Riggall, M.D.",48,12,17,2,20.8,0.416666667,0.117647059,0,18.8,0.25,0.117647059,0,(7.7 - 29.8),,,,23.7,0.272727273,0.222222222,=,23.7,0.3,0.25,=,13.2,0,0.25,=,20.8,0.083333333,0.470588235,1,2.3,2.8,3.3,=,0.3,0.4,0,=,0.1,0.2,0,=,0.444444444,1,0,=,4,1,0,0,0,0,=,=,2.3,2,=,=,2,0,0,=,3,=,"Frank C. Riggall, M.D., P.A.",Yes,Yes,No,Yes,Yes,Yes,Yes
"NEW LEADERS IN INFERTILITY & ENDOCRINOLOGY, L.L.C.",,PENSACOLA,FLORIDA,100%,0%,0%,0%,78%,0%,0%,27%,1%,0%,18%,1%,28%,1%,7%,5%,12%,"Barry A. Ripps, M.D.",44,13,13,6,31.8,0.307692308,0.153846154,0,25,0.230769231,0.076923077,0,(12.2 - 37.8),,,,28.9,0.272727273,0.111111111,0,30.6,0.3,0.111111111,0,25,0.1,0,0,13.6,0.153846154,0.307692308,0,3.3,3.9,4.2,3.8,0.142857143,0,1,=,0,0.5,0,=,0.181818182,0.666666667,1,=,7,0,4,0,0,=,0.25,=,3.1,=,2.8,=,0,0,=,=,=,=,"New Leaders in Infertility & Endocrinology, L.L.C.",Yes,Yes,No,Yes,Yes,Yes,Pending
FERTILITY CENTER OF SARASOTA,"JULIO E. PABON, M.D., P.A.",SARASOTA,FLORIDA,100%,0%,0%,0%,31%,0%,5%,15%,2%,14%,8%,1%,11%,14%,2%,23%,10%,"Julio E. Pabon, M.D.",36,27,19,8,47.2,25.9,0.157894737,0.125,41.7,22.2,0.157894737,0.125,(25.6 - 57.8),(6.5 - 37.9),,,53.6,0.315789474,0.230769231,0.2,55.6,0.315789474,0.25,0.2,40.7,0.210526316,0.166666667,0,22.2,29.6,0.315789474,0.375,2.7,2.8,3.3,4,0.235294118,0.428571429,0.333333333,1,0,0,0,0,0.266666667,0.333333333,0.333333333,1,3,1,2,0,0.333333333,1,0.5,=,2.3,2,2.5,=,33,9,51.5,0.333333333,2.4,3.2,"Fertility Center of Sarasota, Julio E. Pabon, M.D., P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM AT UNIVERSITY COMMUNITY,"HOSPITAL, DRS. VERKAUF, BERNHISEL, TARANTINO, GOODMAN & YEKO",TAMPA,FLORIDA,>99%,<1%,0%,<1%,31%,0%,0%,20%,5%,7%,11%,<1%,15%,2%,13%,12%,14%,"Marc Bernhisel, M.D.",200,104,94,44,50,38.5,30.9,20.5,43,31.7,26.6,15.9,(36.1 - 49.9),(22.8 - 40.7),(17.7 - 35.5),(5.1 - 26.7),46,34.4,32.1,18.9,47.8,35.5,33.3,20,25.6,20.4,24,17.1,6.5,7.7,17,15.9,2.1,2.5,2.8,2.7,38,32.5,27.6,0.111111111,6,10,0,0,46.5,42.4,28,0.142857143,17,11,3,0,0,0.363636364,0.333333333,=,2.3,2.5,2.3,=,51,5,62.7,0.2,2,2.4,This clinic has undergone reorganization since 2002. Information on current clinic services and profile therefore is not provided here. Contact SART for current information about this clinic.,,,,,,,
CENTER FOR REPRODUCTIVE MEDICINE,DR. STEPHEN W. WELDEN,TAMPA,FLORIDA,98%,2%,0%,0%,9%,0%,0%,8%,9%,32%,13%,0%,4%,6%,6%,9%,13%,"Stephen W. Welden, M.D., P.A.",14,10,13,7,0.5,0.6,0.384615385,0.428571429,0.428571429,0.5,0.384615385,0.285714286,,,,,0.428571429,0.5,0.384615385,0.285714286,0.428571429,0.5,0.384615385,0.285714286,0.357142857,0.2,0.153846154,0.285714286,0,0,0,0,3,3,3.8,3.6,0.142857143,0.333333333,0.4,0,0,0.333333333,0.2,0,0.166666667,0.6,0.6,0,0,0,0,0,=,=,=,=,=,=,=,=,8,0,0.375,=,3.4,=,"Center for Reproductive Medicine, Dr. Stephen W. Welden",Yes,Yes,Yes,Yes,Yes,No,None
UNIVERSITY OF SOUTH FLORIDA FERTILITY PROGRAM,,TAMPA,FLORIDA,100%,0%,0%,0%,25%,0%,0%,38%,0%,0%,13%,0%,13%,0%,12%,12%,12%,"James C. Mayer, M.D.",6,1,1,0,0.333333333,1,0,=,0.166666667,1,0,=,,,,,0.166666667,1,0,=,0.166666667,1,0,=,0,1,0,=,0,0,0,=,3.2,3,3,=,0.5,1,=,=,0,0,=,=,1,0,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,University of South Florida Fertility Program,Yes,No,Yes,Yes,Yes,No,None
F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,100%,0%,0%,0%,40%,0%,5%,2%,0%,18%,5%,2%,10%,4%,1%,39%,19%,"Minna R. Selub, M.D.",14,16,11,1,0.357142857,0,0.181818182,0,0.285714286,0,0.181818182,0,,,,,0.333333333,0,0.2,0,0.363636364,0,0.25,0,0.272727273,0,0.25,0,0.142857143,0.125,0.090909091,0,4.3,4.6,4.1,2,0.2,=,0,=,0,=,0,=,0.25,=,0,=,0,2,1,0,=,0,0,=,=,5.5,1,=,30,6,6.7,0.166666667,4.6,5.2,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes
WOMEN'S HEALTHCARE SPECIALISTS,IVF MIAMI,WESTON,FLORIDA,100%,0%,0%,0%,45%,0%,2%,11%,3%,14%,11%,0%,11%,2%,14%,10%,24%,"Bernard Cantor, M.D.",18,11,12,3,0.5,0.363636364,0.25,0,0.444444444,0.272727273,0.166666667,0,,,,,0.470588235,0.375,0.166666667,0,0.5,0.428571429,0.166666667,0,0.375,0.428571429,0,0,0.055555556,0.272727273,0,0,2.3,3.1,2.3,2,0.333333333,0.25,0.666666667,=,0,0,0,=,0.25,0,1,=,2,0,2,0,0.5,=,0.5,=,2.5,=,3,=,8,0,0.5,=,1.9,=,"Women's Healthcare Specialists, IVF Miami",Yes,No,Yes,Yes,Yes,Yes,Yes
EMORY CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,,ATLANTA,GEORGIA,100%,0%,0%,0%,60%,<1%,1%,7%,2%,2%,10%,1%,13%,4%,7%,32%,22%,"Ana Murphy, M.D.",85,26,14,11,36.5,42.3,0.214285714,0,32.9,34.6,0.142857143,0,(22.9 - 42.9),(16.3 - 52.9),,,37.8,40.9,0.2,0,41.8,45,0.2,0,25.4,35,0.2,0,12.9,15.4,0.285714286,0.363636364,2.3,2.3,3.1,3,38.7,0.181818182,0.333333333,=,9.7,0.090909091,0,=,39.3,0.222222222,0,=,19,2,1,1,0.368421053,0.5,0,1,1.9,3.5,3,3,8,3,0.625,0.333333333,2,2.7,Emory Center for Reproductive Medicine and Fertility,Yes,No,Yes,Yes,Yes,Yes,Yes
GEORGIA REPRODUCTIVE SPECIALISTS ,,ATLANTA,GEORGIA,100%,0%,0%,0%,48%,<1%,0%,14%,5%,0%,7%,0%,10%,8%,10%,26%,20%,"Mark Perloe, M.D.",121,53,36,14,40.5,34,16.7,0.071428571,25.6,26.4,8.3,0,(17.8 - 33.4),(14.5 - 38.3),(0.0 - 17.4),,28.7,31.8,10.7,0,29,31.8,11.1,0,18.7,22.7,7.4,0,10.7,17,22.2,0.285714286,2.8,3.1,3.5,4,32.7,0.333333333,0.333333333,0,10.2,0.055555556,0,0,35.5,0.285714286,0.333333333,=,31,8,4,1,29,0.25,0,0,2.6,2.4,2.5,3,17,3,0.294117647,0.333333333,3,2.3,"Georgia Reproductive Specialists, L.L.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA,GEORGIA,100%,0%,0%,0%,61%,0%,1%,10%,10%,11%,10%,2%,20%,3%,1%,16%,17%,"Joe B. Massey, M.D.",375,208,192,80,40.5,34.1,30.2,12.5,36.3,30.3,24.5,10,(31.4 - 41.1),(24.0 - 36.5),(18.4 - 30.6),(3.4 - 16.6),42.8,35,34.6,12.1,44.4,37.3,36.2,13.1,27.8,24.9,26.2,11.5,15.2,13.5,29.2,17.5,2.8,2.8,3,3,28.9,28.2,20.7,0.1,9.9,4.2,3.4,0,37.5,33.3,27.7,0.125,92,39,24,7,30.4,28.2,4.2,0.142857143,3.2,3.1,2.8,4.1,104,51,51.9,25.5,2.6,3.1,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTRAL GEORGIA FERTILITY INSTITUTE,,MACON,GEORGIA,100%,0%,0%,0%,26%,0%,0%,9%,6%,9%,25%,0%,21%,6%,0%,18%,6%,"William J. Butler, M.D.",12,4,6,1,0.333333333,0.75,0.166666667,0,0.25,0.5,0.166666667,0,,,,,0.333333333,0.666666667,0.333333333,0,0.333333333,0.666666667,0.333333333,0,0.222222222,0.666666667,0.333333333,0,0.25,0.25,0.5,0,2.4,2,3.7,4,0.25,0.333333333,0,=,0,0,0,=,0.333333333,0,0,=,3,1,1,0,0.333333333,0,0,=,2.7,2,3,=,2,0,0,=,3,=,Central Georgia Fertility Institute,No,No,Yes,No,Yes,Yes,Yes
ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,WOODSTOCK,GEORGIA,100%,0%,0%,0%,51%,1%,1%,12%,4%,16%,8%,<1%,13%,2%,9%,20%,16%,"Andre L. Denis, M.D.",128,70,53,16,33.6,44.3,28.3,0.3125,30.5,38.6,20.8,0.1875,(22.5 - 38.4),(27.2 - 50.0),(9.8 - 31.7),,36.1,42.2,23.4,0.230769231,38.6,45,26.2,0.25,25.7,25,16.7,0.166666667,15.6,8.6,11.3,0.1875,2.5,3,3.5,3.4,16.3,45.2,0.333333333,0.4,14,0,0,0,33.3,44.4,0.363636364,0.333333333,31,12,2,1,35.5,0.25,1,0,2.4,2.3,3,2,68,14,61.8,0.214285714,2.3,2.9,Atlanta Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PACIFIC IN VITRO FERTILIZATION INSTITUTE,,HONOLULU,HAWAII,100%,0%,0%,0%,31%,0%,0%,7%,<1%,4%,6%,0%,6%,<1%,6%,37%,33%,"Thomas S. Kosasa, M.D.",86,73,81,46,31.4,21.9,19.8,8.7,29.1,15.1,16,6.5,(19.5 - 38.7),(6.9 - 23.3),(8.1 - 24.0),(0.0 - 13.7),32.9,16.9,18.6,8.1,35.7,18,18.8,8.6,24.3,9.8,17.4,5.7,11.6,11,13.6,19.6,2.9,3.7,4.2,3.9,37,0.3125,0.25,0.5,3.7,0.0625,0.0625,0,32,0.454545455,0.076923077,0.333333333,17,16,12,3,0.411764706,0.25,0.25,0.666666667,2.9,3.3,3.8,4.7,12,5,0.416666667,0.6,2.8,3.4,Pacific In Vitro Fertilization Institute,Yes,Yes,Yes,Yes,Yes,Yes,Yes
HAWAII CENTER FOR REPRODUCTIVE MEDICINE & SURGERY,,KAILUA,HAWAII,100%,0%,0%,0%,34%,0%,0%,11%,<1%,9%,5%,0%,19%,<1%,7%,13%,34%,"Kenneth K.C. Vu, M.D.",71,72,68,46,35.2,27.8,23.5,6.5,29.6,23.6,20.6,0,(19.0 - 40.2),(13.8 - 33.4),(11.0 - 30.2),(0.0 - 100.0),33.3,25,23.7,0,35.6,26.2,24.1,0,22,18.5,19,0,11.3,5.6,13.2,21.7,2.9,3.5,3.8,3.6,32,30,0.25,0,12,10,0.0625,0,38.1,0.294117647,0.214285714,=,13,5,4,0,0.153846154,0.2,0,=,3.5,3.2,3.3,=,14,5,0.357142857,0,3,3.4,Hawaii Center for Reproductive Medicine & Surgery,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TRIPLER ARMY MEDICAL CENTER IVF INSTITUTE,,TRIPLER AMC,HAWAII,100%,0%,0%,0%,19%,0%,0%,13%,14%,5%,5%,0%,11%,0%,14%,16%,22%,"John L. Frattarelli, M.D.",16,6,8,1,0.5625,0.833333333,0.375,0,0.5,0.666666667,0.375,0,,,,,0.5,0.8,0.375,0,0.5,0.8,0.375,0,0.3125,0.6,0.375,0,0,0.166666667,0,0,2.8,3.2,2.9,3,0.222222222,0,0,=,0.111111111,0.4,0,=,0.375,0.25,0,=,3,2,1,0,0.666666667,1,1,=,2.7,2,3,=,0,0,=,=,=,=,Tripler Army Medical Center IVF Institute,No,No,Yes,No,Yes,Yes,Yes
