OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,eSETTotal,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
103,"SOUTHWEST FLORIDA FERTILITY CENTER, PA",,FORT MYERS,FLORIDA,100%,0%,0%,0%,23%,0%,2%,0%,2%,16%,16%,0%,0%,2%,18%,18%,11%,0%,20%,"Jacob L. Glock, MD",20,13,12,4,2,17,25,7.7,0.125,0,30,0.307692308,0.166666667,0.25,0,20,0.230769231,0.166666667,0.25,0,(5.7Ð43.7),,,,,0.210526316,0.272727273,0.166666667,0.25,0,0.210526316,0.3,0.181818182,0.333333333,0,0.157894737,0.3,0.181818182,0.333333333,0,5,0.153846154,0,0,0,2.5,2.4,2.4,2.7,2,0.333333333,0.5,0,0,=,0,0,0,0,=,0.25,0,0,0,=,2,0,1,0,0,0,=,0,=,=,2,=,2,=,=,1,0,0,=,3,=,"Southwest Florida Fertility Center, PA",Yes,No,Yes,Yes,Yes,Yes,Yes,FL
104,"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, PA","CRAIG R. SWEET, MD",FORT MYERS,FLORIDA,100%,0%,0%,0%,77%,0%,0%,13%,2%,9%,5%,40%,14%,0%,24%,2%,<1%,<1%,5%,"Craig R. Sweet, MD",27,25,16,2,0,31.8,27,37,0,=,40.7,28,0.4375,0,=,33.3,24,0.3125,0,=,(16.5Ð54.0),(9.4Ð45.1),,,,36,0.352941176,0.384615385,0,=,42.9,0.4,0.416666667,0,=,38.1,0.2,0.25,0,=,7.4,32,0.1875,0,=,2.1,2.5,2.3,3,=,0.272727273,0.285714286,0.428571429,=,=,0,0.142857143,0,=,=,0.111111111,0.5,0.4,=,=,3,1,1,0,1,0.666666667,0,0,=,0,2.7,2,2,=,2,15,10,0.8,0.4,2,2.4,"Specialists in Reproductive Medicine & Surgery, PA, Craig R. Sweet, MD",Yes,Yes,Yes,Yes,Yes,No,Yes,FL
105,UNIVERSITY OF FLORIDA WOMEN'S HEALTH AT MAGNOLIA PARKE,,GAINESVILLE,FLORIDA,100%,0%,0%,0%,49%,0%,2%,5%,0%,7%,4%,3%,10%,2%,10%,9%,9%,27%,21%,"R. Stan Williams, MD",40,26,13,2,0,27,24.5,0.25,0.166666667,=,42.5,38.5,0.230769231,0.5,=,40,38.5,0.153846154,0.5,=,(24.9Ð56.7),(20.2Ð59.4),,,,43.2,43.5,0.181818182,0.5,=,45.7,45.5,0.285714286,0.5,=,37.1,36.4,0.142857143,0.5,=,7.5,11.5,0.153846154,0,=,2.1,2.2,2.3,3,=,0.235294118,0.2,0.333333333,0,=,0,0,0,0,=,0.1875,0.2,0.5,0,=,3,0,1,0,1,0.666666667,=,0,=,0,1.3,=,1,=,1,10,1,0.6,1,2,2,University of Florida Women's Health at Magnolia Parke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
106,ASSISTED FERTILITY PROGRAM OF NORTH FLORIDA,,JACKSONVILLE,FLORIDA,96%,4%,0%,0%,27%,0%,2%,0%,0%,17%,13%,28%,0%,1%,16%,10%,6%,1%,7%,"Marwan M. Shaykh, MD",29,11,6,0,2,1.6,8.1,0,=,0,3.4,0.181818182,0,=,0,3.4,0.181818182,0,=,0,(0.1Ð17.8),,,,,4.3,0.181818182,0,=,0,4.5,0.181818182,0,=,0,4.5,0.181818182,0,=,0,20.7,0,0,=,0,2.8,3.4,3.3,=,5,0,0.5,=,=,=,0,0,=,=,=,0,0,=,=,=,2,1,1,0,0,0,0,0,=,=,1.5,3,2,=,=,11,2,0.454545455,0.5,3.1,2,Assisted Fertility Program of North Florida,Yes,Yes,Yes,Yes,Yes,Yes,Pending,FL
107,FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,71%,0%,<1%,2%,<1%,5%,4%,7%,4%,<1%,29%,4%,3%,7%,38%,"Kevin L. Winslow, MD",293,118,77,24,11,30,21.4,11.6,0,0,38.6,33.9,22.1,0,0,36.2,27.1,18.2,0,0,(30.7Ð42.0),(19.3Ð36.1),(10.3Ð28.6),(0.0Ð14.2),,41.7,31.1,20.6,0,0,45.5,34.8,22.2,0,0,27.5,26.1,22.2,0,0,13.3,12.7,11.7,20.8,0.181818182,2.4,2.7,2.7,3.4,3.2,32.7,22.5,0,=,=,8,5,0.117647059,=,=,39.6,25,0,=,=,141,67,40,18,9,48.9,22.4,32.5,0.277777778,0.222222222,2.3,2.2,2.2,2.1,3,74,37,56.8,29.7,2.3,2.4,Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
108,JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FLORIDA,100%,0%,0%,0%,31%,0%,0%,0%,2%,7%,23%,57%,2%,0%,9%,<1%,0%,2%,0%,"Michael D. Fox, MD",55,34,36,6,4,19.7,20.9,12.3,0,0,30.9,38.2,19.4,0,0,23.6,20.6,19.4,0,0,(13.2Ð37.0),(8.7Ð37.9),(8.2Ð36.0),,,24.5,23.3,24.1,0,0,26,25.9,26.9,0,0,16,18.5,26.9,0,0,3.6,11.8,19.4,0,0,2.3,2.5,2.5,2.5,2.8,0.411764706,0.307692308,0.142857143,=,=,0,0,0,=,=,0.384615385,0.285714286,0,=,=,8,9,4,1,0,0.125,0.111111111,0,1,=,1.9,2.1,2,3,=,9,7,0.222222222,0.142857143,2,2.1,Jacksonville Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Pending,FL
109,"GENE F. MANKO, MD, INC.",,JUPITER,FLORIDA,100%,0%,0%,0%,72%,0%,2%,0%,3%,19%,5%,2%,4%,0%,25%,5%,23%,6%,11%,"David Hoffman, MD",30,16,16,3,0,47.5,46.4,33.3,0,=,53.3,0.6875,0.375,0,=,40,0.375,0.1875,0,=,(22.7Ð59.4),,,,,42.9,0.4,0.214285714,0,=,50,0.428571429,0.272727273,0,=,45.8,0.142857143,0.272727273,0,=,6.7,0.0625,0.125,0.333333333,=,1.7,2,1.9,3,=,0.125,0.454545455,0.166666667,=,=,0.0625,0,0,=,=,0.083333333,0.666666667,0,=,=,6,5,3,0,0,0.166666667,0.6,0,=,=,2.5,2.4,2,=,=,3,0,0,=,1.7,=,This clinic has closed or reorganized since 2008.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,FL
110,CENTER FOR REPRODUCTIVE MEDICINE,"STEPHEN W. WELDEN, MD",LUTZ,FLORIDA,97%,0%,0%,3%,5%,0%,0%,0%,0%,0%,2%,31%,0%,0%,5%,0%,55%,2%,5%,"Stephen W. Welden, MD",15,9,9,2,0,42.1,19,19.2,0.166666667,=,0.666666667,0.555555556,0.444444444,0.5,=,0.533333333,0.222222222,0.333333333,0.5,=,,,,,,0.533333333,0.222222222,0.333333333,0.5,=,0.533333333,0.222222222,0.333333333,0.5,=,0.333333333,0.111111111,0.222222222,0.5,=,0,0,0,0,=,2.5,2.3,2.9,3,=,0.2,0,0.25,0,=,0.2,0.2,0,0,=,0.375,0.5,0.333333333,0,=,2,0,1,0,0,0,=,0,=,=,2,=,2,=,=,15,3,0.6,0,2.2,2.3,"Center for Reproductive Medicine, Stephen W. Welden, MD",Yes,No,Yes,Yes,Yes,No,No,FL
111,IVF FLORIDA,,MARGATE,FLORIDA,100%,0%,0%,0%,59%,0%,2%,<1%,1%,13%,4%,24%,9%,2%,16%,4%,9%,9%,11%,"David I. Hoffman, MD",261,178,165,59,28,33.1,18.3,20.6,6.3,3.4,44.1,25.8,29.7,15.3,10.7,34.1,19.7,20.6,10.2,7.1,(28.4Ð40.2),(14.1Ð26.3),(14.7Ð27.6),(3.8Ð20.8),(0.9Ð23.5),38.2,24.1,28.3,13.6,9.5,40.1,26.5,29.8,14,0.111111111,25.7,22,21.1,9.3,0.111111111,10.7,18.5,27.3,25.4,25,2.1,2.3,2.7,3.3,3.3,33,21.7,20.4,0.333333333,0,2.6,4.3,10.2,0,0,36,17.1,29.4,0.333333333,0,42,31,34,7,7,54.8,35.5,26.5,0.285714286,0.142857143,2.1,2.1,2.3,2.1,2.9,94,28,69.1,42.9,2,2.2,IVF Florida,Yes,No,Yes,Yes,Yes,Yes,Yes,FL
112,FERTILITY & REPRODUCTIVE MEDICINE CENTER FOR WOMEN,,MELBOURNE,FLORIDA,100%,0%,0%,0%,33%,0%,3%,0%,4%,3%,1%,14%,5%,1%,16%,5%,0%,25%,31%,"Diran Chamoun, MD",24,17,15,4,3,38.8,21.2,5.1,0,0,50,0.294117647,0.2,0,0,50,0.176470588,0.133333333,0,0,(29.1Ð70.9),,,,,54.5,0.2,0.153846154,0,0,60,0.25,0.166666667,0,0,30,0.166666667,0.166666667,0,0,8.3,0.117647059,0.133333333,0,0,2.5,2.8,3.3,4,4,0.416666667,0,0,=,=,0.083333333,0.2,0,=,=,0.5,0.333333333,0,=,=,0,0,0,0,1,=,=,=,=,0,=,=,=,=,3,12,3,0.333333333,0.333333333,3.1,4,"Viera Fertility Center, Fertility & Reproductive Medicine Center for Women",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
113,"FERTILITY & IVF CENTER OF MIAMI, INC.",,MIAMI,FLORIDA,100%,0%,0%,0%,88%,0%,<1%,7%,1%,8%,3%,5%,1%,<1%,21%,6%,3%,9%,44%,"Michael H. Jacobs, MD",159,122,98,23,14,38.6,24.4,15.3,6.1,3.6,56,35.2,27.6,8.7,0.142857143,48.4,31.1,25.5,4.3,0.071428571,(40.4Ð56.5),(23.1Ð40.2),(17.2Ð35.3),(0.1Ð21.9),,50.3,34.2,28.4,5,0.076923077,52.7,36.5,30.5,0.055555556,0.090909091,31.5,27.9,25.6,0,0.090909091,3.8,9,10.2,13,0.071428571,2.2,2.4,2.6,2.7,2.5,39.3,39.5,25.9,0.5,0,1.1,2.3,0,0,0,40.3,23.7,16,1,0,37,34,22,10,6,56.8,32.4,31.8,0.3,0.166666667,2.2,2.2,2.3,2.3,2.2,39,4,48.7,0.5,2.2,2.5,"Fertility & IVF Center of Miami, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
114,PALMETTO FERTILITY CENTER OF SOUTH FLORIDA,,MIAMI,FLORIDA,100%,0%,0%,0%,95%,0%,0%,3%,0%,6%,4%,19%,1%,0%,26%,4%,3%,5%,31%,"Michael D. Graubert, MD",58,32,13,6,4,38.7,20,13.2,0.055555556,0,62.1,40.6,0.230769231,0.166666667,0,55.2,28.1,0.230769231,0.166666667,0,(41.5Ð68.3),(13.7Ð46.7),,,,55.2,28.1,0.230769231,0.166666667,0,57.1,30,0.25,0.2,0,33.9,16.7,0.166666667,0.2,0,0,0,0,0,0,2.4,2.7,3.2,3.6,4,33.3,0.230769231,0,0,=,8.3,0.076923077,0.333333333,0,=,40.6,0.444444444,0.333333333,0,=,6,2,4,1,0,0.5,0.5,0.25,1,=,2,2,2.3,3,=,24,6,70.8,0.666666667,2.1,2.5,Palmetto Fertility Center of South Florida,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
115,UNIVERSITY OF MIAMI INFERTILITY CENTER,,MIAMI,FLORIDA,100%,0%,0%,0%,58%,0%,0%,0%,0%,30%,9%,<1%,5%,0%,24%,12%,9%,4%,6%,"George R. Attia, MD",36,33,14,2,2,37.3,18.6,13,0,0,44.4,24.2,0.214285714,0,0,44.4,18.2,0.071428571,0,0,(27.9Ð61.9),(7.0Ð35.5),,,,44.4,19.4,0.076923077,0,0,51.6,21.4,0.083333333,0,0,35.5,14.3,0.083333333,0,0,0,6.1,0.071428571,0.5,0.5,1.9,2.1,1.9,2,3,0.375,0.375,0,=,=,0,0,0,=,=,0.3125,0.333333333,0,=,=,7,5,3,0,2,0.428571429,0.2,0.666666667,=,0.5,2.1,2.4,2,=,2,4,1,0.25,1,2,2,University of Miami Infertility Center,Yes,Yes,No,Yes,Yes,Yes,Yes,FL
116,"CENTER FOR REPRODUCTIVE MEDICINE, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,49%,<1%,1%,2%,3%,9%,15%,8%,9%,1%,10%,6%,2%,17%,22%,"Randall A. Loy, MD",202,89,75,22,14,37.5,31.3,15.3,5.6,3.6,39.1,41.6,20,9.1,0.071428571,35.1,31.5,13.3,9.1,0.071428571,(28.6Ð42.2),(22.0Ð42.2),(6.6Ð23.2),(1.1Ð29.2),,42.5,37.8,17.5,0.117647059,0.1,46.7,43.1,18.5,0.142857143,0.111111111,28.3,36.9,11.1,0.142857143,0.111111111,17.3,16.9,24,22.7,0.285714286,2,2.1,2.2,2.6,3.1,48.1,18.9,0.266666667,0,0,0,0,0,0,0,39.4,14.3,0.4,0,0,22,18,8,2,1,9.1,0.333333333,0.25,0,0,2,1.9,2.5,1,2,31,11,41.9,0.090909091,2.1,2.2,"Center for Reproductive Medicine, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
117,"FRANK C. RIGGALL, MD, PA",,ORLANDO,FLORIDA,100%,0%,0%,0%,41%,3%,9%,0%,0%,4%,0%,17%,0%,0%,13%,20%,7%,19%,20%,"Frank C. Riggall, MD",6,6,14,1,4,0.333333333,0.153846154,4.2,=,0,0.166666667,0.166666667,0.071428571,0,0,0.166666667,0.166666667,0.071428571,0,0,,,,,,0.333333333,0.25,0.083333333,=,0,0.5,0.25,0.090909091,=,0,0.5,0,0.090909091,=,0,0.5,0.333333333,0.142857143,1,0.5,1.5,3.3,2.2,=,1.5,0,1,0,=,=,0,0,0,=,=,0,1,0,=,=,2,1,2,0,1,0,0,0,=,0,2.5,2,2.5,=,2,5,6,0.2,0.166666667,2.2,2.8,"Frank C. Riggall, MD, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
118,"NEW LEADERS IN INFERTILITY & ENDOCRINOLOGY, LLC",,PENSACOLA,FLORIDA,100%,0%,0%,0%,89%,0%,0%,6%,0%,7%,2%,6%,6%,0%,21%,3%,6%,20%,27%,"Barry A. Ripps, MD",36,14,21,10,2,14.6,17.1,6,13,0,36.1,0.357142857,14.3,0.2,0,27.8,0.357142857,9.5,0.1,0,(14.2Ð45.2),,(1.2Ð30.4),,,28.6,0.384615385,0.111111111,0.111111111,0,31.3,0.416666667,0.133333333,0.125,0,25,0.25,0.133333333,0.125,0,2.8,0.071428571,14.3,0.1,0,2.8,3.4,3.3,2.9,4.5,0.153846154,0.4,0,0.5,=,0,0,0,0,=,0.2,0.4,0,0,=,5,3,0,0,0,0.2,0.333333333,=,=,=,2,2.7,=,=,=,0,1,=,0,=,3,"New Leaders in Infertility & Endocrinology, LLC",No,Yes,Yes,No,Yes,Yes,Pending,FL
119,FERTILITY & GENETICS,,PLANTATION,FLORIDA,98%,0%,0%,2%,77%,0%,0%,10%,2%,0%,0%,4%,0%,0%,8%,12%,0%,25%,52%,"Mick AbaŽ, MD",34,11,11,3,2,40.3,26.1,31.3,0.25,0.125,52.9,0.545454545,0.727272727,0.666666667,0.5,44.1,0.363636364,0.545454545,0.333333333,0.5,(27.2Ð62.1),,,,,45.5,0.363636364,0.545454545,0.333333333,0.5,46.9,0.4,0.6,0.333333333,0.5,21.9,0.3,0.4,0,0.5,2.9,0,0,0,0,1.9,2.3,3.2,4,4,0.444444444,0.166666667,0.25,0.5,0,0,0,0,0,0,0.533333333,0.25,0.333333333,1,0,3,1,2,0,0,0,0,0,=,=,2,3,1.5,=,=,15,1,0.6,1,2.3,2,Fertility & Genetics,Yes,No,Yes,Yes,Yes,Yes,Yes,FL
120,"FERTILITY CENTER AND APPLIED GENETICS OF FLORIDA, INC.",,SARASOTA,FLORIDA,100%,0%,0%,0%,54%,0%,3%,20%,7%,11%,2%,24%,8%,<1%,15%,15%,2%,10%,15%,"Julio E. Pabon, MD",40,26,25,14,2,38.5,40,17.4,10,0.111111111,50,42.3,44,0.142857143,0.5,42.5,42.3,28,0.071428571,0.5,(27.0Ð59.1),(23.4Ð63.1),(12.1Ð49.4),,,53.1,55,30.4,0.090909091,0.5,54.8,0.611111111,33.3,0.111111111,0.5,38.7,0.444444444,33.3,0,0.5,20,23.1,8,0.214285714,0,2.1,2.5,2.2,2.2,4.5,30,0.363636364,0.090909091,0.5,0,0,0.090909091,0,0,0,0.294117647,0.272727273,0,1,0,2,2,4,0,0,0.5,0.5,0.5,=,=,3.5,2,3.3,=,=,15,3,0.4,0.333333333,2.1,2.3,"Fertility Center and Applied Genetics of Florida, Inc.",Yes,Yes,Yes,Yes,Yes,No,No,FL
121,SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FLORIDA,100%,0%,0%,0%,69%,0%,<1%,2%,1%,6%,<1%,<1%,2%,0%,23%,10%,<1%,13%,44%,"Juergen Eisermann, MD",185,118,84,43,6,43.7,34.3,30.3,14.3,0,39.5,37.3,28.6,14,0,35.1,31.4,21.4,11.6,0,(28.3Ð42.5),(23.1Ð40.5),(13.2Ð31.7),(3.9Ð25.1),,42.5,37.8,29.5,15.6,0,48.9,42,37.5,18.5,0,28.6,33,27.1,14.8,0,17.3,16.9,27.4,25.6,0.5,1.9,1.9,2.1,2.1,2.5,43.8,29.5,25,0.333333333,=,4.1,0,0,0,=,41.5,21.6,0.277777778,0.2,=,40,24,8,5,1,40,37.5,0.375,0,0,2,1.8,2.4,1.8,2,45,31,64.4,22.6,2,2.2,South Florida Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
122,"REPRODUCTIVE HEALTH ASSOCIATES, PA",,TAMPA,FLORIDA,100%,0%,0%,0%,54%,0%,0%,0%,0%,7%,0%,14%,0%,0%,31%,3%,0%,7%,38%,"Catherine L. Cowart, MD",21,19,7,1,1,16.1,15.2,0,0,0,23.8,0.157894737,0,0,0,14.3,0.157894737,0,0,0,(3.0Ð36.3),,,,,0.2,0.1875,0,0,0,0.2,0.1875,0,0,0,0.066666667,0.0625,0,0,0,28.6,0.157894737,0.285714286,0,0,2.1,2.9,3.4,2,6,0.4,0,=,=,=,0,0.666666667,=,=,=,0.666666667,0.666666667,=,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,8,0,0.5,=,2.6,=,"Reproductive Health Associates, PA",Yes,No,Yes,Yes,Yes,Yes,No,FL
123,THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,100%,0%,0%,0%,45%,0%,<1%,1%,5%,13%,7%,9%,8%,<1%,24%,5%,15%,7%,13%,"Marc Bernhisel, MD",234,118,109,33,5,40,31,18.4,13.3,0,46.6,45.8,30.3,24.2,0,39.7,32.2,22.9,18.2,0,(33.4Ð46.3),(23.9Ð41.4),(15.4Ð32.0),(7.0Ð35.5),,46.7,35.5,27.2,22.2,0,48.9,38.4,28.7,23.1,0,32.6,26.3,18.4,23.1,0,15,9.3,15.6,18.2,0,1.9,2.1,2.8,2.9,2.5,30.3,24.1,39.4,0.125,=,3.7,1.9,3,0.125,=,33.3,31.6,36,0,=,22,13,5,2,1,31.8,0.153846154,0.2,0.5,0,2.2,1.8,2.4,2.5,1,66,13,54.5,0.076923077,2,1.8,The Reproductive Medicine Group,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
124,UNIVERSITY OF SOUTH FLORIDA IVF,,TAMPA,FLORIDA,100%,0%,0%,0%,45%,0%,2%,2%,4%,6%,6%,20%,1%,<1%,25%,15%,11%,5%,11%,"Shayne Plosker, MD",34,27,20,9,6,36.5,16.9,11.9,0.071428571,0.066666667,61.8,25.9,35,0.222222222,0.166666667,52.9,25.9,25,0.111111111,0,(35.1Ð70.2),(11.1Ð46.3),(8.7Ð49.1),,,58.1,30.4,0.277777778,0.142857143,0,60,31.8,0.277777778,0.2,0,50,18.2,0.277777778,0.2,0,8.8,14.8,10,0.222222222,0,2.1,2.7,3.3,2.8,2.5,14.3,0.428571429,0,0,0,4.8,0,0,0,0,0.166666667,0.428571429,0,0,=,2,7,1,1,0,1,0.142857143,0,0,=,2.5,2.4,2,2,=,25,9,60,0.333333333,2,2.6,University of South Florida IVF,Yes,Yes,Yes,Yes,Yes,Yes,No,FL
125,F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,90%,11%,0%,0%,67%,0%,7%,0%,0%,3%,8%,30%,2%,0%,6%,9%,0%,15%,27%,"Minna R. Selub, MD",17,20,19,1,0,8.2,7.5,8.5,=,=,0.176470588,15,0.157894737,0,=,0.117647059,10,0.157894737,0,=,,(1.2Ð31.7),,,,0.117647059,10,0.157894737,0,=,0.133333333,0.105263158,0.166666667,=,=,0.066666667,0.052631579,0.111111111,=,=,0,0,0,0,=,3.3,2.8,2.6,=,=,0.333333333,0.333333333,0.333333333,=,=,0,0,0,=,=,0.5,0.5,0.333333333,=,=,1,0,0,0,0,0,=,=,=,=,2,=,=,=,=,39,1,25.6,0,2.8,3,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes,FL
126,FERTILITY CENTER OF ASSISTED REPRODUCTION & ENDOCRINOLOGY,,WINTER PARK,FLORIDA,100%,0%,0%,0%,54%,0%,<1%,2%,2%,10%,9%,27%,2%,<1%,12%,3%,3%,16%,18%,"Mark P. Trolice, MD",70,47,29,19,4,28.6,17.1,4.8,3.1,0,42.9,29.8,10.3,0.105263158,0,34.3,21.3,3.4,0.052631579,0,(23.3Ð46.6),(10.7Ð35.7),(0.1Ð17.8),,,39.3,24.4,0.055555556,0.071428571,0,40.7,27,0.055555556,0.076923077,0,30.5,21.6,0.055555556,0.076923077,0,12.9,12.8,37.9,0.263157895,0.75,1.9,2.2,2.3,2.5,1,20,0.142857143,0,0,=,0,0,0,0,=,25,0.2,0,0,=,9,6,5,2,0,0,0.166666667,0.2,0,=,1.6,2,2,2,=,20,7,60,0.571428571,1.9,1.9,Fertility Center of Assisted Reproduction & Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FL
127,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,ATLANTA,GEORGIA,100%,0%,0%,0%,76%,<1%,0%,1%,2%,8%,6%,13%,4%,<1%,9%,9%,7%,30%,14%,"James P. Toner, MD, PhD",233,129,92,28,12,41.9,24.4,17.6,9.9,7.7,54.9,40.3,32.6,32.1,0.25,47.2,33.3,21.7,10.7,0.083333333,(40.7Ð53.8),(25.3Ð42.2),(13.8Ð31.6),(2.3Ð28.2),,50,35.5,24.1,11.5,0.111111111,55.8,39.1,26,13.6,0.125,37.6,22.7,16.9,13.6,0.125,5.6,6.2,9.8,7.1,0.25,2.1,2.6,2.9,3.7,3.3,35.2,32.7,20,0.222222222,0,1.6,3.8,10,0,0,32.7,41.9,35,0,0,56,26,10,1,1,44.6,23.1,0.2,0,0,1.8,1.8,2,3,1,65,48,44.6,41.7,1.9,1.8,Atlanta Center for Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,GA
128,EMORY REPRODUCTIVE CENTER,,ATLANTA,GEORGIA,100%,0%,0%,0%,66%,0%,0%,0%,2%,15%,6%,8%,5%,1%,10%,2%,2%,18%,34%,"Donna Session, MD",72,35,20,10,9,49.6,38,24,6.3,3.3,63.9,65.7,40,0.5,0.222222222,54.2,54.3,25,0.1,0.111111111,(42.0Ð66.0),(36.6Ð71.2),(8.7Ð49.1),,,58.2,59.4,0.3125,0.125,0.142857143,62.9,59.4,0.333333333,0.125,0.142857143,43.5,46.9,0.2,0.125,0.142857143,6.9,8.6,20,0.2,0.222222222,2,2.2,3.3,4,4.3,28.3,21.7,0.375,0,0,4.3,0,0.125,0,0,30.8,0.210526316,0.4,0,0,11,11,7,0,1,0.272727273,0.090909091,0.428571429,=,1,1.9,2.8,2.7,=,4,8,2,0.625,0,2,2.5,Emory Reproductive Center,Yes,Yes,Yes,Yes,Yes,No,Yes,GA
129,"GEORGIA REPRODUCTIVE SPECIALISTS, LLC",,ATLANTA,GEORGIA,100%,0%,0%,0%,48%,0%,0%,6%,3%,13%,11%,8%,4%,<1%,10%,11%,17%,12%,14%,"Mark Perloe, MD",137,74,41,14,5,30.8,25.9,17.8,9.7,0.090909091,48.2,43.2,41.5,0.285714286,0.2,40.1,37.8,34.1,0.071428571,0.2,(31.9Ð48.9),(26.8Ð49.9),(20.1Ð50.6),,,42,41.2,37.8,0.125,0.25,43.7,41.8,37.8,0.125,0.25,30.2,23.9,32.4,0.125,0.25,4.4,8.1,9.8,0.428571429,0.2,2.2,2.8,2.9,3.9,2.8,30.3,28.1,0.176470588,0,0,3,12.5,0,0,0,30.9,42.9,0.142857143,0,0,68,19,22,5,6,29.4,0.157894737,27.3,0,0.166666667,1.9,2.1,1.8,2.2,1.8,29,19,44.8,0.052631579,2.1,1.8,"Georgia Reproductive Specialists, LLC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,GA
